,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,backmwa01,Wally Backman,Both,5-9,160lb,1985,25,NYM,NL,145,574,520,77,142,24,5,1,38,30,12,36,72,0.273,0.32,0.344,0.664,87.0,179,3,1,14,3,1,*4/6,,"$200,000"
1,backmwa01,Wally Backman,Both,5-9,160lb,1986,26,NYM,NL,124,440,387,67,124,18,2,1,27,13,7,36,32,0.32,0.376,0.385,0.7609999999999999,113.0,149,3,0,14,3,1,*4,,"$325,000"
2,backmwa01,Wally Backman,Both,5-9,160lb,1987,27,NYM,NL,94,335,300,43,75,6,1,1,23,11,3,25,43,0.25,0.307,0.287,0.593,62.0,86,5,0,9,1,0,4,,"$550,000"
3,backmwa01,Wally Backman,Both,5-9,160lb,1988,28,NYM,NL,99,347,294,44,89,12,0,0,17,9,5,41,49,0.303,0.38799999999999996,0.344,0.731,117.0,101,6,1,9,2,1,4,,"$650,000"
4,backmwa01,Wally Backman,Both,5-9,160lb,1989,29,MIN,AL,87,337,299,33,69,9,2,1,26,1,1,32,45,0.231,0.306,0.284,0.591,63.0,85,4,1,4,1,0,4/D,,"$750,000"
5,backmwa01,Wally Backman,Both,5-9,160lb,1990,30,PIT,NL,104,361,315,62,92,21,3,2,28,6,3,42,53,0.292,0.374,0.397,0.7709999999999999,117.0,125,5,1,0,3,1,54,,"$400,000"
6,backmwa01,Wally Backman,Both,5-9,160lb,1991,31,PHI,NL,94,220,185,20,45,12,0,0,15,3,2,30,30,0.243,0.344,0.308,0.652,86.0,57,2,0,2,3,0,45,,"$650,000"
7,backmwa01,Wally Backman,Both,5-9,160lb,1992,32,PHI,NL,42,55,48,6,13,1,0,0,6,1,0,6,9,0.271,0.35200000000000004,0.292,0.644,85.0,14,3,0,1,0,1,4/5,,"$650,000"
8,baergca01,Carlos Baerga,Both,5-11,165lb,1990,21,CLE,AL,108,338,312,46,81,17,2,7,47,0,2,16,57,0.26,0.3,0.39399999999999996,0.6940000000000001,94.0,123,4,4,1,5,2,56/4,,"$100,000"
9,baergca01,Carlos Baerga,Both,5-11,165lb,1991,22,CLE,AL,158,654,593,80,171,28,2,11,69,3,2,48,74,0.28800000000000003,0.34600000000000003,0.39799999999999996,0.7440000000000001,105.0,236,12,6,4,3,5,54/6,,"$205,000"
