,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1994,24,CAL,AL,43,135,127,12,36,3,0,0,16,2,1,7,18,0.28300000000000003,0.321,0.307,0.628,64.0,39,5,0,1,0,1,2,,"$109,000"
1,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1995,25,CAL,AL,73,248,227,24,56,10,0,1,22,0,2,17,28,0.247,0.298,0.304,0.602,58.0,69,9,0,3,1,0,2,,"$111,500"
2,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1996,26,CAL,AL,90,279,254,18,73,6,0,2,26,0,1,17,27,0.287,0.326,0.335,0.6609999999999999,70.0,85,7,0,3,5,3,2/D,,"$175,000"
3,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1997,27,TOT,AL,121,385,360,33,93,11,1,7,51,1,1,14,46,0.258,0.285,0.353,0.638,68.0,127,16,1,6,4,0,*2/3,,"$275,000"
4,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1997,27,ANA,AL,21,43,38,2,3,1,0,0,3,0,0,3,3,0.079,0.146,0.105,0.252,-33.0,4,2,0,2,0,0,2,,"$275,000"
5,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1997,27,CHW,AL,100,342,322,31,90,10,1,7,48,1,1,11,43,0.28,0.302,0.382,0.684,81.0,123,14,1,4,4,0,2/3,,"$275,000"
6,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1998,28,TOT,NL,70,201,183,11,36,4,0,2,20,0,0,14,32,0.19699999999999998,0.255,0.251,0.506,34.0,46,4,1,1,2,1,2,,"$1,050,000"
7,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1998,28,ARI,NL,50,167,151,8,30,4,0,1,15,0,0,13,26,0.19899999999999998,0.263,0.245,0.509,35.0,37,3,1,0,2,1,2,,"$1,050,000"
8,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1998,28,NYM,NL,20,34,32,3,6,0,0,1,5,0,0,1,6,0.188,0.212,0.281,0.493,29.0,9,1,0,1,0,0,2,,"$1,050,000"
9,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1999,29,TOT,NL,88,268,231,20,46,10,2,3,21,0,0,26,27,0.19899999999999998,0.28,0.299,0.579,52.0,69,9,2,4,5,6,2/3,,"$200,000"
10,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1999,29,FLA,NL,82,260,223,20,46,10,2,3,21,0,0,26,27,0.20600000000000002,0.289,0.309,0.598,57.0,69,7,2,4,5,6,2,,"$200,000"
11,fabrejo01,Jorge Fabregas,Left,6-3,205lb,1999,29,ATL,NL,6,8,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,2,0,0,0,0,/23,,"$200,000"
12,fabrejo01,Jorge Fabregas,Left,6-3,205lb,2000,30,KCR,AL,43,152,142,13,40,4,0,3,17,1,0,8,11,0.282,0.32,0.373,0.693,73.0,53,1,0,2,0,1,2/D,,"$500,000"
13,fabrejo01,Jorge Fabregas,Left,6-3,205lb,2001,31,ANA,AL,53,157,148,9,33,4,2,2,16,0,0,3,15,0.223,0.235,0.318,0.5529999999999999,44.0,47,5,0,4,2,0,2,,"$500,000"
14,fabrejo01,Jorge Fabregas,Left,6-3,205lb,2002,32,TOT,MLB,65,169,155,13,28,4,0,3,22,0,0,8,13,0.18100000000000002,0.21600000000000003,0.265,0.48,27.0,41,5,0,2,4,1,2,,"$500,000"
15,fabrejo01,Jorge Fabregas,Left,6-3,205lb,2002,32,ANA,AL,35,96,88,8,17,1,0,0,8,0,0,6,6,0.193,0.245,0.205,0.449,22.0,18,3,0,2,0,1,2,,"$500,000"
16,fabrejo01,Jorge Fabregas,Left,6-3,205lb,2002,32,MIL,NL,30,73,67,5,11,3,0,3,14,0,0,2,7,0.16399999999999998,0.17800000000000002,0.34299999999999997,0.521,35.0,23,2,0,0,4,0,2,,"$500,000"
17,faheybr01,Brandon Fahey,Left,6-2,160lb,2008,27,BAL,AL,58,113,106,8,24,9,2,0,12,0,0,3,25,0.226,0.252,0.349,0.601,57.0,37,3,1,2,1,0,64/D,,"$390,000"
18,faluir01,Irving Falu,Both,5-9,185lb,2013,30,KCR,AL,1,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,38.0,1,0,0,0,0,0,/5,,"$492,025"
19,faneyri01,Rikkert Faneyte,Right,6-0,170lb,1995,26,SFG,NL,46,98,86,7,17,4,1,0,4,1,0,11,27,0.198,0.289,0.267,0.556,52.0,23,2,0,1,0,0,89/7,,"$115,000"
20,fariepa01,Paul Faries,Right,5-10,165lb,1991,26,SDP,NL,57,149,130,13,23,3,1,0,7,3,1,14,21,0.177,0.262,0.215,0.47700000000000004,35.0,28,5,1,4,0,0,45/6,,"$100,000"
21,fariepa01,Paul Faries,Right,5-10,165lb,1992,27,SDP,NL,10,12,11,3,5,1,0,0,1,0,0,1,2,0.455,0.5,0.545,1.045,195.0,6,0,0,0,0,0,/456,,"$122,500"
22,farismo01,Monty Fariss,Right,6-4,180lb,1992,24,TEX,AL,67,187,166,13,36,7,1,3,21,0,2,17,51,0.217,0.297,0.325,0.623,77.0,54,3,2,2,0,0,7498/D3,,"$109,000"
23,farismo01,Monty Fariss,Right,6-4,180lb,1993,25,FLA,NL,18,34,29,3,5,2,1,0,2,0,0,5,13,0.172,0.294,0.31,0.604,60.0,9,2,0,0,0,0,/97,,"$136,000"
24,fasansa01,Sal Fasano,Right,6-2,220lb,1996,24,KCR,AL,51,160,143,20,29,2,0,6,19,1,1,14,25,0.203,0.28300000000000003,0.34299999999999997,0.626,58.0,49,3,2,1,0,0,2,,"$109,000"
25,fasansa01,Sal Fasano,Right,6-2,220lb,1998,26,KCR,AL,74,247,216,21,49,10,0,8,31,1,0,10,56,0.22699999999999998,0.307,0.384,0.6920000000000001,78.0,83,4,16,3,2,1,2/35,,"$175,000"
26,fasansa01,Sal Fasano,Right,6-2,220lb,1999,27,KCR,AL,23,75,60,11,14,2,0,5,16,0,1,7,17,0.233,0.373,0.517,0.89,124.0,31,1,7,0,1,0,2,,"$235,000"
27,fasansa01,Sal Fasano,Right,6-2,220lb,2000,28,OAK,AL,52,144,126,21,27,6,0,7,19,0,0,14,47,0.214,0.306,0.429,0.7340000000000001,87.0,54,3,3,0,1,0,2,,"$240,000"
28,fasansa01,Sal Fasano,Right,6-2,220lb,2001,29,TOT,MLB,39,96,85,12,17,5,0,3,9,0,0,5,31,0.2,0.27699999999999997,0.365,0.6409999999999999,56.0,31,3,4,2,0,0,2/D,,"$375,000"
29,fasansa01,Sal Fasano,Right,6-2,220lb,2001,29,TOT,AL,14,24,22,2,1,0,0,0,0,0,0,1,12,0.045,0.125,0.045,0.17,-52.0,1,2,1,0,0,0,2/D,,"$375,000"
30,fasansa01,Sal Fasano,Right,6-2,220lb,2001,29,OAK,AL,11,23,21,2,1,0,0,0,0,0,0,1,12,0.048,0.13,0.048,0.17800000000000002,-49.0,1,1,1,0,0,0,/2D,,"$375,000"
31,fasansa01,Sal Fasano,Right,6-2,220lb,2001,29,KCR,AL,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,1,0,0,0,0,/2,,"$375,000"
32,fasansa01,Sal Fasano,Right,6-2,220lb,2001,29,COL,NL,25,72,63,10,16,5,0,3,9,0,0,4,19,0.254,0.32899999999999996,0.47600000000000003,0.805,89.0,30,1,3,2,0,0,2,,"$375,000"
33,fasansa01,Sal Fasano,Right,6-2,220lb,2006,34,TOT,MLB,78,206,189,12,41,12,0,5,15,0,1,7,61,0.217,0.267,0.36,0.627,57.0,68,5,6,4,0,0,2/D,,"$425,000"
34,fasansa01,Sal Fasano,Right,6-2,220lb,2006,34,PHI,NL,50,149,140,9,34,8,0,4,10,0,1,5,47,0.243,0.284,0.386,0.669,67.0,54,4,3,1,0,0,2,,"$425,000"
35,fasansa01,Sal Fasano,Right,6-2,220lb,2006,34,NYY,AL,28,57,49,3,7,4,0,1,5,0,0,2,14,0.14300000000000002,0.222,0.28600000000000003,0.508,30.0,14,1,3,3,0,0,2/D,,"$425,000"
36,febleca01,Carlos Febles,Right,5-11,170lb,1998,22,KCR,AL,11,29,25,5,10,1,2,0,2,2,1,4,7,0.4,0.483,0.6,1.083,179.0,15,0,0,0,0,0,4,,"$170,000"
37,febleca01,Carlos Febles,Right,5-11,170lb,1999,23,KCR,AL,123,524,453,71,116,22,9,10,53,20,4,47,91,0.256,0.336,0.41100000000000003,0.747,89.0,186,16,9,12,3,0,*4,,"$200,000"
38,febleca01,Carlos Febles,Right,5-11,170lb,2000,24,KCR,AL,100,399,339,59,87,12,1,2,29,17,6,36,48,0.257,0.345,0.316,0.66,68.0,107,10,10,13,1,1,4,,"$250,000"
39,febleca01,Carlos Febles,Right,5-11,170lb,2001,25,KCR,AL,79,317,292,45,69,9,2,8,25,5,2,22,58,0.23600000000000002,0.29100000000000004,0.363,0.654,68.0,106,7,1,1,1,0,4,,"$310,000"
40,febleca01,Carlos Febles,Right,5-11,170lb,2002,26,KCR,AL,119,404,351,44,86,16,4,4,26,16,5,41,63,0.245,0.336,0.348,0.6829999999999999,76.0,122,8,7,5,0,0,*4/6,,"$775,000"
41,febleca01,Carlos Febles,Right,5-11,170lb,2003,27,KCR,AL,74,219,196,31,46,5,0,0,11,8,2,13,30,0.235,0.299,0.26,0.5589999999999999,46.0,51,8,5,5,0,0,4/D6,,"$775,000"
42,federti01,Tim Federowicz,Right,5-10,215lb,2013,25,LAD,NL,56,173,160,12,37,8,0,4,16,0,0,10,56,0.231,0.275,0.35600000000000004,0.631,77.0,57,5,0,2,1,5,2/3,,"$491,000"
43,feldemi01,Mike Felder,Both,5-8,160lb,1987,25,MIL,AL,108,328,289,48,77,5,7,2,31,34,8,28,23,0.266,0.32899999999999996,0.353,0.682,79.0,102,3,0,9,2,0,78/D4,,"$75,000"
44,feldemi01,Mike Felder,Both,5-8,160lb,1988,26,MIL,AL,50,85,81,14,14,1,0,0,5,8,2,0,11,0.17300000000000001,0.183,0.185,0.368,3.0,15,1,1,3,0,0,D78/94,,"$102,500"
45,feldemi01,Mike Felder,Both,5-8,160lb,1989,27,MIL,AL,117,345,315,50,76,11,3,3,23,26,5,23,38,0.24100000000000002,0.293,0.324,0.617,75.0,102,4,0,7,0,2,987D4,,"$97,500"
46,feldemi01,Mike Felder,Both,5-8,160lb,1990,28,MIL,AL,121,272,237,38,65,7,2,3,27,20,9,22,17,0.27399999999999997,0.33,0.359,0.688,94.0,85,0,0,8,5,0,*798/45D,,"$260,000"
47,feldemi01,Mike Felder,Both,5-8,160lb,1992,30,SFG,NL,145,351,322,44,92,13,3,4,23,14,4,21,29,0.28600000000000003,0.33,0.382,0.7120000000000001,106.0,123,3,2,3,3,1,879/4,,"$650,000"
48,feldemi01,Mike Felder,Both,5-8,160lb,1993,31,SEA,AL,109,374,342,31,72,7,5,1,20,15,9,22,34,0.21100000000000002,0.262,0.26899999999999996,0.531,43.0,92,2,2,7,1,2,7/8D5,,"$850,000"
49,feldemi01,Mike Felder,Both,5-8,160lb,1994,32,HOU,NL,58,123,117,10,28,2,2,0,13,3,0,4,12,0.239,0.264,0.29100000000000004,0.555,48.0,34,1,0,2,0,0,9/78,,"$850,000"
50,felixju01,Junior Félix,Both,6-0,170lb,1989,21,TOR,AL,110,454,415,62,107,14,8,9,46,18,12,33,101,0.258,0.315,0.395,0.71,104.0,164,5,3,0,3,2,98/D,,"$68,000"
51,felixju01,Junior Félix,Both,6-0,170lb,1990,22,TOR,AL,127,517,463,73,122,23,7,15,65,13,8,45,99,0.263,0.32799999999999996,0.441,0.769,109.0,204,4,2,2,5,0,*98/D,,"$155,000"
52,felixju01,Junior Félix,Both,6-0,170lb,1991,23,CAL,AL,66,246,230,32,65,10,2,2,26,7,5,11,55,0.28300000000000003,0.321,0.37,0.691,92.0,85,5,3,0,2,0,8/9,,"$310,000"
53,felixju01,Junior Félix,Both,6-0,170lb,1992,24,CAL,AL,139,559,509,63,125,22,5,9,72,8,8,33,128,0.24600000000000002,0.289,0.361,0.6509999999999999,82.0,184,9,2,5,9,5,*8/D9,,"$640,000"
54,felixju01,Junior Félix,Both,6-0,170lb,1993,25,FLA,NL,57,225,214,25,51,11,1,7,22,2,1,10,50,0.23800000000000002,0.276,0.397,0.6729999999999999,75.0,85,6,1,0,0,1,9/8,,"$1,250,000"
55,felixju01,Junior Félix,Both,6-0,170lb,1994,26,DET,AL,86,339,301,54,92,25,1,13,49,1,6,26,76,0.306,0.37200000000000005,0.525,0.897,129.0,158,6,8,0,4,2,*9/78D,,"$350,000"
56,felizpe01,Pedro Feliz,Right,6-1,210lb,2001,26,SFG,NL,94,238,220,23,50,9,1,7,22,2,1,10,50,0.22699999999999998,0.264,0.373,0.637,67.0,82,5,2,3,3,2,5/D,,"$201,000"
57,felizpe01,Pedro Feliz,Right,6-1,210lb,2002,27,SFG,NL,67,153,146,14,37,4,1,2,13,0,0,6,27,0.253,0.281,0.336,0.617,66.0,49,2,0,0,1,1,5/76,,"$222,000"
58,felizpe01,Pedro Feliz,Right,6-1,210lb,2003,28,SFG,NL,95,249,235,31,58,9,3,16,48,2,2,10,53,0.247,0.278,0.515,0.7929999999999999,102.0,121,7,1,1,2,0,573/9,,"$325,000"
