,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,lacyle01,Lee Lacy,Right,6-1,175lb,1985,37,BAL,AL,121,540,492,69,144,22,4,9,48,10,3,39,95,0.293,0.34299999999999997,0.409,0.752,108.0,201,10,2,1,6,0,*9/D8,,"$725,000"
1,lacyle01,Lee Lacy,Right,6-1,175lb,1986,38,BAL,AL,130,537,491,77,141,18,0,11,47,4,6,37,71,0.287,0.33399999999999996,0.391,0.725,99.0,192,12,0,4,5,2,*9/D,,"$725,000"
2,lacyle01,Lee Lacy,Right,6-1,175lb,1987,39,BAL,AL,87,293,258,35,63,13,3,7,28,3,2,32,49,0.244,0.326,0.39899999999999997,0.726,94.0,103,5,0,2,1,0,9/D87,,"$525,000"
3,lagami01,Mike Laga,Left,6-2,210lb,1986,26,TOT,MLB,33,102,91,13,19,5,0,6,16,0,0,10,31,0.209,0.294,0.462,0.7559999999999999,104.0,42,1,1,0,0,2,3/D,,"$72,500"
4,lagami01,Mike Laga,Left,6-2,210lb,1986,26,DET,AL,15,50,45,6,9,1,0,3,8,0,0,5,13,0.2,0.28,0.42200000000000004,0.7020000000000001,88.0,19,0,0,0,0,1,3/D,,"$72,500"
5,lagami01,Mike Laga,Left,6-2,210lb,1986,26,STL,NL,18,52,46,7,10,4,0,3,8,0,0,5,18,0.217,0.308,0.5,0.8079999999999999,120.0,23,1,1,0,0,1,3,,"$72,500"
6,lagami01,Mike Laga,Left,6-2,210lb,1988,28,STL,NL,41,102,100,5,13,0,0,1,4,0,0,2,21,0.13,0.147,0.16,0.307,-12.0,16,0,0,0,0,0,3,,"$100,000"
7,lagami01,Mike Laga,Left,6-2,210lb,1990,30,SFG,NL,23,29,27,4,5,1,0,2,4,0,0,1,7,0.185,0.24100000000000002,0.444,0.6859999999999999,88.0,12,1,1,0,0,0,3,,"$155,000"
8,lagarju01,Juan Lagares,Right,6-1,215lb,2014,25,NYM,NL,116,452,416,46,117,24,3,4,47,13,4,20,87,0.281,0.321,0.382,0.703,102.0,159,6,7,3,6,1,*8,GG,"$506,636"
9,lagarju01,Juan Lagares,Right,6-1,215lb,2015,26,NYM,NL,143,465,441,47,114,16,5,6,41,7,3,16,87,0.259,0.289,0.358,0.647,79.0,158,6,4,1,3,2,*8/9,,"$528,696"
10,lagarju01,Juan Lagares,Right,6-1,215lb,2016,27,NYM,NL,79,160,142,15,34,7,2,3,9,4,2,11,27,0.239,0.301,0.38,0.682,84.0,54,4,2,4,1,1,8/97,,"$2,500,000"
11,lagarju01,Juan Lagares,Right,6-1,215lb,2017,28,NYM,NL,94,272,252,37,63,16,2,3,15,7,3,14,56,0.25,0.29600000000000004,0.365,0.6609999999999999,75.0,92,6,3,2,1,0,8,,"$4,500,000"
12,lahaibr01,Bryan LaHair,Left,6-5,245lb,2012,29,CHC,NL,130,380,340,42,88,17,0,16,40,4,2,39,124,0.259,0.33399999999999996,0.45,0.784,110.0,153,8,0,0,1,3,39/7,AS,"$482,500"
13,lairdge01,Gerald Laird,Right,6-1,230lb,2004,24,TEX,AL,49,168,147,20,33,6,0,1,16,0,1,12,35,0.22399999999999998,0.287,0.28600000000000003,0.5720000000000001,46.0,42,5,2,4,3,0,2,,"$300,000"
