,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,o'brich01,Charlie O'Brien,Right,6-2,195lb,1988,28,MIL,AL,40,127,118,12,26,6,0,2,9,0,1,5,16,0.22,0.252,0.322,0.574,59,38,3,0,4,0,0,2,,"$70,000"
1,o'brich01,Charlie O'Brien,Right,6-2,195lb,1989,29,MIL,AL,62,226,188,22,44,10,0,6,35,0,0,21,11,0.23399999999999999,0.33899999999999997,0.38299999999999995,0.722,105,72,11,9,8,0,1,2,,"$90,000"
2,o'brich01,Charlie O'Brien,Right,6-2,195lb,1990,30,TOT,MLB,74,249,213,17,38,10,2,0,20,0,0,21,34,0.17800000000000002,0.259,0.244,0.504,42,52,4,3,10,2,3,2,,"$150,000"
3,o'brich01,Charlie O'Brien,Right,6-2,195lb,1990,30,MIL,AL,46,166,145,11,27,7,2,0,11,0,0,11,26,0.18600000000000003,0.253,0.262,0.515,46,38,3,2,8,0,1,2,,"$150,000"
4,o'brich01,Charlie O'Brien,Right,6-2,195lb,1990,30,NYM,NL,28,83,68,6,11,3,0,0,9,0,0,10,8,0.162,0.272,0.20600000000000002,0.47700000000000004,34,14,1,1,2,2,2,2,,"$150,000"
5,o'brich01,Charlie O'Brien,Right,6-2,195lb,1991,31,NYM,NL,69,191,168,16,31,6,0,2,14,0,2,17,25,0.185,0.272,0.256,0.528,51,43,5,4,0,2,1,2,,"$300,000"
6,o'brich01,Charlie O'Brien,Right,6-2,195lb,1992,32,NYM,NL,68,177,156,15,33,12,0,2,13,0,1,16,18,0.212,0.289,0.327,0.616,75,51,4,1,4,0,1,2,,"$370,000"
7,o'brich01,Charlie O'Brien,Right,6-2,195lb,1993,33,NYM,NL,67,208,188,15,48,11,0,4,23,1,1,14,14,0.255,0.312,0.37799999999999995,0.69,86,71,4,2,3,1,1,2,,"$500,000"
8,o'brich01,Charlie O'Brien,Right,6-2,195lb,1994,34,ATL,NL,51,172,152,24,37,11,0,8,28,0,0,15,24,0.243,0.322,0.474,0.795,103,72,5,3,1,1,2,2,,"$550,000"
9,o'brich01,Charlie O'Brien,Right,6-2,195lb,1995,35,ATL,NL,67,233,198,18,45,7,0,9,23,0,1,29,40,0.22699999999999998,0.34299999999999997,0.39899999999999997,0.742,93,79,8,6,0,0,2,2,,"$550,000"
10,o'brich01,Charlie O'Brien,Right,6-2,195lb,1996,36,TOR,AL,109,375,324,33,77,17,0,13,44,0,1,29,68,0.23800000000000002,0.331,0.41,0.741,87,133,8,17,3,2,1,2,,"$500,000"
11,o'brich01,Charlie O'Brien,Right,6-2,195lb,1997,37,TOR,AL,69,267,225,22,49,15,1,4,27,0,2,22,45,0.218,0.311,0.34700000000000003,0.657,73,78,6,11,3,6,1,2,,"$625,000"
12,o'brich01,Charlie O'Brien,Right,6-2,195lb,1998,38,TOT,AL,62,193,175,13,45,9,0,4,18,0,0,10,33,0.257,0.3,0.377,0.677,77,66,3,2,3,3,0,2,,"$700,000"
13,o'brich01,Charlie O'Brien,Right,6-2,195lb,1998,38,CHW,AL,57,181,164,12,43,9,0,4,18,0,0,9,31,0.262,0.303,0.39,0.6940000000000001,82,64,3,2,3,3,0,2,,"$700,000"
14,o'brich01,Charlie O'Brien,Right,6-2,195lb,1998,38,ANA,AL,5,12,11,1,2,0,0,0,0,0,0,1,2,0.182,0.25,0.182,0.43200000000000005,15,2,0,0,0,0,0,/2,,"$700,000"
15,o'brich01,Charlie O'Brien,Right,6-2,195lb,1999,39,ANA,AL,27,67,62,3,6,0,0,1,4,0,0,1,12,0.09699999999999999,0.136,0.145,0.282,-27,9,1,2,1,1,0,2,,"$700,000"
16,o'bripe03,Pete O'Brien,Left,6-1,185lb,1985,27,TEX,AL,159,655,573,69,153,34,3,22,92,5,10,69,53,0.267,0.342,0.452,0.794,115,259,18,1,3,9,4,*3,,"$165,000"
17,o'bripe03,Pete O'Brien,Left,6-1,185lb,1986,28,TEX,AL,156,641,551,86,160,23,3,23,90,4,4,87,66,0.29,0.385,0.46799999999999997,0.8540000000000001,130,258,19,0,0,3,11,*3,MVP-17,"$337,500"
18,o'bripe03,Pete O'Brien,Left,6-1,185lb,1987,29,TEX,AL,159,638,569,84,163,26,1,23,88,0,4,59,61,0.28600000000000003,0.348,0.457,0.805,112,260,9,0,0,10,6,*3/9D,,"$492,500"
19,o'bripe03,Pete O'Brien,Left,6-1,185lb,1988,30,TEX,AL,156,628,547,57,149,24,1,16,71,1,4,72,73,0.272,0.35200000000000004,0.408,0.76,111,223,12,0,1,8,9,*3/D,,"$562,500"
20,o'bripe03,Pete O'Brien,Left,6-1,185lb,1989,31,CLE,AL,155,646,554,75,144,24,1,12,55,3,1,83,48,0.26,0.35600000000000004,0.37200000000000005,0.727,105,206,10,2,2,5,17,*3/D,,"$700,000"
21,o'bripe03,Pete O'Brien,Left,6-1,185lb,1990,32,SEA,AL,108,417,366,32,82,18,0,5,27,0,0,44,33,0.22399999999999998,0.308,0.314,0.622,75,115,12,2,1,4,1,3/D7,,"$1,187,500"
22,o'bripe03,Pete O'Brien,Left,6-1,185lb,1991,33,SEA,AL,152,617,560,58,139,29,3,17,88,0,1,44,61,0.248,0.3,0.402,0.701,93,225,14,1,3,9,7,*3D7,,"$2,037,500"
23,o'bripe03,Pete O'Brien,Left,6-1,185lb,1992,34,SEA,AL,134,444,396,40,88,15,1,14,52,2,1,40,27,0.222,0.289,0.371,0.66,84,147,8,0,1,7,8,3D,,"$2,187,500"
24,o'bripe03,Pete O'Brien,Left,6-1,185lb,1993,35,SEA,AL,72,239,210,30,54,7,0,7,27,0,0,26,21,0.257,0.335,0.39,0.725,94,82,8,0,0,3,4,D/37,,"$2,187,500"
25,o'leatr01,Troy O'Leary,Left,6-0,175lb,1995,25,BOS,AL,112,434,399,60,123,31,6,10,49,5,3,29,64,0.308,0.355,0.491,0.846,116,196,8,1,3,2,4,*978/D,,"$125,000"
26,o'leatr01,Troy O'Leary,Left,6-0,175lb,1996,26,BOS,AL,149,552,497,68,129,28,5,15,81,3,2,47,80,0.26,0.327,0.42700000000000005,0.753,88,212,13,4,1,3,3,*978,,"$240,000"
27,o'leatr01,Troy O'Leary,Left,6-0,175lb,1997,27,BOS,AL,146,545,499,65,154,32,4,15,80,0,5,39,70,0.309,0.358,0.479,0.8370000000000001,115,239,13,2,1,4,7,*97/D,,"$1,100,000"
28,o'leatr01,Troy O'Leary,Left,6-0,175lb,1998,28,BOS,AL,156,657,611,95,165,36,8,23,83,2,2,36,108,0.27,0.314,0.46799999999999997,0.782,99,286,17,5,0,5,2,*7,,"$2,400,000"
