,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,saboch01,Chris Sabo,Right,5-11,185lb,1988,26,CIN,NL,137,582,538,74,146,40,2,11,44,46,14,29,52,0.271,0.314,0.414,0.728,105.0,223,12,6,5,4,1,*5/6,"AS,RoY-1","$62,500"
1,saboch01,Chris Sabo,Right,5-11,185lb,1989,27,CIN,NL,82,336,304,40,79,21,1,6,29,14,9,25,33,0.26,0.316,0.395,0.711,99.0,120,2,1,4,2,2,5,,"$155,000"
2,saboch01,Chris Sabo,Right,5-11,185lb,1990,28,CIN,NL,148,636,567,95,153,38,2,25,71,25,10,61,58,0.27,0.34299999999999997,0.47600000000000003,0.8190000000000001,119.0,270,8,4,1,3,7,*5,"AS,MVP-13","$200,000"
3,saboch01,Chris Sabo,Right,5-11,185lb,1991,29,CIN,NL,153,640,582,91,175,35,3,26,88,19,6,44,79,0.301,0.354,0.505,0.8590000000000001,136.0,294,13,6,5,3,3,*5,"AS,MVP-20","$1,250,500"
4,saboch01,Chris Sabo,Right,5-11,185lb,1992,30,CIN,NL,96,382,344,42,84,19,3,12,43,4,5,30,54,0.244,0.302,0.42200000000000004,0.723,100.0,145,12,1,1,6,1,5,,"$2,750,000"
5,saboch01,Chris Sabo,Right,5-11,185lb,1993,31,CIN,NL,148,611,552,86,143,33,2,21,82,6,4,43,105,0.259,0.315,0.44,0.755,100.0,243,10,6,2,8,5,*5,,"$3,100,000"
6,saboch01,Chris Sabo,Right,5-11,185lb,1994,32,BAL,AL,68,288,258,41,66,15,3,11,42,1,1,20,38,0.256,0.32,0.465,0.7859999999999999,96.0,120,8,5,4,1,2,59D/7,,"$2,000,000"
7,saboch01,Chris Sabo,Right,5-11,185lb,1995,33,TOT,MLB,25,94,84,10,20,6,0,1,11,3,0,4,14,0.23800000000000002,0.28300000000000003,0.345,0.628,66.0,29,1,2,2,2,1,D/35,,"$109,000"
8,saboch01,Chris Sabo,Right,5-11,185lb,1995,33,CHW,AL,20,80,71,10,18,5,0,1,8,2,0,3,12,0.254,0.295,0.366,0.6609999999999999,74.0,26,0,2,2,2,1,D/35,,"$109,000"
9,saboch01,Chris Sabo,Right,5-11,185lb,1995,33,STL,NL,5,14,13,0,2,1,0,0,3,1,0,1,2,0.154,0.214,0.231,0.445,19.0,3,1,0,0,0,0,/35,,"$109,000"
10,saboch01,Chris Sabo,Right,5-11,185lb,1996,34,CIN,NL,54,145,125,15,32,7,1,3,16,2,0,18,27,0.256,0.354,0.4,0.754,99.0,50,4,1,1,0,0,5,,"$200,000"
11,sadledo01,Donnie Sadler,Right,5-6,165lb,1998,23,BOS,AL,58,139,124,21,28,4,4,3,15,4,0,6,28,0.226,0.276,0.395,0.6709999999999999,71.0,49,1,3,5,1,0,4/D6,,"$170,000"
12,sadledo01,Donnie Sadler,Right,5-6,165lb,1999,24,BOS,AL,49,115,107,18,30,5,1,0,4,2,1,5,20,0.28,0.313,0.34600000000000003,0.6579999999999999,66.0,37,1,0,3,0,0,64/58D79,,"$200,000"
13,sadledo01,Donnie Sadler,Right,5-6,165lb,2001,26,TOT,MLB,93,211,185,28,30,6,0,1,5,7,4,18,37,0.162,0.243,0.21100000000000002,0.45399999999999996,18.0,39,3,2,5,1,0,4657/98D,,"$225,000"
14,sadledo01,Donnie Sadler,Right,5-6,165lb,2001,26,CIN,NL,39,95,84,9,17,3,0,1,3,3,3,9,20,0.20199999999999999,0.28,0.27399999999999997,0.5529999999999999,42.0,23,3,0,2,0,0,46/789D,,"$225,000"
15,sadledo01,Donnie Sadler,Right,5-6,165lb,2001,26,KCR,AL,54,116,101,19,13,3,0,0,2,4,1,9,17,0.129,0.212,0.158,0.371,-2.0,16,0,2,3,1,0,54/9678D,,"$225,000"
