,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,tabatjo01,José Tabata,Right,5-11,210lb,2011,22,PIT,NL,91,382,334,53,89,18,1,4,21,16,7,40,61,0.266,0.349,0.36200000000000004,0.711,101.0,121,8,4,1,3,1,79/8,,"$428,000"
1,tabatjo01,José Tabata,Right,5-11,210lb,2012,23,PIT,NL,103,374,333,43,81,20,3,3,16,8,12,29,58,0.243,0.315,0.348,0.664,85.0,116,7,6,6,0,0,97,,"$750,000"
2,tabatjo01,José Tabata,Right,5-11,210lb,2013,24,PIT,NL,106,341,308,35,87,17,5,6,33,3,1,23,45,0.282,0.342,0.429,0.7709999999999999,118.0,132,6,5,5,0,0,97,,"$1,000,000"
3,tabatjo01,José Tabata,Right,5-11,210lb,2014,25,PIT,NL,80,186,174,14,49,5,2,0,17,1,2,7,26,0.282,0.314,0.33299999999999996,0.647,83.0,58,12,2,1,2,0,97/8D,,"$3,000,000"
4,tabatjo01,José Tabata,Right,5-11,210lb,2015,26,PIT,NL,27,41,38,2,11,0,0,0,4,0,1,2,7,0.289,0.341,0.289,0.631,77.0,11,3,1,0,0,0,/97D,,"$4,000,000"
5,tablepa01,Pat Tabler,Right,6-3,175lb,1985,27,CLE,AL,117,439,404,47,111,18,3,5,59,0,6,27,55,0.275,0.321,0.371,0.6920000000000001,91.0,150,15,2,2,3,2,3D/54,,"$285,000"
6,tablepa01,Pat Tabler,Right,6-3,175lb,1986,28,CLE,AL,130,508,473,61,154,29,2,6,48,3,1,29,75,0.326,0.368,0.433,0.8009999999999999,120.0,205,11,3,2,1,3,3D,,"$395,000"
7,tablepa01,Pat Tabler,Right,6-3,175lb,1987,29,CLE,AL,151,618,553,66,170,34,3,11,86,5,2,51,84,0.307,0.369,0.439,0.809,114.0,243,6,6,3,5,6,3D,AS,"$605,000"
8,tablepa01,Pat Tabler,Right,6-3,175lb,1988,30,TOT,AL,130,499,444,53,125,22,3,2,66,3,3,46,68,0.282,0.349,0.358,0.708,98.0,159,9,3,0,5,1,D73/95,,"$800,000"
9,tablepa01,Pat Tabler,Right,6-3,175lb,1988,30,CLE,AL,41,168,143,16,32,5,1,1,17,1,0,23,27,0.22399999999999998,0.33299999999999996,0.294,0.627,76.0,42,3,1,0,1,1,D3,,"$800,000"
10,tablepa01,Pat Tabler,Right,6-3,175lb,1988,30,KCR,AL,89,331,301,37,93,17,2,1,49,2,3,23,41,0.309,0.358,0.389,0.746,109.0,117,6,2,0,4,0,D7/935,,"$800,000"
11,tablepa01,Pat Tabler,Right,6-3,175lb,1989,31,KCR,AL,123,434,390,36,101,11,1,2,42,0,0,37,42,0.259,0.325,0.308,0.633,80.0,120,14,2,3,2,0,D973/45,,"$825,000"
12,tablepa01,Pat Tabler,Right,6-3,175lb,1990,32,TOT,MLB,92,266,238,18,65,15,1,2,29,0,2,23,29,0.273,0.33799999999999997,0.37,0.708,100.0,88,8,2,0,3,2,9D7/53,,"$725,000"
13,tablepa01,Pat Tabler,Right,6-3,175lb,1990,32,KCR,AL,75,219,195,12,53,14,0,1,19,0,2,20,21,0.272,0.33799999999999997,0.359,0.6970000000000001,97.0,70,8,1,0,3,2,9D7/53,,"$725,000"
14,tablepa01,Pat Tabler,Right,6-3,175lb,1990,32,NYM,NL,17,47,43,6,12,1,1,1,10,0,0,3,8,0.27899999999999997,0.34,0.419,0.759,108.0,18,0,1,0,0,0,/97,,"$725,000"
15,tablepa01,Pat Tabler,Right,6-3,175lb,1991,33,TOR,AL,82,222,185,20,40,5,1,1,21,0,0,29,21,0.21600000000000003,0.318,0.27,0.588,63.0,50,3,1,2,5,5,D3/7,,"$700,000"
16,tablepa01,Pat Tabler,Right,6-3,175lb,1992,34,TOR,AL,49,147,135,11,34,5,0,0,16,0,0,11,14,0.252,0.306,0.289,0.595,66.0,39,6,0,0,1,0,3/79D5,,"$900,000"
17,tackeje01,Jeff Tackett,Right,6-2,200lb,1992,26,BAL,AL,65,208,179,21,43,8,1,5,24,0,0,17,28,0.24,0.307,0.38,0.687,91.0,68,11,2,6,4,1,2/5,,"$109,000"
18,tackeje01,Jeff Tackett,Right,6-2,200lb,1993,27,BAL,AL,38,103,87,8,15,3,0,0,9,0,0,13,28,0.172,0.27699999999999997,0.207,0.484,31.0,18,5,0,2,1,0,2/1,,"$142,500"
19,tackeje01,Jeff Tackett,Right,6-2,200lb,1994,28,BAL,AL,26,60,53,5,12,3,1,2,9,0,0,5,13,0.226,0.317,0.434,0.7509999999999999,88.0,23,4,2,0,0,0,2,,"$162,500"
20,tagucso01,So Taguchi,Right,5-10,170lb,2003,33,STL,NL,43,59,54,9,14,3,1,3,13,0,0,4,11,0.259,0.31,0.519,0.8290000000000001,114.0,28,2,0,1,0,1,897/4,,"$1,200,000"
21,tagucso01,So Taguchi,Right,5-10,170lb,2004,34,STL,NL,109,206,179,26,52,10,2,3,25,6,3,12,23,0.29100000000000004,0.337,0.419,0.7559999999999999,95.0,75,6,2,10,3,1,789,,"$1,200,000"
22,tagucso01,So Taguchi,Right,5-10,170lb,2005,35,STL,NL,143,424,396,45,114,21,2,8,53,11,2,20,62,0.28800000000000003,0.322,0.41200000000000003,0.7340000000000001,91.0,163,11,2,2,4,2,*978,,"$550,000"
23,tagucso01,So Taguchi,Right,5-10,170lb,2006,36,STL,NL,134,361,316,46,84,19,1,2,31,11,3,32,48,0.266,0.335,0.35100000000000003,0.6859999999999999,78.0,111,9,2,9,2,1,*78/94D,,"$825,000"
24,tagucso01,So Taguchi,Right,5-10,170lb,2007,37,STL,NL,130,340,307,48,89,15,0,3,30,7,4,23,32,0.29,0.35,0.368,0.718,88.0,113,10,6,3,1,0,*87/94,,"$925,000"
25,tagucso01,So Taguchi,Right,5-10,170lb,2008,38,PHI,NL,88,103,91,18,20,5,1,0,9,3,0,8,14,0.22,0.28300000000000003,0.297,0.58,52.0,27,2,0,4,0,0,79/8,,"$900,000"
26,tarasto01,Tony Tarasco,Left,6-0,185lb,1993,22,ATL,NL,24,37,35,6,8,2,0,0,2,0,1,0,5,0.22899999999999998,0.243,0.28600000000000003,0.529,42.0,10,1,1,0,1,0,/97,,"$109,000"
27,tarasto01,Tony Tarasco,Left,6-0,185lb,1994,23,ATL,NL,87,144,132,16,36,6,0,5,19,5,0,9,17,0.273,0.313,0.43200000000000005,0.7440000000000001,91.0,57,5,0,0,3,1,79,,"$111,500"
28,tarasto01,Tony Tarasco,Left,6-0,185lb,1995,24,MON,NL,126,495,438,64,109,18,4,14,40,24,3,51,78,0.249,0.32899999999999996,0.40399999999999997,0.733,90.0,177,2,2,3,1,12,*97,,"$135,000"
29,tarasto01,Tony Tarasco,Left,6-0,185lb,1996,25,BAL,AL,31,92,84,14,20,3,0,1,9,5,3,7,15,0.23800000000000002,0.297,0.31,0.606,54.0,26,1,0,1,0,0,9/D8,,"$230,000"
30,tarasto01,Tony Tarasco,Left,6-0,185lb,1997,26,BAL,AL,100,193,166,26,34,8,1,7,26,2,2,25,33,0.205,0.313,0.392,0.7040000000000001,85.0,65,3,1,1,0,1,9/87D,,"$270,000"
31,tartada01,Danny Tartabull,Right,6-1,185lb,1986,23,SEA,AL,137,578,511,76,138,25,6,25,96,4,8,61,157,0.27,0.34700000000000003,0.489,0.836,125.0,250,10,1,2,3,2,947/D5,RoY-5,"$85,000"
