,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,ugglada01,Dan Uggla,Right,5-11,210lb,2006,26,FLA,NL,154,683,611,105,172,26,7,27,90,6,6,48,123,0.282,0.33899999999999997,0.48,0.818,112,293,5,9,7,8,1,*4/D,"AS,RoY-3","$327,000"
1,ugglada01,Dan Uggla,Right,5-11,210lb,2007,27,FLA,NL,159,728,632,113,155,49,3,31,88,2,1,68,167,0.245,0.326,0.479,0.805,108,303,10,13,4,11,0,*4/D,,"$392,000"
2,ugglada01,Dan Uggla,Right,5-11,210lb,2008,28,FLA,NL,146,619,531,97,138,37,1,32,92,5,5,77,171,0.26,0.36,0.514,0.8740000000000001,126,273,10,8,0,3,6,*4,AS,"$417,000"
3,ugglada01,Dan Uggla,Right,5-11,210lb,2009,29,FLA,NL,158,668,564,84,137,27,1,31,90,2,1,92,150,0.243,0.354,0.45899999999999996,0.813,111,259,10,7,1,4,4,*4,,"$5,350,000"
4,ugglada01,Dan Uggla,Right,5-11,210lb,2010,30,FLA,NL,159,674,589,100,169,31,0,33,105,4,1,78,149,0.287,0.369,0.508,0.877,131,299,9,2,0,5,2,*4,"MVP-17,SS","$7,800,000"
5,ugglada01,Dan Uggla,Right,5-11,210lb,2011,31,ATL,NL,161,672,600,88,140,22,1,36,82,1,3,62,156,0.233,0.311,0.45299999999999996,0.764,107,272,9,7,0,3,2,*4,,"$9,146,942"
6,ugglada01,Dan Uggla,Right,5-11,210lb,2012,32,ATL,NL,154,630,523,86,115,29,0,19,78,4,3,94,168,0.22,0.348,0.384,0.732,98,201,8,10,0,3,5,*4,AS,"$13,000,000"
7,ugglada01,Dan Uggla,Right,5-11,210lb,2013,33,ATL,NL,136,537,448,60,80,10,3,22,55,2,0,77,171,0.179,0.309,0.36200000000000004,0.6709999999999999,85,162,7,9,0,3,2,*4/D,,"$13,000,000"
8,ugglada01,Dan Uggla,Right,5-11,210lb,2014,34,TOT,NL,52,157,141,14,21,3,0,2,10,0,0,11,46,0.149,0.22899999999999998,0.213,0.442,27,30,3,4,0,1,0,4,,"$13,000,000"
9,ugglada01,Dan Uggla,Right,5-11,210lb,2014,34,ATL,NL,48,145,130,13,21,3,0,2,10,0,0,10,40,0.162,0.24100000000000002,0.231,0.47200000000000003,35,30,3,4,0,1,0,4,,"$13,000,000"
