,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,zambred01,Eddie Zambrano,Right,6-2,175lb,1994,28,CHC,NL,67,133,116,17,30,7,0,6,18,2,1,16,29,0.259,0.353,0.474,0.828,115,55,3,1,0,0,0,9/375,,"$112,000"
1,zaungr01,Gregg Zaun,Both,5-10,170lb,1995,24,BAL,AL,40,122,104,18,27,5,0,3,14,1,1,16,14,0.26,0.358,0.39399999999999996,0.753,95,41,2,0,2,0,0,2/D,,"$109,000"
2,zaungr01,Gregg Zaun,Both,5-10,170lb,1996,25,TOT,MLB,60,158,139,20,34,9,1,2,15,1,0,14,20,0.245,0.318,0.36700000000000005,0.685,75,51,5,2,1,2,3,2,,"$140,000"
3,zaungr01,Gregg Zaun,Both,5-10,170lb,1996,25,BAL,AL,50,123,108,16,25,8,1,1,13,0,0,11,15,0.231,0.309,0.35200000000000004,0.6609999999999999,67,38,3,2,0,2,2,2,,"$140,000"
4,zaungr01,Gregg Zaun,Both,5-10,170lb,1996,25,FLA,NL,10,35,31,4,9,1,0,1,2,1,0,3,5,0.29,0.353,0.419,0.772,106,13,2,0,1,0,1,2,,"$140,000"
5,zaungr01,Gregg Zaun,Both,5-10,170lb,1997,26,FLA,NL,58,172,143,21,43,10,2,2,20,1,0,26,18,0.301,0.415,0.441,0.856,130,63,3,2,1,0,4,2/3,,"$205,000"
6,zaungr01,Gregg Zaun,Both,5-10,170lb,1998,27,FLA,NL,106,338,298,19,56,12,2,5,29,5,2,35,52,0.188,0.27399999999999997,0.292,0.5660000000000001,53,87,7,1,2,2,2,2/4,,"$280,000"
7,zaungr01,Gregg Zaun,Both,5-10,170lb,1999,28,TEX,AL,43,106,93,12,23,2,1,1,12,1,0,10,7,0.247,0.314,0.32299999999999995,0.637,61,30,2,0,1,2,0,2/D,,"$450,000"
8,zaungr01,Gregg Zaun,Both,5-10,170lb,2000,29,KCR,AL,83,282,234,36,64,11,0,7,33,7,3,43,34,0.27399999999999997,0.39,0.41,0.8,102,96,4,3,0,2,3,2/34,,"$525,000"
9,zaungr01,Gregg Zaun,Both,5-10,170lb,2001,30,KCR,AL,39,138,125,15,40,9,0,6,18,1,2,12,16,0.32,0.377,0.536,0.9129999999999999,132,67,2,0,0,1,0,2/D,,"$1,150,000"
10,zaungr01,Gregg Zaun,Both,5-10,170lb,2002,31,HOU,NL,76,202,185,18,41,7,1,3,24,1,0,12,36,0.222,0.275,0.319,0.594,53,59,4,2,2,1,1,2,,"$1,150,000"
11,zaungr01,Gregg Zaun,Both,5-10,170lb,2003,32,TOT,NL,74,189,166,15,38,8,0,4,21,1,1,19,21,0.22899999999999998,0.309,0.349,0.6579999999999999,67,58,5,1,1,2,0,2,,"$1,200,000"
12,zaungr01,Gregg Zaun,Both,5-10,170lb,2003,32,HOU,NL,59,138,120,9,26,7,0,1,13,1,0,14,14,0.217,0.299,0.3,0.599,56,36,5,1,1,2,0,2,,"$1,200,000"
13,zaungr01,Gregg Zaun,Both,5-10,170lb,2003,32,COL,NL,15,51,46,6,12,1,0,3,8,0,1,5,7,0.261,0.33299999999999996,0.478,0.812,97,22,0,0,0,0,0,2,,"$1,200,000"
14,zaungr01,Gregg Zaun,Both,5-10,170lb,2005,34,TOR,AL,133,512,434,61,109,18,1,11,61,2,3,73,70,0.251,0.355,0.373,0.7290000000000001,94,162,11,0,0,5,2,*2,,"$950,000"
15,zaungr01,Gregg Zaun,Both,5-10,170lb,2006,35,TOR,AL,99,339,290,39,79,19,0,12,40,0,2,41,42,0.272,0.363,0.462,0.825,112,134,10,3,0,5,3,2D,,"$1,000,000"
16,zaungr01,Gregg Zaun,Both,5-10,170lb,2007,36,TOR,AL,110,391,331,43,80,24,1,10,52,0,0,51,55,0.242,0.341,0.41100000000000003,0.752,98,136,9,2,1,6,8,2/D,,"$3,500,000"
17,zaungr01,Gregg Zaun,Both,5-10,170lb,2008,37,TOR,AL,86,288,245,29,58,12,0,6,30,2,1,38,38,0.237,0.34,0.359,0.7,89,88,6,1,3,1,1,2/D,,"$3,750,000"
18,zaungr01,Gregg Zaun,Both,5-10,170lb,2009,38,TOT,AL,90,296,262,34,68,17,0,8,27,0,2,31,48,0.26,0.345,0.41600000000000004,0.7609999999999999,99,109,4,3,0,0,0,2,,"$1,500,000"
19,zaungr01,Gregg Zaun,Both,5-10,170lb,2009,38,BAL,AL,56,197,168,23,41,10,0,4,13,0,0,27,30,0.244,0.355,0.375,0.73,92,63,2,2,0,0,0,2,,"$1,500,000"
20,zaungr01,Gregg Zaun,Both,5-10,170lb,2009,38,TBR,AL,34,99,94,11,27,7,0,4,14,0,2,4,18,0.287,0.32299999999999995,0.489,0.813,112,46,2,1,0,0,0,2,,"$1,500,000"
21,zaungr01,Gregg Zaun,Both,5-10,170lb,2010,39,MIL,NL,28,117,102,11,27,7,0,2,14,0,0,11,12,0.265,0.35,0.392,0.743,101,40,6,3,0,1,0,2,,"$1,900,000"
22,zeileto01,Todd Zeile,Right,6-1,190lb,1989,23,STL,NL,28,93,82,7,21,3,1,1,8,0,0,9,14,0.256,0.326,0.354,0.68,93,29,1,0,1,1,1,2,,"$68,000"
23,zeileto01,Todd Zeile,Right,6-1,190lb,1990,24,STL,NL,144,570,495,62,121,25,3,15,57,2,4,67,77,0.244,0.33299999999999996,0.39799999999999996,0.731,101,197,11,2,0,6,3,253/7,RoY-6,"$100,000"
24,zeileto01,Todd Zeile,Right,6-1,190lb,1991,25,STL,NL,155,638,565,76,158,36,3,11,81,17,11,62,94,0.28,0.353,0.41200000000000003,0.765,115,233,15,5,0,6,3,*5,,"$160,000"
25,zeileto01,Todd Zeile,Right,6-1,190lb,1992,26,STL,NL,126,514,439,51,113,18,4,7,48,7,10,68,70,0.257,0.35200000000000004,0.364,0.7170000000000001,107,160,11,0,0,7,4,*5,,"$315,000"
26,zeileto01,Todd Zeile,Right,6-1,190lb,1993,27,STL,NL,157,647,571,82,158,36,1,17,103,5,4,70,76,0.27699999999999997,0.35200000000000004,0.433,0.785,112,247,15,0,0,6,5,*5,,"$1,025,000"
27,zeileto01,Todd Zeile,Right,6-1,190lb,1994,28,STL,NL,113,477,415,62,111,25,1,19,75,1,3,52,56,0.267,0.348,0.47,0.818,113,195,13,3,0,7,3,*5,,"$2,700,000"
28,zeileto01,Todd Zeile,Right,6-1,190lb,1995,29,TOT,NL,113,473,426,50,105,22,0,14,52,1,0,34,76,0.24600000000000002,0.305,0.397,0.7020000000000001,86,169,13,4,4,5,1,53/7,,"$3,700,000"
29,zeileto01,Todd Zeile,Right,6-1,190lb,1995,29,STL,NL,34,148,127,16,37,6,0,5,22,1,0,18,23,0.29100000000000004,0.37799999999999995,0.457,0.835,122,58,2,1,0,2,1,3,,"$3,700,000"
30,zeileto01,Todd Zeile,Right,6-1,190lb,1995,29,CHC,NL,79,325,299,34,68,16,0,9,30,0,0,16,53,0.22699999999999998,0.271,0.371,0.642,70,111,11,3,4,3,0,5/73,,"$3,700,000"
31,zeileto01,Todd Zeile,Right,6-1,190lb,1996,30,TOT,MLB,163,704,617,78,162,32,0,25,99,1,1,82,104,0.263,0.348,0.436,0.784,105,269,18,1,0,4,4,*53,,"$2,700,000"
32,zeileto01,Todd Zeile,Right,6-1,190lb,1996,30,PHI,NL,134,572,500,61,134,24,0,20,80,1,1,67,88,0.268,0.353,0.436,0.789,108,218,16,1,0,4,4,53,,"$2,700,000"
33,zeileto01,Todd Zeile,Right,6-1,190lb,1996,30,BAL,AL,29,132,117,17,28,8,0,5,19,0,0,15,16,0.239,0.326,0.436,0.762,91,51,2,0,0,0,0,5,,"$2,700,000"
34,zeileto01,Todd Zeile,Right,6-1,190lb,1997,31,LAD,NL,160,672,575,89,154,17,0,31,90,8,7,85,112,0.268,0.365,0.45899999999999996,0.8240000000000001,121,264,18,6,0,6,7,*5,,"$3,100,000"
35,zeileto01,Todd Zeile,Right,6-1,190lb,1998,32,TOT,MLB,158,653,572,85,155,32,3,19,94,4,4,69,90,0.271,0.35,0.43700000000000006,0.787,108,250,12,4,1,7,2,*5/3,,"$3,200,000"
36,zeileto01,Todd Zeile,Right,6-1,190lb,1998,32,TOT,NL,106,440,392,59,108,18,2,13,66,3,4,41,58,0.276,0.345,0.431,0.777,108,169,9,3,0,4,2,5/3,,"$3,200,000"
37,zeileto01,Todd Zeile,Right,6-1,190lb,1998,32,LAD,NL,40,170,158,22,40,6,1,7,27,1,1,10,24,0.253,0.3,0.43700000000000006,0.737,95,69,5,1,0,1,0,5/3,,"$3,200,000"
38,zeileto01,Todd Zeile,Right,6-1,190lb,1998,32,FLA,NL,66,270,234,37,68,12,1,6,39,2,3,31,34,0.29100000000000004,0.374,0.42700000000000005,0.8009999999999999,116,100,4,2,0,3,2,5,,"$3,200,000"
39,zeileto01,Todd Zeile,Right,6-1,190lb,1998,32,TEX,AL,52,213,180,26,47,14,1,6,28,1,0,28,32,0.261,0.358,0.45,0.8079999999999999,106,81,3,1,1,3,0,5,,"$3,200,000"
40,zeileto01,Todd Zeile,Right,6-1,190lb,1999,33,TEX,AL,156,656,588,80,172,41,1,24,98,1,2,56,94,0.293,0.354,0.488,0.8420000000000001,109,287,20,4,1,7,3,*5/3D,,"$3,200,000"
41,zeileto01,Todd Zeile,Right,6-1,190lb,2000,34,NYM,NL,153,623,544,67,146,36,3,22,79,3,4,74,85,0.268,0.35600000000000004,0.467,0.823,110,254,15,2,0,3,4,*3,,"$4,333,333"
42,zeileto01,Todd Zeile,Right,6-1,190lb,2001,35,NYM,NL,151,612,531,66,141,25,1,10,62,1,0,73,102,0.266,0.359,0.373,0.732,95,198,15,6,0,2,3,*3,,"$6,833,333"
43,zeileto01,Todd Zeile,Right,6-1,190lb,2002,36,COL,NL,144,580,506,61,138,23,0,18,87,1,1,66,92,0.273,0.353,0.425,0.778,93,215,27,1,0,7,3,*5/1,,"$6,833,333"
44,zeileto01,Todd Zeile,Right,6-1,190lb,2003,37,TOT,MLB,100,341,299,40,68,10,2,11,42,1,0,34,54,0.22699999999999998,0.308,0.385,0.693,81,115,6,3,0,5,0,53/D,,"$1,500,000"
45,zeileto01,Todd Zeile,Right,6-1,190lb,2003,37,NYY,AL,66,214,186,29,39,8,0,6,23,0,0,24,36,0.21,0.294,0.349,0.644,71,65,3,0,0,4,0,53/D,,"$1,500,000"
46,zeileto01,Todd Zeile,Right,6-1,190lb,2003,37,MON,NL,34,127,113,11,29,2,2,5,19,1,0,10,18,0.257,0.331,0.442,0.773,96,50,3,3,0,1,0,5,,"$1,500,000"
47,zeileto01,Todd Zeile,Right,6-1,190lb,2004,38,NYM,NL,137,396,348,30,81,16,0,9,35,0,0,44,83,0.233,0.319,0.35600000000000004,0.675,76,124,13,1,1,2,1,35/21,,"$1,000,000"
48,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2006,21,WSN,NL,157,682,614,84,176,47,3,20,110,11,8,61,120,0.287,0.35100000000000003,0.47100000000000003,0.8220000000000001,114,289,15,2,1,4,7,*5,RoY-2,"$327,000"
49,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2008,23,WSN,NL,106,466,428,51,121,24,1,14,51,1,1,31,71,0.28300000000000003,0.33299999999999996,0.442,0.774,103,189,12,3,0,4,1,5,,"$465,000"
50,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2009,24,WSN,NL,157,694,610,110,178,37,3,33,106,2,0,72,119,0.292,0.364,0.525,0.888,133,320,22,2,0,9,9,*5/D,"AS,MVP-25,GG,SS","$3,325,000"
51,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2010,25,WSN,NL,142,603,525,85,161,32,0,25,85,4,1,69,98,0.307,0.38799999999999996,0.51,0.899,142,268,16,4,0,5,6,*5/D,"MVP-16,SS","$6,350,000"
52,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2011,26,WSN,NL,101,440,395,52,114,21,2,12,49,3,1,41,73,0.289,0.355,0.44299999999999995,0.7979999999999999,118,175,14,1,0,3,4,5/D,,"$9,025,000"
53,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2012,27,WSN,NL,145,641,578,93,163,36,1,25,95,5,2,57,116,0.282,0.34600000000000003,0.478,0.8240000000000001,121,276,20,2,0,4,8,*5,MVP-24,"$12,000,000"
54,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2013,28,WSN,NL,147,633,568,84,156,26,2,26,79,6,0,60,133,0.275,0.344,0.465,0.809,120,264,16,2,0,3,2,*5/D,,"$14,000,000"
55,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2014,29,WSN,NL,61,240,214,26,60,19,1,5,38,0,0,22,37,0.28,0.342,0.449,0.79,117,96,6,0,0,4,0,75/3D,,"$14,000,000"
56,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2015,30,WSN,NL,95,390,346,43,86,25,1,16,73,1,0,33,79,0.249,0.308,0.465,0.773,107,161,13,1,0,10,0,3/7,,"$14,000,000"
57,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2016,31,WSN,NL,115,467,427,60,93,18,1,15,46,4,1,29,104,0.218,0.272,0.37,0.642,67,158,12,5,0,6,1,*3/D,,"$14,000,000"
58,zimmery01,Ryan Zimmerman,Right,6-3,225lb,2017,32,WSN,NL,144,576,524,90,159,33,0,36,108,1,0,44,126,0.303,0.358,0.573,0.93,135,300,16,3,0,5,1,*3/D,"AS,MVP-20","$14,000,000"
59,zobribe01,Ben Zobrist,Both,6-3,210lb,2007,26,TBD,AL,31,105,97,8,15,2,0,1,9,2,0,3,21,0.155,0.184,0.20600000000000002,0.391,4,20,1,1,2,2,0,6,,"$383,400"
60,zobribe01,Ben Zobrist,Both,6-3,210lb,2008,27,TBR,AL,62,227,198,32,50,10,2,12,30,3,0,25,37,0.253,0.33899999999999997,0.505,0.8440000000000001,120,100,4,2,0,2,1,67/48D95,,"$395,800"
61,zobribe01,Ben Zobrist,Both,6-3,210lb,2009,28,TBR,AL,152,599,501,91,149,28,7,27,91,17,6,91,104,0.297,0.405,0.5429999999999999,0.948,149,272,7,2,1,4,4,496/7835D,"AS,MVP-8","$415,900"
62,zobribe01,Ben Zobrist,Both,6-3,210lb,2010,29,TBR,AL,151,655,541,77,129,28,2,10,75,24,3,92,107,0.23800000000000002,0.34600000000000003,0.353,0.6990000000000001,96,191,10,3,7,12,1,*9438/57,,"$438,100"
63,zobribe01,Ben Zobrist,Both,6-3,210lb,2011,30,TBR,AL,156,674,588,99,158,46,6,20,91,19,6,77,128,0.26899999999999996,0.353,0.469,0.8220000000000001,131,276,9,2,2,5,1,*49/D,MVP-16,"$4,687,300"
64,zobribe01,Ben Zobrist,Both,6-3,210lb,2012,31,TBR,AL,157,668,560,88,151,39,7,20,74,14,9,97,103,0.27,0.377,0.47100000000000003,0.848,137,264,13,3,2,6,7,946/D,MVP-18,"$4,500,000"
65,zobribe01,Ben Zobrist,Both,6-3,210lb,2013,32,TBR,AL,157,698,612,77,168,36,3,12,71,11,3,72,91,0.275,0.354,0.402,0.7559999999999999,112,246,18,7,1,6,4,*496/7D8,AS,"$5,500,000"
66,zobribe01,Ben Zobrist,Both,6-3,210lb,2014,33,TBR,AL,146,654,570,83,155,34,3,10,52,10,5,75,84,0.272,0.354,0.395,0.7490000000000001,116,225,8,1,2,6,4,4769/D8,,"$7,000,000"
67,zobribe01,Ben Zobrist,Both,6-3,210lb,2015,34,TOT,AL,126,535,467,76,129,36,3,13,56,3,4,62,56,0.276,0.359,0.45,0.809,121,210,8,1,0,5,3,47/D95,,"$7,500,000"
68,zobribe01,Ben Zobrist,Both,6-3,210lb,2015,34,OAK,AL,67,271,235,39,63,20,2,6,33,1,1,33,26,0.268,0.354,0.447,0.8009999999999999,122,105,5,0,0,3,2,47/D9,,"$7,500,000"
69,zobribe01,Ben Zobrist,Both,6-3,210lb,2015,34,KCR,AL,59,264,232,37,66,16,1,7,23,2,3,29,30,0.284,0.364,0.45299999999999996,0.816,120,105,3,1,0,2,1,47/5D9,,"$7,500,000"
70,zobribe01,Ben Zobrist,Both,6-3,210lb,2016,35,CHC,NL,147,631,523,94,142,31,3,18,76,6,4,96,82,0.272,0.386,0.446,0.831,121,233,17,4,4,4,6,*479/36,AS,"$10,500,000"
71,zobribe01,Ben Zobrist,Both,6-3,210lb,2017,36,CHC,NL,128,496,435,58,101,20,3,12,50,2,2,54,71,0.23199999999999998,0.318,0.375,0.693,79,163,13,2,2,3,2,479/36,,"$16,500,000"
72,zoskyed01,Eddie Zosky,Right,6-0,175lb,1992,24,TOR,AL,8,8,7,1,2,0,1,0,1,0,0,0,2,0.28600000000000003,0.25,0.5710000000000001,0.821,121,4,0,0,0,1,0,/6,,"$109,000"
73,zuberjo01,Jon Zuber,Left,6-1,190lb,1996,26,PHI,NL,30,99,91,7,23,4,0,1,10,1,0,6,11,0.253,0.29600000000000004,0.33,0.626,66,30,3,0,1,1,1,3,,"$109,000"
74,zuletju01,Julio Zuleta,Right,6-6,230lb,2001,26,CHC,NL,49,118,106,11,23,3,0,6,24,0,1,8,32,0.217,0.28800000000000003,0.415,0.703,83,44,3,3,0,1,1,3,,"$200,000"
75,zuninmi01,Mike Zunino,Right,6-2,220lb,2014,23,SEA,AL,131,476,438,51,87,20,2,22,60,0,3,17,158,0.19899999999999998,0.254,0.40399999999999997,0.6579999999999999,88,177,12,17,0,4,1,*2/D,,"$504,100"
76,zuninmi01,Mike Zunino,Right,6-2,220lb,2015,24,SEA,AL,112,386,350,28,61,11,0,11,28,0,1,21,132,0.174,0.23,0.3,0.53,48,105,6,5,8,2,0,*2,,"$523,500"
77,zuninmi01,Mike Zunino,Right,6-2,220lb,2017,26,SEA,AL,124,435,387,52,97,25,0,25,64,1,0,39,160,0.251,0.331,0.509,0.84,123,197,8,8,0,1,0,*2/D,,"$570,000"
78,zupcibo01,Bob Zupcic,Right,6-4,220lb,1991,24,BOS,AL,18,27,25,3,4,0,0,1,3,0,0,1,6,0.16,0.192,0.28,0.47200000000000003,27,7,0,0,1,0,0,/897,,"$100,000"
