,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,aardsda01,David Aardsma,Right,6-3,215lb,2004,22,SFG,NL,1,0,1.0,6.75,11,0,5,0,0,0,10.2,20,8,8,1,10,0,5,2,0,0,61,67.0,6.71,2.813,16.9,0.8,8.4,4.2,0.5,,"$300,000"
1,aardsda01,David Aardsma,Right,6-3,215lb,2007,25,CHW,AL,2,1,0.667,6.4,25,0,7,0,0,0,32.1,39,24,23,4,17,3,36,1,0,2,151,74.0,4.29,1.732,10.9,1.1,4.7,10.0,2.12,,"$387,500"
2,aardsda01,David Aardsma,Right,6-3,215lb,2008,26,BOS,AL,4,2,0.667,5.55,47,0,7,0,0,0,48.2,49,32,30,4,35,2,49,5,0,3,228,84.0,4.65,1.726,9.1,0.7,6.5,9.1,1.4,,"$403,250"
3,aardsda01,David Aardsma,Right,6-3,215lb,2009,27,SEA,AL,3,6,0.33299999999999996,2.52,73,0,53,0,0,38,71.1,49,23,20,4,34,3,80,0,0,2,296,169.0,3.01,1.1640000000000001,6.2,0.5,4.3,10.1,2.35,,"$419,000"
4,aardsda01,David Aardsma,Right,6-3,215lb,2010,28,SEA,AL,0,6,0.0,3.44,53,0,43,0,0,31,49.2,33,19,19,5,25,5,49,2,0,2,202,115.0,4.05,1.168,6.0,0.9,4.5,8.9,1.96,,"$2,750,000"
5,aardsda01,David Aardsma,Right,6-3,215lb,2012,30,NYY,AL,0,0,,9.0,1,0,1,0,0,0,1.0,1,1,1,1,1,0,1,0,0,0,5,64.0,17.1,2.0,9.0,9.0,9.0,9.0,1.0,,"$500,000"
6,aasedo01,Don Aase,Right,6-3,190lb,1985,30,BAL,AL,10,6,0.625,3.78,54,0,43,0,0,14,88.0,83,44,37,6,35,7,67,1,1,0,366,107.0,3.28,1.341,8.5,0.6,3.6,6.9,1.91,,"$525,000"
7,aasedo01,Don Aase,Right,6-3,190lb,1986,31,BAL,AL,6,7,0.462,2.98,66,0,58,0,0,34,81.2,71,29,27,6,28,2,67,0,0,4,337,140.0,3.11,1.212,7.8,0.7,3.1,7.4,2.39,AS,"$600,000"
8,aasedo01,Don Aase,Right,6-3,190lb,1987,32,BAL,AL,1,0,1.0,2.25,7,0,6,0,0,2,8.0,8,2,2,1,4,0,3,0,0,0,33,203.0,5.25,1.5,9.0,1.1,4.5,3.4,0.75,,"$625,000"
9,aasedo01,Don Aase,Right,6-3,190lb,1988,33,BAL,AL,0,0,,4.05,35,0,16,0,0,0,46.2,40,22,21,4,37,5,28,0,0,1,209,97.0,5.06,1.65,7.7,0.8,7.1,5.4,0.76,,"$675,000"
10,aasedo01,Don Aase,Right,6-3,190lb,1989,34,NYM,NL,1,5,0.16699999999999998,3.94,49,0,22,0,0,2,59.1,56,27,26,5,26,3,34,1,1,0,261,83.0,4.08,1.382,8.5,0.8,3.9,5.2,1.31,,"$400,000"
11,aasedo01,Don Aase,Right,6-3,190lb,1990,35,LAD,NL,3,1,0.75,4.97,32,0,13,0,0,3,38.0,33,24,21,5,19,4,24,0,0,3,163,75.0,4.76,1.368,7.8,1.2,4.5,5.7,1.26,,"$300,000"
12,abadfe01,Fernando Abad,Left,6-1,220lb,2011,25,HOU,NL,1,4,0.2,7.32,29,0,1,0,0,0,19.2,28,18,16,5,9,0,15,1,0,0,99,53.0,6.33,1.881,12.8,2.3,4.1,6.9,1.67,,"$418,000"
13,abadfe01,Fernando Abad,Left,6-1,220lb,2012,26,HOU,NL,0,6,0.0,5.09,37,6,8,0,0,0,46.0,57,27,26,6,19,1,38,3,0,4,208,80.0,4.57,1.652,11.2,1.2,3.7,7.4,2.0,,"$485,000"
14,abadfe01,Fernando Abad,Left,6-1,220lb,2014,28,OAK,AL,2,4,0.33299999999999996,1.57,69,0,17,0,0,0,57.1,34,11,10,4,15,3,51,4,0,0,216,238.0,3.25,0.855,5.3,0.6,2.4,8.0,3.4,,"$525,900"
15,abadfe01,Fernando Abad,Left,6-1,220lb,2015,29,OAK,AL,2,2,0.5,4.15,62,0,17,0,0,0,47.2,45,23,22,11,19,3,45,1,0,4,205,94.0,5.5,1.3430000000000002,8.5,2.1,3.6,8.5,2.37,,"$1,087,500"
16,abadfe01,Fernando Abad,Left,6-1,220lb,2016,30,TOT,AL,1,6,0.14300000000000002,3.66,57,0,15,0,0,1,46.2,40,20,19,4,22,2,41,1,1,1,198,118.0,3.98,1.329,7.7,0.8,4.2,7.9,1.86,,"$1,250,000"
17,abadfe01,Fernando Abad,Left,6-1,220lb,2016,30,MIN,AL,1,4,0.2,2.65,39,0,8,0,0,1,34.0,27,11,10,2,14,2,29,0,1,0,138,161.0,3.44,1.206,7.1,0.5,3.7,7.7,2.07,,"$1,250,000"
18,abadfe01,Fernando Abad,Left,6-1,220lb,2016,30,BOS,AL,0,2,0.0,6.39,18,0,7,0,0,0,12.2,13,9,9,2,8,0,12,1,0,1,60,72.0,5.44,1.6580000000000001,9.2,1.4,5.7,8.5,1.5,,"$1,250,000"
19,abadfe01,Fernando Abad,Left,6-1,220lb,2017,31,BOS,AL,2,1,0.667,3.3,48,0,15,0,0,1,43.2,40,18,16,4,14,1,37,1,1,0,182,139.0,3.68,1.237,8.2,0.8,2.9,7.6,2.64,,"$2,000,000"
20,abbotji01,Jim Abbott,Left,6-3,200lb,1989,21,CAL,AL,12,12,0.5,3.92,29,29,0,4,2,0,181.1,190,95,79,13,74,3,115,4,2,8,788,98.0,3.72,1.456,9.4,0.6,3.7,5.7,1.55,RoY-5,"$68,000"
21,abbotji01,Jim Abbott,Left,6-3,200lb,1990,22,CAL,AL,10,14,0.41700000000000004,4.51,33,33,0,4,1,0,211.2,246,116,106,16,72,6,105,5,3,4,925,84.0,3.89,1.5019999999999998,10.5,0.7,3.1,4.5,1.46,,"$185,000"
22,abbotji01,Jim Abbott,Left,6-3,200lb,1991,23,CAL,AL,18,11,0.621,2.89,34,34,0,5,1,0,243.0,222,85,78,14,73,6,158,5,4,1,1002,142.0,3.27,1.214,8.2,0.5,2.7,5.9,2.16,CYA-3,"$357,500"
23,abbotji01,Jim Abbott,Left,6-3,200lb,1992,24,CAL,AL,7,15,0.318,2.77,29,29,0,7,0,0,211.0,208,73,65,12,68,3,130,4,0,2,874,143.0,3.31,1.308,8.9,0.5,2.9,5.5,1.91,,"$1,850,000"
24,abbotji01,Jim Abbott,Left,6-3,200lb,1993,25,NYY,AL,11,14,0.44,4.37,32,32,0,4,1,0,214.0,221,115,104,22,73,4,95,3,0,9,906,95.0,4.5,1.374,9.3,0.9,3.1,4.0,1.3,,"$2,350,000"
25,abbotji01,Jim Abbott,Left,6-3,200lb,1994,26,NYY,AL,9,8,0.529,4.55,24,24,0,2,0,0,160.1,167,88,81,24,64,1,90,2,1,8,692,101.0,5.19,1.4409999999999998,9.4,1.3,3.6,5.1,1.41,,"$2,775,000"
26,abbotji01,Jim Abbott,Left,6-3,200lb,1995,27,TOT,AL,11,8,0.579,3.7,30,30,0,4,1,0,197.0,209,93,81,14,64,1,86,2,0,1,842,124.0,4.16,1.386,9.5,0.6,2.9,3.9,1.34,,"$2,775,000"
27,abbotji01,Jim Abbott,Left,6-3,200lb,1995,27,CHW,AL,6,4,0.6,3.36,17,17,0,3,0,0,112.1,116,50,42,10,35,1,45,1,0,0,474,134.0,4.42,1.344,9.3,0.8,2.8,3.6,1.29,,"$2,775,000"
28,abbotji01,Jim Abbott,Left,6-3,200lb,1995,27,CAL,AL,5,4,0.556,4.15,13,13,0,1,1,0,84.2,93,43,39,4,29,0,41,1,0,1,368,113.0,3.81,1.4409999999999998,9.9,0.4,3.1,4.4,1.41,,"$2,775,000"
29,abbotji01,Jim Abbott,Left,6-3,200lb,1996,28,CAL,AL,2,18,0.1,7.48,27,23,2,1,0,0,142.0,171,128,118,23,78,3,58,4,1,13,654,66.0,6.19,1.754,10.8,1.5,4.9,3.7,0.74,,"$2,200,000"
30,abbotji01,Jim Abbott,Left,6-3,200lb,1999,31,MIL,NL,2,8,0.2,6.91,20,15,3,0,0,0,82.0,110,71,63,14,42,3,37,2,0,7,394,66.0,6.06,1.854,12.1,1.5,4.6,4.1,0.88,,"$400,000"
31,abbotky01,Kyle Abbott,Left,6-4,200lb,1992,24,PHI,NL,1,14,0.067,5.13,31,19,0,0,0,0,133.1,147,80,76,20,45,0,88,1,1,9,577,69.0,4.45,1.44,9.9,1.4,3.0,5.9,1.96,,"$109,000"
32,abbotky01,Kyle Abbott,Left,6-4,200lb,1995,27,PHI,NL,2,0,1.0,3.81,18,0,3,0,0,0,28.1,28,12,12,3,16,0,21,0,1,2,122,111.0,4.69,1.5530000000000002,8.9,1.0,5.1,6.7,1.31,,"$150,000"
33,abbotpa01,Paul Abbott,Right,6-3,185lb,1990,22,MIN,AL,0,5,0.0,5.97,7,7,0,0,0,0,34.2,37,24,23,0,28,0,25,1,0,1,162,70.0,3.88,1.875,9.6,0.0,7.3,6.5,0.89,,"$100,000"
34,abbotpa01,Paul Abbott,Right,6-3,185lb,1992,24,MIN,AL,0,0,,3.27,6,0,5,0,0,0,11.0,12,4,4,1,5,0,13,1,0,1,50,127.0,3.24,1.545,9.8,0.8,4.1,10.6,2.6,,"$126,000"
35,abbotpa01,Paul Abbott,Right,6-3,185lb,1998,30,SEA,AL,3,1,0.75,4.01,4,4,0,0,0,0,24.2,24,11,11,2,10,0,22,0,0,3,105,115.0,3.63,1.3780000000000001,8.8,0.7,3.6,8.0,2.2,,"$175,000"
36,abbotpa01,Paul Abbott,Right,6-3,185lb,1999,31,SEA,AL,6,2,0.75,3.1,25,7,8,0,0,0,72.2,50,31,25,9,32,3,68,0,0,2,298,161.0,4.19,1.128,6.2,1.1,4.0,8.4,2.13,,"$235,000"
37,abbotpa01,Paul Abbott,Right,6-3,185lb,2000,32,SEA,AL,9,7,0.563,4.22,35,27,2,0,0,0,179.0,164,89,84,23,80,4,100,5,0,3,766,109.0,5.11,1.3630000000000002,8.2,1.2,4.0,5.0,1.25,,"$285,000"
38,abbotpa01,Paul Abbott,Right,6-3,185lb,2001,33,SEA,AL,17,4,0.81,4.25,28,27,0,1,0,0,163.0,145,79,77,21,87,5,118,7,0,11,710,97.0,5.01,1.423,8.0,1.2,4.8,6.5,1.36,,"$1,700,000"
39,abbotpa01,Paul Abbott,Right,6-3,185lb,2002,34,SEA,AL,1,3,0.25,11.96,7,5,1,0,0,0,26.1,40,36,35,5,20,0,22,1,0,2,137,36.0,6.15,2.278,13.7,1.7,6.8,7.5,1.1,,"$3,425,000"
40,abbotpa01,Paul Abbott,Right,6-3,185lb,2004,36,TOT,MLB,3,11,0.214,6.47,20,19,0,0,0,0,96.0,106,76,69,22,58,1,46,4,0,6,451,70.0,7.01,1.7080000000000002,9.9,2.1,5.4,4.3,0.79,,"$600,000"
41,abbotpa01,Paul Abbott,Right,6-3,185lb,2004,36,TBD,AL,2,5,0.28600000000000003,6.7,10,9,0,0,0,0,47.0,49,39,35,8,27,0,25,3,0,3,222,68.0,6.11,1.617,9.4,1.5,5.2,4.8,0.93,,"$600,000"
42,abbotpa01,Paul Abbott,Right,6-3,185lb,2004,36,PHI,NL,1,6,0.14300000000000002,6.24,10,10,0,0,0,0,49.0,57,37,34,14,31,1,21,1,0,3,229,72.0,7.87,1.796,10.5,2.6,5.7,3.9,0.68,,"$600,000"
43,accarje01,Jeremy Accardo,Right,6-0,195lb,2006,24,TOT,MLB,2,4,0.33299999999999996,5.35,65,0,27,0,0,3,69.0,76,42,41,7,20,5,54,1,1,4,297,85.0,3.81,1.391,9.9,0.9,2.6,7.0,2.7,,"$330,000"
44,accarje01,Jeremy Accardo,Right,6-0,195lb,2006,24,SFG,NL,1,3,0.25,4.91,38,0,16,0,0,3,40.1,38,23,22,2,11,3,40,1,0,2,170,92.0,2.7,1.215,8.5,0.4,2.5,8.9,3.64,,"$330,000"
45,accarje01,Jeremy Accardo,Right,6-0,195lb,2006,24,TOR,AL,1,1,0.5,5.97,27,0,11,0,0,0,28.2,38,19,19,5,9,2,14,0,1,2,127,77.0,5.38,1.64,11.9,1.6,2.8,4.4,1.56,,"$330,000"
46,accarje01,Jeremy Accardo,Right,6-0,195lb,2007,25,TOR,AL,4,4,0.5,2.14,64,0,48,0,0,30,67.1,51,19,16,4,24,2,57,2,1,0,275,210.0,3.48,1.114,6.8,0.5,3.2,7.6,2.38,,"$392,200"
47,accarje01,Jeremy Accardo,Right,6-0,195lb,2008,26,TOR,AL,0,3,0.0,6.57,16,0,6,0,0,4,12.1,15,10,9,1,4,2,5,1,0,1,56,66.0,4.59,1.541,10.9,0.7,2.9,3.6,1.25,,"$392,200"
48,accarje01,Jeremy Accardo,Right,6-0,195lb,2009,27,TOR,AL,0,0,,2.55,26,0,5,0,0,1,24.2,23,8,7,2,17,1,18,2,0,0,107,175.0,5.0,1.6219999999999999,8.4,0.7,6.2,6.6,1.06,,"$900,000"
