,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,cabrace01,César Cabral,Left,6-3,250lb,2014,25,NYY,AL,0,0,,27.0,4,0,0,0,0,0,1.0,4,3,3,0,2,0,2,3,1,1,12,20.0,14.13,6.0,36.0,0.0,18.0,18.0,1.0,,"$510,825"
1,cabreal03,Alberto Cabrera,Right,6-4,210lb,2013,24,CHC,NL,0,0,,4.5,7,0,0,0,0,0,6.0,7,3,3,0,5,0,4,1,0,0,30,91.0,4.71,2.0,10.5,0.0,7.5,6.0,0.8,,"$490,000"
2,cabreda01,Daniel Cabrera,Right,6-7,225lb,2005,24,BAL,AL,10,13,0.435,4.52,29,29,0,0,0,0,161.1,144,92,81,14,87,2,157,11,1,9,716,96.0,4.02,1.432,8.0,0.8,4.9,8.8,1.8,,"$325,000"
3,cabreda01,Daniel Cabrera,Right,6-7,225lb,2006,25,BAL,AL,9,10,0.474,4.74,26,26,0,2,1,0,148.0,130,82,78,11,104,1,157,5,1,17,662,95.0,4.2,1.581,7.9,0.7,6.3,9.5,1.51,,"$385,000"
4,cabreda01,Daniel Cabrera,Right,6-7,225lb,2007,26,BAL,AL,9,18,0.33299999999999996,5.55,34,34,0,1,0,0,204.1,207,133,126,25,108,6,166,15,2,7,922,83.0,5.01,1.5419999999999998,9.1,1.1,4.8,7.3,1.54,,"$1,825,000"
5,cabreda01,Daniel Cabrera,Right,6-7,225lb,2008,27,BAL,AL,8,10,0.444,5.25,30,30,0,2,0,0,180.0,199,109,105,24,90,5,95,18,2,15,821,85.0,5.61,1.6059999999999999,10.0,1.2,4.5,4.8,1.06,,"$2,875,000"
6,cabreda01,Daniel Cabrera,Right,6-7,225lb,2009,28,TOT,NL,0,6,0.0,6.0,15,9,4,0,0,0,51.0,59,47,34,4,42,1,23,4,0,11,258,72.0,5.92,1.98,10.4,0.7,7.4,4.1,0.55,,"$2,600,000"
7,cabreda01,Daniel Cabrera,Right,6-7,225lb,2009,28,WSN,NL,0,5,0.0,5.85,9,8,0,0,0,0,40.0,48,39,26,4,35,1,16,2,0,10,207,73.0,6.37,2.075,10.8,0.9,7.9,3.6,0.46,,"$2,600,000"
8,cabreda01,Daniel Cabrera,Right,6-7,225lb,2009,28,ARI,NL,0,1,0.0,6.55,6,1,4,0,0,0,11.0,11,8,8,0,7,0,7,2,0,1,51,70.0,4.28,1.636,9.0,0.0,5.7,5.7,1.0,,"$2,600,000"
9,cabrefe01,Fernando Cabrera,Right,6-4,225lb,2006,24,CLE,AL,3,3,0.5,5.19,51,0,20,0,0,0,60.2,53,36,35,12,32,2,71,1,0,5,256,87.0,5.01,1.401,7.9,1.8,4.7,10.5,2.22,,"$330,800"
10,cabrefe01,Fernando Cabrera,Right,6-4,225lb,2007,25,TOT,AL,1,2,0.33299999999999996,7.21,33,0,13,0,0,1,43.2,50,36,35,9,31,3,48,0,0,2,207,64.0,5.85,1.855,10.3,1.9,6.4,9.9,1.55,,"$391,800"
11,cabrefe01,Fernando Cabrera,Right,6-4,225lb,2007,25,CLE,AL,1,2,0.33299999999999996,5.61,24,0,9,0,0,0,33.2,38,22,21,7,22,3,39,0,0,1,157,81.0,5.59,1.7819999999999998,10.2,1.9,5.9,10.4,1.77,,"$391,800"
12,cabrefe01,Fernando Cabrera,Right,6-4,225lb,2007,25,BAL,AL,0,0,,12.6,9,0,4,0,0,1,10.0,12,14,14,2,9,0,9,0,0,1,50,38.0,6.74,2.1,10.8,1.8,8.1,8.1,1.0,,"$391,800"
13,cabrefe01,Fernando Cabrera,Right,6-4,225lb,2008,26,BAL,AL,2,1,0.667,5.4,22,0,8,0,0,0,28.1,32,18,17,9,17,2,31,0,0,3,132,83.0,6.87,1.729,10.2,2.9,5.4,9.8,1.82,,"$575,000"
14,cabrejo01,José Cabrera,Right,6-0,205lb,1998,26,HOU,NL,0,0,,8.31,3,0,1,0,0,0,4.1,7,4,4,0,1,1,1,0,0,0,19,54.0,3.37,1.8459999999999999,14.5,0.0,2.1,2.1,1.0,,"$180,000"
15,cabrejo01,José Cabrera,Right,6-0,205lb,1999,27,HOU,NL,4,0,1.0,2.15,26,0,11,0,0,0,29.1,21,7,7,3,9,2,28,0,0,4,119,211.0,3.47,1.023,6.4,0.9,2.8,8.6,3.11,,"$215,000"
16,cabrejo01,José Cabrera,Right,6-0,205lb,2000,28,HOU,NL,2,3,0.4,5.92,52,0,22,0,0,2,59.1,74,40,39,10,17,2,41,3,1,1,266,84.0,4.95,1.534,11.2,1.5,2.6,6.2,2.41,,"$252,500"
