,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,d'amije01,Jeff D'Amico,Right,6-7,250lb,1996,20,MIL,AL,6,6,0.5,5.44,17,17,0,0,0,0,86.0,88,53,52,21,31,0,53,0,1,1,367,96.0,6.2,1.3840000000000001,9.2,2.2,3.2,5.5,1.71,RoY-7,"$109,000"
1,d'amije01,Jeff D'Amico,Right,6-7,250lb,1997,21,MIL,AL,9,7,0.563,4.71,23,23,0,1,1,0,135.2,139,81,71,25,43,2,94,8,1,3,585,99.0,5.25,1.3419999999999999,9.2,1.7,2.9,6.2,2.19,,"$172,500"
2,d'amije01,Jeff D'Amico,Right,6-7,250lb,1999,23,MIL,NL,0,0,,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,4,,1.13,1.0,9.0,0.0,0.0,9.0,,,"$242,500"
3,d'amije01,Jeff D'Amico,Right,6-7,250lb,2001,25,MIL,NL,2,4,0.33299999999999996,6.08,10,10,0,0,0,0,47.1,60,42,32,11,16,4,32,1,0,2,216,71.0,5.8,1.6059999999999999,11.4,2.1,3.0,6.1,2.0,,"$2,300,000"
4,d'amije01,Jeff D'Amico,Right,6-7,250lb,2002,26,NYM,NL,6,10,0.375,4.94,29,22,1,1,1,0,145.2,152,84,80,20,37,8,101,3,0,0,621,81.0,4.18,1.297,9.4,1.2,2.3,6.2,2.73,,"$1,840,000"
5,d'amije01,Jeff D'Amico,Right,6-7,250lb,2003,27,PIT,NL,9,16,0.36,4.77,29,29,0,2,1,0,175.1,204,104,93,23,42,6,100,7,0,6,765,92.0,4.43,1.403,10.5,1.2,2.2,5.1,2.38,,"$750,000"
6,d'amije01,Jeff D'Amico,Right,6-7,250lb,2004,28,CLE,AL,1,2,0.33299999999999996,7.63,7,7,0,0,0,0,30.2,45,29,26,6,6,0,16,1,0,0,144,58.0,5.23,1.663,13.2,1.8,1.8,4.7,2.67,,"$750,000"
7,daalom01,Omar Daal,Left,6-3,160lb,1994,22,LAD,NL,0,0,,3.29,24,0,5,0,0,0,13.2,12,5,5,1,5,0,9,0,1,1,55,123.0,3.86,1.244,7.9,0.7,3.3,5.9,1.8,,"$147,000"
8,daalom01,Omar Daal,Left,6-3,160lb,1995,23,LAD,NL,4,0,1.0,7.2,28,0,0,0,0,0,20.0,29,16,16,1,15,4,11,1,1,0,100,53.0,5.05,2.2,13.1,0.5,6.8,5.0,0.73,,"$156,000"
9,daalom01,Omar Daal,Left,6-3,160lb,1996,24,MON,NL,4,5,0.444,4.02,64,6,9,0,0,0,87.1,74,40,39,10,37,3,82,1,1,1,366,108.0,4.09,1.271,7.6,1.0,3.8,8.5,2.22,,"$156,000"
