,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,easteja01,Jamie Easterly,Left,5-9,180lb,1985,32,CLE,AL,4,1,0.8,3.92,50,7,18,0,0,0,98.2,96,52,43,9,53,4,58,4,0,7,435,106.0,4.43,1.51,8.8,0.8,4.8,5.3,1.09,,"$265,000"
1,easteja01,Jamie Easterly,Left,5-9,180lb,1986,33,CLE,AL,0,2,0.0,7.64,13,0,4,0,0,0,17.2,27,16,15,3,12,0,9,0,0,2,89,55.0,6.0,2.208,13.8,1.5,6.1,4.6,0.75,,"$350,000"
2,easteja01,Jamie Easterly,Left,5-9,180lb,1987,34,CLE,AL,1,1,0.5,4.55,16,0,1,0,0,0,31.2,26,17,16,4,13,1,22,1,0,5,137,100.0,4.45,1.232,7.4,1.1,3.7,6.3,1.69,,"$370,000"
3,eatonad01,Adam Eaton,Right,6-2,190lb,2001,23,SDP,NL,8,5,0.615,4.32,17,17,0,2,0,0,116.2,108,61,56,20,40,3,109,5,0,3,499,92.0,4.57,1.2690000000000001,8.3,1.5,3.1,8.4,2.73,,"$235,000"
4,eatonad01,Adam Eaton,Right,6-2,190lb,2002,24,SDP,NL,1,1,0.5,5.4,6,6,0,0,0,0,33.1,28,20,20,5,17,0,25,2,0,2,142,70.0,5.12,1.35,7.6,1.4,4.6,6.8,1.47,,"$280,000"
5,eatonad01,Adam Eaton,Right,6-2,190lb,2003,25,SDP,NL,9,12,0.429,4.08,31,31,0,1,0,0,183.0,173,91,83,20,68,6,146,7,1,7,789,97.0,4.09,1.317,8.5,1.0,3.3,7.2,2.15,,"$350,000"
6,eatonad01,Adam Eaton,Right,6-2,190lb,2004,26,SDP,NL,11,14,0.44,4.61,33,33,0,0,0,0,199.1,204,113,102,28,52,3,153,10,0,5,848,84.0,4.27,1.284,9.2,1.3,2.3,6.9,2.94,,"$1,925,000"
7,eatonad01,Adam Eaton,Right,6-2,190lb,2005,27,SDP,NL,11,5,0.688,4.27,24,22,2,0,0,0,128.2,140,70,61,14,44,6,100,5,0,5,568,90.0,4.02,1.43,9.8,1.0,3.1,7.0,2.27,,"$3,375,000"
8,eatonad01,Adam Eaton,Right,6-2,190lb,2006,28,TEX,AL,7,4,0.636,5.12,13,13,0,0,0,0,65.0,78,38,37,11,24,0,43,4,0,0,291,90.0,5.32,1.569,10.8,1.5,3.3,6.0,1.79,,"$4,650,000"
9,eatonad01,Adam Eaton,Right,6-2,190lb,2007,29,PHI,NL,10,10,0.5,6.29,30,30,0,0,0,0,161.2,192,117,113,30,71,4,97,11,0,6,734,73.0,5.97,1.6269999999999998,10.7,1.7,4.0,5.4,1.37,,"$7,208,333"
