,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,fajarhe01,Héctor Fajardo,Right,6-4,185lb,1993,22,TEX,AL,0,0,,0.0,1,0,1,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,,-0.01,0.0,0.0,0.0,0.0,13.5,,,"$110,000"
1,falkebr01,Brian Falkenborg,Right,6-7,235lb,2004,26,LAD,NL,1,0,1.0,7.53,6,0,1,0,0,0,14.1,19,14,12,2,9,0,11,3,0,1,73,56.0,5.84,1.953,11.9,1.3,5.7,6.9,1.22,,"$302,500"
2,familje01,Jeurys Familia,Right,6-3,240lb,2013,23,NYM,NL,0,0,,4.22,9,0,3,0,0,1,10.2,12,5,5,2,9,1,8,0,0,3,52,88.0,6.52,1.969,10.1,1.7,7.6,6.8,0.89,,"$491,750"
3,familje01,Jeurys Familia,Right,6-3,240lb,2014,24,NYM,NL,2,5,0.28600000000000003,2.21,76,0,16,0,0,5,77.1,59,26,19,3,32,5,73,2,0,9,322,157.0,3.07,1.177,6.9,0.3,3.7,8.5,2.28,RoY-7,"$502,550"
4,familje01,Jeurys Familia,Right,6-3,240lb,2015,25,NYM,NL,2,2,0.5,1.85,76,0,65,0,0,43,78.0,59,16,16,6,19,1,86,2,0,4,308,207.0,2.74,1.0,6.8,0.7,2.2,9.9,4.53,,"$523,925"
5,familje01,Jeurys Familia,Right,6-3,240lb,2016,26,NYM,NL,3,4,0.429,2.55,78,0,67,0,0,51,77.2,63,25,22,1,31,6,84,1,0,3,321,158.0,2.39,1.21,7.3,0.1,3.6,9.7,2.71,"AS,MVP-17","$4,100,000"
6,familje01,Jeurys Familia,Right,6-3,240lb,2017,27,NYM,NL,2,2,0.5,4.38,26,0,15,0,0,6,24.2,21,14,12,1,15,3,25,1,0,1,111,98.0,3.6,1.459,7.7,0.4,5.5,9.1,1.67,,"$7,425,000"
7,farmebu01,Buck Farmer,Right,6-4,225lb,2016,25,DET,AL,0,1,0.0,4.6,14,1,7,0,0,0,29.1,25,15,15,4,20,1,27,1,0,2,131,93.0,5.23,1.534,7.7,1.2,6.1,8.3,1.35,,"$509,500"
8,farmeho01,Howard Farmer,Right,6-3,185lb,1990,23,MON,NL,0,3,0.0,7.04,6,4,0,0,0,0,23.0,26,18,18,9,10,1,14,0,0,1,99,53.0,7.98,1.565,10.2,3.5,3.9,5.5,1.4,,"$100,000"
9,farnsje01,Jeff Farnsworth,Right,6-2,190lb,2002,26,DET,AL,2,3,0.4,5.79,44,0,15,0,0,0,70.0,100,47,45,6,29,8,28,2,1,6,331,74.0,4.6,1.8430000000000002,12.9,0.8,3.7,3.6,0.97,,"$200,000"
10,farnsky01,Kyle Farnsworth,Right,6-4,230lb,1999,23,CHC,NL,5,9,0.35700000000000004,5.05,27,21,1,1,1,0,130.0,140,80,73,28,52,1,70,3,1,7,579,89.0,6.13,1.4769999999999999,9.7,1.9,3.6,4.8,1.35,,"$200,000"
11,farnsky01,Kyle Farnsworth,Right,6-4,230lb,2000,24,CHC,NL,2,9,0.182,6.43,46,5,8,0,0,1,77.0,90,58,55,14,50,8,74,4,0,3,371,71.0,5.68,1.818,10.5,1.6,5.8,8.6,1.48,,"$235,000"
12,farnsky01,Kyle Farnsworth,Right,6-4,230lb,2001,25,CHC,NL,4,6,0.4,2.74,76,0,24,0,0,2,82.0,65,26,25,8,29,2,107,1,2,2,339,152.0,2.81,1.146,7.1,0.9,3.2,11.7,3.69,,"$245,000"
13,farnsky01,Kyle Farnsworth,Right,6-4,230lb,2002,26,CHC,NL,4,6,0.4,7.33,45,0,17,0,0,1,46.2,53,47,38,9,24,7,46,1,0,1,213,55.0,5.1,1.65,10.2,1.7,4.6,8.9,1.92,,"$410,000"
14,farnsky01,Kyle Farnsworth,Right,6-4,230lb,2003,27,CHC,NL,3,2,0.6,3.3,77,0,13,0,0,0,76.1,53,31,28,6,36,1,92,0,0,6,312,132.0,3.06,1.166,6.2,0.7,4.2,10.8,2.56,,"$600,000"
15,farnsky01,Kyle Farnsworth,Right,6-4,230lb,2004,28,CHC,NL,4,5,0.444,4.73,72,0,25,0,0,0,66.2,67,39,35,10,33,1,78,2,0,1,298,94.0,4.23,1.5,9.0,1.4,4.5,10.5,2.36,,"$1,400,000"
16,farnsky01,Kyle Farnsworth,Right,6-4,230lb,2005,29,TOT,MLB,1,1,0.5,2.19,72,0,34,0,0,16,70.0,44,18,17,5,27,0,87,3,1,3,277,196.0,2.75,1.014,5.7,0.6,3.5,11.2,3.22,,"$1,975,000"
17,farnsky01,Kyle Farnsworth,Right,6-4,230lb,2005,29,DET,AL,1,1,0.5,2.32,46,0,16,0,0,6,42.2,29,12,11,1,20,0,55,1,0,2,174,184.0,2.22,1.148,6.1,0.2,4.2,11.6,2.75,,"$1,975,000"
18,farnsky01,Kyle Farnsworth,Right,6-4,230lb,2005,29,ATL,NL,0,0,,1.98,26,0,18,0,0,10,27.1,15,6,6,4,7,0,32,2,1,1,103,217.0,3.57,0.805,4.9,1.3,2.3,10.5,4.57,,"$1,975,000"
