,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,haasda01,Dave Haas,Right,6-1,200lb,1993,27,DET,AL,1,2,0.33299999999999996,6.11,20,0,5,0,0,0,28.0,45,20,19,9,8,5,17,0,0,0,131,71.0,6.81,1.893,14.5,2.9,2.6,5.5,2.13,,"$137,500"
1,haasmo01,Moose Haas,Right,6-0,180lb,1985,29,MIL,AL,8,8,0.5,3.84,27,26,0,6,1,0,161.2,165,85,69,21,25,3,78,1,0,2,666,108.0,3.89,1.175,9.2,1.2,1.4,4.3,3.12,,"$679,167"
2,haasmo01,Moose Haas,Right,6-0,180lb,1987,31,OAK,AL,2,2,0.5,5.75,9,9,0,0,0,0,40.2,57,29,26,7,9,0,13,0,1,0,181,73.0,5.13,1.6230000000000002,12.6,1.5,2.0,2.9,1.44,,"$578,889"
3,habyajo01,John Habyan,Right,6-1,195lb,1987,23,BAL,AL,6,7,0.462,4.8,27,13,4,0,0,1,116.1,110,67,62,20,40,1,64,2,0,3,493,92.0,5.09,1.2890000000000001,8.5,1.5,3.1,5.0,1.6,,"$62,500"
4,habyajo01,John Habyan,Right,6-1,195lb,1991,27,NYY,AL,4,2,0.667,2.3,66,0,16,0,0,2,90.0,73,28,23,2,20,2,70,2,2,1,349,181.0,2.32,1.033,7.3,0.2,2.0,7.0,3.5,,"$105,000"
5,habyajo01,John Habyan,Right,6-1,195lb,1992,28,NYY,AL,5,6,0.455,3.84,56,0,20,0,0,7,72.2,84,32,31,6,21,5,44,2,1,2,316,102.0,3.59,1.445,10.4,0.7,2.6,5.4,2.1,,"$500,000"
6,habyajo01,John Habyan,Right,6-1,195lb,1993,29,TOT,AL,2,1,0.667,4.15,48,0,23,0,0,1,56.1,59,27,26,6,20,4,39,0,2,0,239,104.0,4.05,1.402,9.4,1.0,3.2,6.2,1.95,,"$600,000"
7,habyajo01,John Habyan,Right,6-1,195lb,1993,29,NYY,AL,2,1,0.667,4.04,36,0,21,0,0,1,42.1,45,20,19,5,16,2,29,0,2,0,181,104.0,4.29,1.4409999999999998,9.6,1.1,3.4,6.2,1.81,,"$600,000"
8,habyajo01,John Habyan,Right,6-1,195lb,1993,29,KCR,AL,0,0,,4.5,12,0,2,0,0,0,14.0,14,7,7,1,4,2,10,0,0,0,58,105.0,3.35,1.286,9.0,0.6,2.6,6.4,2.5,,"$600,000"
9,habyajo01,John Habyan,Right,6-1,195lb,1994,30,STL,NL,1,0,1.0,3.23,52,0,10,0,0,1,47.1,50,17,17,2,20,8,46,0,0,4,204,129.0,3.0,1.479,9.5,0.4,3.8,8.7,2.3,,"$500,000"
10,habyajo01,John Habyan,Right,6-1,195lb,1995,31,TOT,MLB,4,4,0.5,3.44,59,0,16,0,0,0,73.1,68,34,28,2,27,4,60,2,3,4,311,129.0,3.01,1.295,8.3,0.2,3.3,7.4,2.22,,"$600,000"
11,habyajo01,John Habyan,Right,6-1,195lb,1995,31,STL,NL,3,2,0.6,2.88,31,0,9,0,0,0,40.2,32,18,13,0,15,4,35,1,3,2,165,145.0,2.56,1.156,7.1,0.0,3.3,7.7,2.33,,"$600,000"
12,habyajo01,John Habyan,Right,6-1,195lb,1995,31,CAL,AL,1,2,0.33299999999999996,4.13,28,0,7,0,0,0,32.2,36,16,15,2,12,0,25,1,0,2,146,114.0,3.56,1.469,9.9,0.6,3.3,6.9,2.08,,"$600,000"
13,hackmlu01,Luther Hackman,Right,6-4,195lb,2001,26,STL,NL,1,2,0.33299999999999996,4.29,35,0,8,0,0,1,35.2,28,18,17,7,14,0,24,2,1,1,149,102.0,5.6,1.178,7.1,1.8,3.5,6.1,1.71,,"$200,000"
14,hackmlu01,Luther Hackman,Right,6-4,195lb,2002,27,STL,NL,5,4,0.556,4.11,43,6,9,0,0,0,81.0,90,42,37,7,39,3,46,4,1,7,366,98.0,4.54,1.5930000000000002,10.0,0.8,4.3,5.1,1.18,,"$245,000"
15,hackmlu01,Luther Hackman,Right,6-4,195lb,2003,28,SDP,NL,2,2,0.5,5.17,65,0,16,0,0,0,76.2,78,51,44,7,36,2,48,8,0,6,347,77.0,4.69,1.4869999999999999,9.2,0.8,4.2,5.6,1.33,,"$345,000"
16,haegech01,Charlie Haeger,Right,6-1,210lb,2010,26,LAD,NL,0,4,0.0,8.4,9,6,1,0,0,0,30.0,36,32,28,4,26,0,30,1,0,4,151,47.0,5.51,2.0669999999999997,10.8,1.2,7.8,9.0,1.15,,"$411,000"
17,hagadni01,Nick Hagadone,Left,6-5,230lb,2013,27,CLE,AL,0,1,0.0,5.46,36,0,1,0,0,0,31.1,24,21,19,4,21,1,30,0,0,3,133,70.0,4.8,1.436,6.9,1.1,6.0,8.6,1.43,,"$492,100"
18,hagadni01,Nick Hagadone,Left,6-5,230lb,2015,29,CLE,AL,0,1,0.0,4.28,36,0,6,0,0,0,27.1,30,16,13,3,12,1,28,0,0,2,124,102.0,3.83,1.537,9.9,1.0,4.0,9.2,2.33,,"$517,100"
19,hahnje01,Jesse Hahn,Right,6-4,215lb,2015,25,OAK,AL,6,6,0.5,3.35,16,16,0,1,1,0,96.2,88,46,36,5,25,1,64,8,0,7,406,117.0,3.51,1.169,8.2,0.5,2.3,6.0,2.56,,"$507,500"
20,halamjo01,John Halama,Left,6-5,215lb,1998,26,HOU,NL,1,1,0.5,5.85,6,6,0,0,0,0,32.1,37,21,21,0,13,0,21,2,1,2,147,71.0,3.23,1.546,10.3,0.0,3.6,5.8,1.62,,"$170,000"
21,halamjo01,John Halama,Left,6-5,215lb,1999,27,SEA,AL,11,10,0.524,4.22,38,24,7,1,1,0,179.0,193,88,84,20,56,3,105,7,0,4,763,118.0,4.47,1.391,9.7,1.0,2.8,5.3,1.88,,"$200,000"
22,halamjo01,John Halama,Left,6-5,215lb,2000,28,SEA,AL,14,9,0.609,5.08,30,30,0,1,1,0,166.2,206,108,94,19,56,0,87,2,1,4,736,90.0,4.62,1.5719999999999998,11.1,1.0,3.0,4.7,1.55,,"$290,000"
23,halamjo01,John Halama,Left,6-5,215lb,2001,29,SEA,AL,10,7,0.588,4.73,31,17,6,0,0,0,110.1,132,69,58,18,26,0,50,6,0,2,485,87.0,5.13,1.432,10.8,1.5,2.1,4.1,1.92,,"$425,000"
24,halamjo01,John Halama,Left,6-5,215lb,2002,30,SEA,AL,6,5,0.545,3.56,31,10,12,0,0,0,101.0,112,45,40,9,33,5,70,1,1,2,438,119.0,3.74,1.436,10.0,0.8,2.9,6.2,2.12,,"$1,400,000"
25,halamjo01,John Halama,Left,6-5,215lb,2003,31,OAK,AL,3,5,0.375,4.22,35,13,4,0,0,0,108.2,117,68,51,18,36,2,51,2,3,3,484,105.0,5.29,1.4080000000000001,9.7,1.5,3.0,4.2,1.42,,"$750,000"
26,halamjo01,John Halama,Left,6-5,215lb,2004,32,TBD,AL,7,6,0.5379999999999999,4.7,34,14,7,0,0,0,118.2,134,68,62,17,27,3,59,10,1,1,513,96.0,4.85,1.357,10.2,1.3,2.0,4.5,2.19,,"$600,000"
27,halamjo01,John Halama,Left,6-5,215lb,2005,33,TOT,MLB,1,4,0.2,5.68,40,4,15,0,0,0,65.0,79,44,41,6,17,3,37,7,0,2,298,78.0,4.19,1.4769999999999999,10.9,0.8,2.4,5.1,2.18,,"$850,000"
28,halamjo01,John Halama,Left,6-5,215lb,2005,33,BOS,AL,1,1,0.5,6.18,30,1,13,0,0,0,43.2,56,33,30,5,9,3,26,7,0,2,205,74.0,4.42,1.489,11.5,1.0,1.9,5.4,2.89,,"$850,000"
29,halamjo01,John Halama,Left,6-5,215lb,2005,33,WSN,NL,0,3,0.0,4.64,10,3,2,0,0,0,21.1,23,11,11,1,8,0,11,0,0,0,93,89.0,3.72,1.453,9.7,0.4,3.4,4.6,1.38,,"$850,000"
30,haleda02,David Hale,Right,6-2,210lb,2014,26,ATL,NL,4,5,0.444,3.3,45,6,13,0,0,0,87.1,89,38,32,5,39,8,44,3,0,5,383,108.0,4.31,1.466,9.2,0.5,4.0,4.5,1.13,,"$502,500"
31,haleyju01,Justin Haley,Right,6-5,230lb,2017,26,MIN,AL,0,0,,6.0,10,0,5,0,0,1,18.0,22,12,12,3,6,0,14,1,0,0,81,74.0,4.94,1.556,11.0,1.5,3.0,7.0,2.33,,"$535,000"
32,hallaro01,Roy Halladay,Right,6-6,225lb,1999,22,TOR,AL,8,7,0.5329999999999999,3.92,36,18,2,1,1,1,149.1,156,76,65,19,79,1,82,4,0,6,668,125.0,5.36,1.574,9.4,1.1,4.8,4.9,1.04,,"$200,000"
33,hallaro01,Roy Halladay,Right,6-6,225lb,2000,23,TOR,AL,4,7,0.364,10.64,19,13,4,0,0,0,67.2,107,87,80,14,42,0,44,2,1,6,349,48.0,6.47,2.202,14.2,1.9,5.6,5.9,1.05,,"$383,333"
34,hallaro01,Roy Halladay,Right,6-6,225lb,2002,25,TOR,AL,19,7,0.731,2.93,34,34,0,2,1,0,239.1,223,93,78,10,62,6,168,7,1,4,993,157.0,2.97,1.1909999999999998,8.4,0.4,2.3,6.3,2.71,AS,"$2,583,333"
35,hallaro01,Roy Halladay,Right,6-6,225lb,2003,26,TOR,AL,22,7,0.759,3.25,36,36,0,9,2,0,266.0,253,111,96,26,32,1,204,9,1,6,1071,145.0,3.23,1.071,8.6,0.9,1.1,6.9,6.38,"AS,CYA-1","$3,825,000"
36,hallaro01,Roy Halladay,Right,6-6,225lb,2004,27,TOR,AL,8,8,0.5,4.2,21,21,0,1,1,0,133.0,140,66,62,13,39,1,95,1,2,2,561,115.0,3.79,1.3459999999999999,9.5,0.9,2.6,6.4,2.44,,"$6,000,000"
37,hallaro01,Roy Halladay,Right,6-6,225lb,2005,28,TOR,AL,12,4,0.75,2.41,19,19,0,5,2,0,141.2,118,39,38,11,18,2,108,7,1,2,553,185.0,3.03,0.96,7.5,0.7,1.1,6.9,6.0,AS,"$10,500,000"
38,hallaro01,Roy Halladay,Right,6-6,225lb,2006,29,TOR,AL,16,5,0.762,3.19,32,32,0,4,0,0,220.0,208,82,78,19,34,5,132,5,0,3,876,143.0,3.6,1.1,8.5,0.8,1.4,5.4,3.88,"AS,CYA-3","$12,750,000"
39,hallaro01,Roy Halladay,Right,6-6,225lb,2007,30,TOR,AL,16,7,0.696,3.71,31,31,0,7,1,0,225.1,232,101,93,15,48,3,139,3,0,4,927,121.0,3.55,1.2429999999999999,9.3,0.6,1.9,5.6,2.9,CYA-5,"$12,750,000"
40,hallaro01,Roy Halladay,Right,6-6,225lb,2008,31,TOR,AL,20,11,0.645,2.78,34,33,0,9,2,0,246.0,220,88,76,18,39,3,206,12,0,4,987,152.0,3.03,1.053,8.0,0.7,1.4,7.5,5.28,"AS,CYA-2","$10,000,000"
41,hallaro01,Roy Halladay,Right,6-6,225lb,2009,32,TOR,AL,17,10,0.63,2.79,32,32,0,9,4,0,239.0,234,82,74,22,35,0,208,5,0,2,963,159.0,3.06,1.126,8.8,0.8,1.3,7.8,5.94,"AS,CYA-5","$14,250,000"
42,hallaro01,Roy Halladay,Right,6-6,225lb,2010,33,PHI,NL,21,10,0.677,2.44,33,33,0,9,4,0,250.2,231,74,68,24,30,1,219,6,1,5,993,167.0,3.01,1.041,8.3,0.9,1.1,7.9,7.3,"AS,CYA-1,MVP-6","$15,750,000"
43,hallaro01,Roy Halladay,Right,6-6,225lb,2011,34,PHI,NL,19,6,0.76,2.35,32,32,0,8,1,0,233.2,208,65,61,10,35,4,220,4,1,2,933,163.0,2.2,1.04,8.0,0.4,1.3,8.5,6.29,"AS,CYA-2,MVP-9","$20,000,000"
44,hallaro01,Roy Halladay,Right,6-6,225lb,2012,35,PHI,NL,11,8,0.579,4.49,25,25,0,0,0,0,156.1,155,78,78,18,36,0,132,5,0,2,646,90.0,3.69,1.222,8.9,1.0,2.1,7.6,3.67,,"$20,000,000"
45,hallaro01,Roy Halladay,Right,6-6,225lb,2013,36,PHI,NL,4,5,0.444,6.82,13,13,0,1,0,0,62.0,55,48,47,12,36,1,51,10,0,4,282,55.0,6.14,1.4680000000000002,8.0,1.7,5.2,7.4,1.42,,"$20,000,000"
46,hallbi03,Bill Hall,Right,6-0,210lb,2010,30,BOS,AL,0,0,,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.08,0.0,0.0,0.0,0.0,0.0,,,"$8,525,000"
47,hallda01,Darren Hall,Right,6-3,205lb,1995,30,TOR,AL,0,2,0.0,4.41,17,0,11,0,0,3,16.1,21,9,8,2,9,0,11,0,0,0,77,109.0,5.0,1.837,11.6,1.1,5.0,6.1,1.22,,"$175,000"
48,hallda01,Darren Hall,Right,6-3,205lb,1996,31,LAD,NL,0,2,0.0,6.0,9,0,3,0,0,0,12.0,13,9,8,2,5,0,12,0,0,0,53,67.0,4.59,1.5,9.8,1.5,3.8,9.0,2.4,,"$175,000"
49,hallda01,Darren Hall,Right,6-3,205lb,1997,32,LAD,NL,3,2,0.6,2.3,63,0,20,0,0,2,54.2,58,15,14,3,26,7,39,0,0,0,233,169.0,3.82,1.537,9.5,0.5,4.3,6.4,1.5,,"$365,000"
