,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,igarary01,Ryota Igarashi,Right,5-11,200lb,2010,31,NYM,NL,1,1,0.5,7.12,34,0,11,0,0,0,30.1,29,24,24,4,18,1,25,0,0,3,135,56.0,4.93,1.5490000000000002,8.6,1.2,5.3,7.4,1.39,,"$1,250,000"
1,igarary01,Ryota Igarashi,Right,5-11,200lb,2011,32,NYM,NL,4,1,0.8,4.66,45,0,9,0,0,0,38.2,43,20,20,2,28,2,42,4,0,3,190,80.0,4.01,1.8359999999999999,10.0,0.5,6.5,9.8,1.5,,"$1,750,000"
2,igawake01,Kei Igawa,Left,6-1,210lb,2007,27,NYY,AL,2,3,0.4,6.25,14,12,0,0,0,0,67.2,76,48,47,15,37,1,53,4,1,5,313,73.0,6.37,1.67,10.1,2.0,4.9,7.0,1.43,,"$4,000,000"
3,igawake01,Kei Igawa,Left,6-1,210lb,2008,28,NYY,AL,0,1,0.0,13.5,2,1,1,0,0,0,4.0,13,6,6,0,0,0,0,0,0,0,24,35.0,3.13,3.25,29.3,0.0,0.0,0.0,,,"$4,000,000"
4,iglesra01,Raisel Iglesias,Right,6-2,188lb,2015,25,CIN,NL,3,7,0.3,4.15,18,16,1,0,0,0,95.1,81,45,44,11,28,0,104,7,2,2,395,95.0,3.55,1.143,7.6,1.0,2.6,9.8,3.71,,"$1,714,286"
5,iglesra01,Raisel Iglesias,Right,6-2,188lb,2016,26,CIN,NL,3,2,0.6,2.53,37,5,15,0,0,6,78.1,63,22,22,7,26,1,83,5,1,3,325,169.0,3.38,1.136,7.2,0.8,3.0,9.5,3.19,,"$3,214,286"
6,iglesra01,Raisel Iglesias,Right,6-2,188lb,2017,27,CIN,NL,3,3,0.5,2.49,63,0,57,0,0,28,76.0,57,22,21,5,27,1,92,1,0,1,306,177.0,2.7,1.105,6.8,0.6,3.2,10.9,3.41,,"$4,214,286"
7,ignasmi01,Mike Ignasiak,Right,5-11,175lb,1995,29,MIL,AL,4,1,0.8,5.9,25,0,2,0,0,0,39.2,51,27,26,5,23,3,26,2,0,1,186,85.0,5.32,1.8659999999999999,11.6,1.1,5.2,5.9,1.13,,"$125,000"
8,ilslebl01,Blaise Ilsley,Left,6-1,195lb,1994,30,CHC,NL,0,0,,7.8,10,0,1,0,0,0,15.0,25,13,13,2,9,2,9,0,0,1,74,55.0,5.46,2.267,15.0,1.2,5.4,5.4,1.0,,"$109,000"
9,inglejo01,Joe Inglett,Right,5-9,175lb,2010,32,MIL,NL,0,0,,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.08,0.0,0.0,0.0,0.0,0.0,,,"$416,000"
10,innisje01,Jeff Innis,Right,6-1,170lb,1989,26,NYM,NL,0,1,0.0,3.18,29,0,12,0,0,0,39.2,38,16,14,2,8,0,16,1,0,0,160,104.0,3.29,1.16,8.6,0.5,1.8,3.6,2.0,,"$78,000"
11,innisje01,Jeff Innis,Right,6-1,170lb,1990,27,NYM,NL,1,3,0.25,2.39,18,0,12,0,0,1,26.1,19,9,7,4,10,3,12,1,1,1,104,160.0,5.12,1.101,6.5,1.4,3.4,4.1,1.2,,"$110,000"
12,innisje01,Jeff Innis,Right,6-1,170lb,1991,28,NYM,NL,0,2,0.0,2.66,69,0,29,0,0,0,84.2,66,30,25,2,23,6,47,0,0,4,336,138.0,2.87,1.051,7.0,0.2,2.4,5.0,2.04,,"$155,000"
13,innisje01,Jeff Innis,Right,6-1,170lb,1992,29,NYM,NL,6,9,0.4,2.86,76,0,28,0,0,1,88.0,85,32,28,4,36,4,39,6,0,1,373,123.0,3.92,1.375,8.7,0.4,3.7,4.0,1.08,,"$355,000"
14,innisje01,Jeff Innis,Right,6-1,170lb,1993,30,NYM,NL,2,3,0.4,4.11,67,0,30,0,0,3,76.2,81,39,35,5,38,12,36,6,1,3,345,98.0,4.62,1.5519999999999998,9.5,0.6,4.5,4.2,0.95,,"$850,000"
15,iorgda01,Dane Iorg,Right,6-0,180lb,1986,36,SDP,NL,0,0,,12.0,2,0,2,0,0,0,3.0,5,4,4,2,1,0,2,0,0,0,15,35.0,11.1,2.0,15.0,6.0,3.0,6.0,2.0,,"$210,000"
16,irabuhi01,Hideki Irabu,Right,6-4,240lb,1997,28,NYY,AL,5,4,0.556,7.09,13,9,0,0,0,0,53.1,69,47,42,15,20,0,56,1,3,4,246,64.0,5.85,1.669,11.6,2.5,3.4,9.5,2.8,,"$2,325,000"
17,irabuhi01,Hideki Irabu,Right,6-4,240lb,1998,29,NYY,AL,13,9,0.591,4.06,29,28,0,2,1,0,173.0,148,79,78,27,76,1,126,9,1,6,732,109.0,5.19,1.295,7.7,1.4,4.0,6.6,1.66,,"$2,925,000"
18,irabuhi01,Hideki Irabu,Right,6-4,240lb,1999,30,NYY,AL,11,7,0.611,4.84,32,27,2,2,1,0,169.1,180,98,91,26,46,0,133,6,0,7,733,97.0,4.48,1.335,9.6,1.4,2.4,7.1,2.89,,"$3,125,000"
19,irabuhi01,Hideki Irabu,Right,6-4,240lb,2000,31,MON,NL,2,5,0.28600000000000003,7.24,11,11,0,0,0,0,54.2,77,45,44,9,14,0,42,1,2,5,247,67.0,4.56,1.665,12.7,1.5,2.3,6.9,3.0,,"$4,125,000"
20,irabuhi01,Hideki Irabu,Right,6-4,240lb,2001,32,MON,NL,0,2,0.0,4.86,3,3,0,0,0,0,16.2,22,9,9,3,3,0,18,0,0,0,74,93.0,3.77,1.5,11.9,1.6,1.6,9.7,6.0,,"$2,500,000"
21,irabuhi01,Hideki Irabu,Right,6-4,240lb,2002,33,TEX,AL,3,8,0.273,5.74,38,2,26,0,0,16,47.0,51,30,30,11,16,2,30,1,0,3,204,83.0,5.81,1.426,9.8,2.1,3.1,5.7,1.88,,"$550,000"
22,irvinda01,Daryl Irvine,Right,6-3,195lb,1990,25,BOS,AL,1,1,0.5,4.67,11,0,6,0,0,0,17.1,15,10,9,0,10,3,9,0,1,1,75,89.0,3.5,1.442,7.8,0.0,5.2,4.7,0.9,,"$100,000"
23,ishiika01,Kazuhisa Ishii,Left,6-0,215lb,2002,28,LAD,NL,14,10,0.583,4.27,28,28,0,0,0,0,154.0,137,82,73,20,106,3,143,4,0,7,692,89.0,4.94,1.578,8.0,1.2,6.2,8.4,1.35,RoY-4,"$900,000"
24,ishiika01,Kazuhisa Ishii,Left,6-0,215lb,2003,29,LAD,NL,9,7,0.563,3.86,27,27,0,0,0,0,147.0,129,72,63,16,101,4,140,6,2,10,656,105.0,4.72,1.565,7.9,1.0,6.2,8.6,1.39,,"$2,575,000"
25,ishiika01,Kazuhisa Ishii,Left,6-0,215lb,2004,30,LAD,NL,13,8,0.619,4.71,31,31,0,2,2,0,172.0,155,97,90,21,98,2,99,4,0,3,749,87.0,5.26,1.4709999999999999,8.1,1.1,5.1,5.2,1.01,,"$2,975,000"
26,ishiika01,Kazuhisa Ishii,Left,6-0,215lb,2005,31,NYM,NL,3,9,0.25,5.14,19,16,0,0,0,0,91.0,87,59,52,13,49,3,53,3,0,2,399,80.0,5.43,1.495,8.6,1.3,4.8,5.2,1.08,,"$3,575,000"
27,isrinja01,Jason Isringhausen,Right,6-3,235lb,1995,22,NYM,NL,9,2,0.818,2.81,14,14,0,1,0,0,93.0,88,29,29,6,31,2,55,2,1,4,385,144.0,3.82,1.28,8.5,0.6,3.0,5.3,1.77,RoY-4,"$109,000"
28,isrinja01,Jason Isringhausen,Right,6-3,235lb,1996,23,NYM,NL,6,14,0.3,4.77,27,27,0,2,1,0,171.2,190,103,91,13,73,5,114,8,0,14,766,84.0,4.24,1.5319999999999998,10.0,0.7,3.8,6.0,1.56,,"$169,000"
29,isrinja01,Jason Isringhausen,Right,6-3,235lb,1997,24,NYM,NL,2,2,0.5,7.58,6,6,0,0,0,0,29.2,40,27,25,3,22,0,25,1,0,3,145,54.0,5.06,2.09,12.1,0.9,6.7,7.6,1.14,,"$212,000"
30,isrinja01,Jason Isringhausen,Right,6-3,235lb,1999,26,TOT,MLB,1,4,0.2,4.73,33,5,20,0,0,9,64.2,64,35,34,9,34,4,51,3,0,4,286,96.0,5.08,1.515,8.9,1.3,4.7,7.1,1.5,,"$475,000"
31,isrinja01,Jason Isringhausen,Right,6-3,235lb,1999,26,NYM,NL,1,3,0.25,6.41,13,5,2,0,0,1,39.1,43,29,28,7,22,2,31,2,0,2,179,70.0,5.7,1.653,9.8,1.6,5.0,7.1,1.41,,"$475,000"
