,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,jacksda02,Danny Jackson,Left,6-0,205lb,1985,23,KCR,AL,14,12,0.5379999999999999,3.42,32,32,0,4,3,0,208.0,209,94,79,7,76,2,114,6,2,4,893,120.0,3.21,1.37,9.0,0.3,3.3,4.9,1.5,,"$95,000"
1,jacksda02,Danny Jackson,Left,6-0,205lb,1986,24,KCR,AL,11,12,0.478,3.2,32,27,3,4,1,1,185.2,177,83,66,13,79,1,115,4,0,7,789,132.0,3.78,1.379,8.6,0.6,3.8,5.6,1.46,,"$175,000"
2,jacksda02,Danny Jackson,Left,6-0,205lb,1987,25,KCR,AL,9,18,0.33299999999999996,4.02,36,34,1,11,2,0,224.0,219,115,100,11,109,1,152,7,0,5,981,114.0,3.71,1.464,8.8,0.4,4.4,6.1,1.39,,"$225,000"
3,jacksda02,Danny Jackson,Left,6-0,205lb,1988,26,CIN,NL,23,8,0.742,2.73,35,35,0,15,6,0,260.2,206,86,79,13,71,6,161,2,2,5,1034,132.0,3.02,1.063,7.1,0.4,2.5,5.6,2.27,"AS,CYA-2,MVP-9","$390,000"
4,jacksda02,Danny Jackson,Left,6-0,205lb,1989,27,CIN,NL,6,11,0.353,5.6,20,20,0,1,0,0,115.2,122,78,72,10,57,7,70,1,2,3,519,65.0,4.18,1.548,9.5,0.8,4.4,5.4,1.23,,"$1,150,000"
5,jacksda02,Danny Jackson,Left,6-0,205lb,1990,28,CIN,NL,6,6,0.5,3.61,22,21,1,0,0,0,117.1,119,54,47,11,40,4,76,2,1,3,499,111.0,3.81,1.355,9.1,0.8,3.1,5.8,1.9,,"$1,150,000"
6,jacksda02,Danny Jackson,Left,6-0,205lb,1991,29,CHC,NL,1,5,0.16699999999999998,6.75,17,14,0,0,0,0,70.2,89,59,53,8,48,4,31,1,1,1,347,58.0,5.53,1.939,11.3,1.0,6.1,3.9,0.65,,"$2,625,000"
7,jacksda02,Danny Jackson,Left,6-0,205lb,1992,30,TOT,NL,8,13,0.381,3.84,34,34,0,0,0,0,201.1,211,99,86,6,77,6,97,4,2,2,883,93.0,3.41,1.43,9.4,0.3,3.4,4.3,1.26,,"$2,625,000"
8,jacksda02,Danny Jackson,Left,6-0,205lb,1992,30,CHC,NL,4,9,0.308,4.22,19,19,0,0,0,0,113.0,117,59,53,5,48,3,51,3,2,1,501,86.0,3.81,1.46,9.3,0.4,3.8,4.1,1.06,,"$2,625,000"
9,jacksda02,Danny Jackson,Left,6-0,205lb,1992,30,PIT,NL,4,4,0.5,3.36,15,15,0,0,0,0,88.1,94,40,33,1,29,3,46,1,0,1,382,104.0,2.91,1.392,9.6,0.1,3.0,4.7,1.59,,"$2,625,000"
10,jacksda02,Danny Jackson,Left,6-0,205lb,1993,31,PHI,NL,12,11,0.522,3.77,32,32,0,2,1,0,210.1,214,105,88,12,80,2,120,4,0,4,919,106.0,3.79,1.3980000000000001,9.2,0.5,3.4,5.1,1.5,,"$2,625,000"
11,jacksda02,Danny Jackson,Left,6-0,205lb,1994,32,PHI,NL,14,6,0.7,3.26,25,25,0,4,1,0,179.1,183,71,65,13,46,1,129,2,0,2,755,132.0,3.44,1.2770000000000001,9.2,0.7,2.3,6.5,2.8,"AS,CYA-6","$2,675,000"
12,jacksda02,Danny Jackson,Left,6-0,205lb,1995,33,STL,NL,2,12,0.14300000000000002,5.9,19,19,0,2,1,0,100.2,120,82,66,10,48,1,52,6,0,6,467,70.0,4.97,1.669,10.7,0.9,4.3,4.6,1.08,,"$2,100,000"
13,jacksda02,Danny Jackson,Left,6-0,205lb,1996,34,STL,NL,1,1,0.5,4.46,13,4,3,0,0,0,36.1,33,18,18,3,16,1,27,1,0,0,154,95.0,4.16,1.349,8.2,0.7,4.0,6.7,1.69,,"$4,100,000"
14,jacksda02,Danny Jackson,Left,6-0,205lb,1997,35,TOT,NL,2,9,0.182,7.58,17,13,0,0,0,0,67.2,98,64,57,11,28,3,32,5,0,2,321,53.0,5.74,1.8619999999999999,13.0,1.5,3.7,4.3,1.14,,"$4,600,000"
15,jacksda02,Danny Jackson,Left,6-0,205lb,1997,35,STL,NL,1,2,0.33299999999999996,7.71,4,4,0,0,0,0,18.2,26,17,16,3,8,1,13,2,0,0,88,55.0,5.41,1.821,12.5,1.4,3.9,6.3,1.63,,"$4,600,000"
16,jacksda02,Danny Jackson,Left,6-0,205lb,1997,35,SDP,NL,1,7,0.125,7.53,13,9,0,0,0,0,49.0,72,47,41,8,20,2,19,3,0,2,233,52.0,5.86,1.8780000000000001,13.2,1.5,3.7,3.5,0.95,,"$4,600,000"
17,jacksed01,Edwin Jackson,Right,6-2,215lb,2007,23,TBD,AL,5,15,0.25,5.76,32,31,0,1,1,0,161.0,195,116,103,19,88,3,128,4,1,7,755,79.0,4.9,1.758,10.9,1.1,4.9,7.2,1.45,,"$392,300"
18,jacksed01,Edwin Jackson,Right,6-2,215lb,2008,24,TBR,AL,14,11,0.56,4.42,32,31,0,0,0,0,183.1,199,91,90,23,77,1,108,2,1,7,792,100.0,4.88,1.505,9.8,1.1,3.8,5.3,1.4,,"$412,700"
19,jacksed01,Edwin Jackson,Right,6-2,215lb,2009,25,DET,AL,13,9,0.591,3.62,33,33,0,1,0,0,214.0,200,93,86,27,70,3,161,5,0,6,890,125.0,4.28,1.262,8.4,1.1,2.9,6.8,2.3,AS,"$2,200,000"
20,jacksed01,Edwin Jackson,Right,6-2,215lb,2010,26,TOT,MLB,10,12,0.455,4.47,32,32,0,1,1,0,209.1,214,111,104,21,78,4,181,6,0,20,902,95.0,3.86,1.395,9.2,0.9,3.4,7.8,2.32,,"$4,600,000"
21,jacksed01,Edwin Jackson,Right,6-2,215lb,2010,26,ARI,NL,6,10,0.375,5.16,21,21,0,1,1,0,134.1,141,80,77,13,60,2,104,5,0,13,587,82.0,4.24,1.496,9.4,0.9,4.0,7.0,1.73,,"$4,600,000"
22,jacksed01,Edwin Jackson,Right,6-2,215lb,2010,26,CHW,AL,4,2,0.667,3.24,11,11,0,0,0,0,75.0,73,31,27,8,18,2,77,1,0,7,315,132.0,3.17,1.213,8.8,1.0,2.2,9.2,4.28,,"$4,600,000"
23,jacksed01,Edwin Jackson,Right,6-2,215lb,2011,27,TOT,MLB,12,9,0.5710000000000001,3.79,32,31,1,1,1,0,199.2,225,92,84,16,62,4,148,2,2,9,861,108.0,3.55,1.4369999999999998,10.1,0.7,2.8,6.7,2.39,,"$8,750,000"
24,jacksed01,Edwin Jackson,Right,6-2,215lb,2011,27,CHW,AL,7,7,0.5,3.92,19,19,0,1,1,0,121.2,134,55,53,8,39,2,97,0,1,7,522,111.0,3.25,1.422,9.9,0.6,2.9,7.2,2.49,,"$8,750,000"
