,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,nabhoch01,Chris Nabholz,Left,6-5,210lb,1990,23,MON,NL,6,2,0.75,2.83,11,11,0,1,1,0,70.0,43,23,22,6,32,1,53,2,1,1,282,130.0,3.87,1.071,5.5,0.8,4.1,6.8,1.66,,"$100,000"
1,nabhoch01,Chris Nabholz,Left,6-5,210lb,1991,24,MON,NL,8,7,0.5329999999999999,3.63,24,24,0,1,0,0,153.2,134,66,62,5,57,4,99,2,1,3,631,101.0,3.14,1.2429999999999999,7.8,0.3,3.3,5.8,1.74,,"$120,000"
2,nabhoch01,Chris Nabholz,Left,6-5,210lb,1992,25,MON,NL,11,12,0.478,3.32,32,32,0,1,1,0,195.0,176,80,72,11,74,2,130,5,1,5,812,105.0,3.4,1.2819999999999998,8.1,0.5,3.4,6.0,1.76,,"$195,000"
3,nabhoch01,Chris Nabholz,Left,6-5,210lb,1993,26,MON,NL,9,8,0.529,4.09,26,21,2,1,0,0,116.2,100,57,53,9,63,4,74,8,0,7,505,102.0,4.55,1.3969999999999998,7.7,0.7,4.9,5.7,1.17,,"$307,500"
4,nabhoch01,Chris Nabholz,Left,6-5,210lb,1994,27,TOT,AL,3,5,0.375,7.64,14,12,1,0,0,0,53.0,67,48,45,6,38,1,28,3,0,6,254,65.0,5.87,1.9809999999999999,11.4,1.0,6.5,4.8,0.74,,"$950,000"
5,nabhoch01,Chris Nabholz,Left,6-5,210lb,1994,27,CLE,AL,0,1,0.0,11.45,6,4,1,0,0,0,11.0,23,16,14,1,9,0,5,1,0,1,66,42.0,6.13,2.909,18.8,0.8,7.4,4.1,0.56,,"$950,000"
6,nabhoch01,Chris Nabholz,Left,6-5,210lb,1994,27,BOS,AL,3,4,0.429,6.64,8,8,0,0,0,0,42.0,44,32,31,5,29,1,23,2,0,5,188,76.0,5.8,1.7380000000000002,9.4,1.1,6.2,4.9,0.79,,"$950,000"
7,nabhoch01,Chris Nabholz,Left,6-5,210lb,1995,28,CHC,NL,0,1,0.0,5.4,34,0,4,0,0,0,23.1,22,15,14,4,14,3,21,0,0,2,104,76.0,5.33,1.5430000000000001,8.5,1.5,5.4,8.1,1.5,,"$300,000"
8,nagych01,Charles Nagy,Right,6-3,200lb,1990,23,CLE,AL,2,4,0.33299999999999996,5.91,9,8,1,0,0,0,45.2,58,31,30,7,21,1,26,1,1,1,208,67.0,5.11,1.73,11.4,1.4,4.1,5.1,1.24,,"$100,000"
9,nagych01,Charles Nagy,Right,6-3,200lb,1991,24,CLE,AL,10,15,0.4,4.13,33,33,0,6,1,0,211.1,228,103,97,15,66,7,109,6,2,6,914,101.0,3.77,1.391,9.7,0.6,2.8,4.6,1.65,RoY-8,"$115,000"
10,nagych01,Charles Nagy,Right,6-3,200lb,1992,25,CLE,AL,17,10,0.63,2.96,33,33,0,10,3,0,252.0,245,91,83,11,57,1,169,2,0,7,1018,132.0,2.71,1.198,8.8,0.4,2.0,6.0,2.96,"AS,CYA-7","$391,666"
11,nagych01,Charles Nagy,Right,6-3,200lb,1993,26,CLE,AL,2,6,0.25,6.29,9,9,0,1,0,0,48.2,66,38,34,6,13,1,30,2,0,2,223,69.0,4.28,1.6230000000000002,12.2,1.1,2.4,5.5,2.31,,"$541,667"
12,nagych01,Charles Nagy,Right,6-3,200lb,1994,27,CLE,AL,10,8,0.556,3.45,23,23,0,3,0,0,169.1,175,76,65,15,48,1,108,5,1,5,717,135.0,3.95,1.317,9.3,0.8,2.6,5.7,2.25,,"$1,241,667"
13,nagych01,Charles Nagy,Right,6-3,200lb,1995,28,CLE,AL,16,6,0.727,4.55,29,29,0,2,1,0,178.0,194,95,90,20,61,0,139,6,0,2,771,103.0,4.13,1.433,9.8,1.0,3.1,7.0,2.28,CYA-6,"$1,888,890"
14,nagych01,Charles Nagy,Right,6-3,200lb,1996,29,CLE,AL,17,5,0.773,3.41,32,32,0,5,0,0,222.0,217,89,84,21,61,2,167,3,0,7,921,143.0,3.76,1.252,8.8,0.9,2.5,6.8,2.74,"AS,CYA-4","$3,487,500"
15,nagych01,Charles Nagy,Right,6-3,200lb,1997,30,CLE,AL,15,11,0.5770000000000001,4.28,34,34,0,1,1,0,227.0,253,115,108,27,77,4,149,7,0,5,991,109.0,4.45,1.454,10.0,1.1,3.1,5.9,1.94,,"$3,437,500"
16,nagych01,Charles Nagy,Right,6-3,200lb,1998,31,CLE,AL,15,10,0.6,5.22,33,33,0,2,0,0,210.1,250,139,122,34,66,12,120,9,0,3,930,91.0,5.17,1.5019999999999998,10.7,1.5,2.8,5.1,1.82,,"$3,416,666"
17,nagych01,Charles Nagy,Right,6-3,200lb,1999,32,CLE,AL,17,11,0.607,4.95,33,32,0,1,0,0,202.0,238,120,111,26,59,4,126,6,0,3,887,101.0,4.53,1.47,10.6,1.2,2.6,5.6,2.14,AS,"$6,000,000"
18,nagych01,Charles Nagy,Right,6-3,200lb,2000,33,CLE,AL,2,7,0.222,8.21,11,11,0,0,0,0,57.0,71,53,52,15,21,2,41,2,0,1,267,60.0,6.33,1.614,11.2,2.4,3.3,6.5,1.95,,"$6,000,000"
19,nagych01,Charles Nagy,Right,6-3,200lb,2001,34,CLE,AL,5,6,0.455,6.4,15,13,1,0,0,0,70.1,102,53,50,10,20,1,29,0,0,2,325,70.0,4.93,1.735,13.1,1.3,2.6,3.7,1.45,,"$6,000,000"
20,nagych01,Charles Nagy,Right,6-3,200lb,2002,35,CLE,AL,1,4,0.2,8.88,19,7,7,0,0,0,48.2,76,51,48,10,13,1,22,2,0,1,230,50.0,5.65,1.829,14.1,1.8,2.4,4.1,1.69,,"$6,000,000"
21,nancesh01,Shane Nance,Left,5-8,180lb,2003,25,MIL,NL,0,2,0.0,4.81,26,0,6,0,0,0,24.1,34,16,13,5,10,1,25,1,0,1,118,90.0,5.0,1.808,12.6,1.8,3.7,9.2,2.5,,"$300,000"
22,nancesh01,Shane Nance,Left,5-8,180lb,2004,26,ARI,NL,1,1,0.5,5.84,19,0,2,0,0,0,12.1,19,11,8,2,12,4,9,3,0,1,69,80.0,7.35,2.5140000000000002,13.9,1.5,8.8,6.6,0.75,,"$307,500"
23,narvech01,Chris Narveson,Left,6-3,205lb,2010,28,MIL,NL,12,9,0.5710000000000001,4.99,37,28,2,0,0,0,167.2,172,96,93,21,59,3,137,5,0,6,724,81.0,4.22,1.3780000000000001,9.2,1.1,3.2,7.4,2.32,,"$406,500"
24,narvech01,Chris Narveson,Left,6-3,205lb,2011,29,MIL,NL,11,8,0.579,4.45,30,28,0,0,0,0,161.2,160,82,80,17,65,1,126,1,1,4,699,89.0,4.06,1.392,8.9,0.9,3.6,7.0,1.94,,"$441,500"
25,narvech01,Chris Narveson,Left,6-3,205lb,2012,30,MIL,NL,1,1,0.5,7.0,2,2,0,0,0,0,9.0,10,8,7,2,4,0,5,0,0,0,41,61.0,6.21,1.556,10.0,2.0,4.0,5.0,1.25,,"$500,000"
26,narvech01,Chris Narveson,Left,6-3,205lb,2013,31,MIL,NL,0,0,,0.0,2,0,1,0,0,0,2.0,1,0,0,0,1,0,0,0,0,1,8,,4.55,1.0,4.5,0.0,4.5,0.0,0.0,,"$840,000"
27,narvech01,Chris Narveson,Left,6-3,205lb,2016,34,MIA,NL,1,0,1.0,8.64,6,0,2,0,0,0,8.1,10,8,8,3,2,1,6,1,0,1,38,48.0,7.47,1.44,10.8,3.2,2.2,6.5,3.0,,"$1,200,000"
28,nathajo01,Joe Nathan,Right,6-4,230lb,1999,24,SFG,NL,7,4,0.636,4.18,19,14,2,0,0,1,90.1,84,45,42,17,46,0,54,1,0,2,395,103.0,5.95,1.439,8.4,1.7,4.6,5.4,1.17,,"$200,000"
29,nathajo01,Joe Nathan,Right,6-4,230lb,2000,25,SFG,NL,5,2,0.7140000000000001,5.21,20,15,0,0,0,0,93.1,89,63,54,12,63,4,61,4,0,5,426,82.0,5.65,1.629,8.6,1.2,6.1,5.9,0.97,,"$225,000"
30,nathajo01,Joe Nathan,Right,6-4,230lb,2003,28,SFG,NL,12,4,0.75,2.96,78,0,9,0,0,0,79.0,51,26,26,7,33,3,83,3,1,4,316,142.0,3.45,1.063,5.8,0.8,3.8,9.5,2.52,,"$300,000"
31,nathajo01,Joe Nathan,Right,6-4,230lb,2004,29,MIN,AL,1,2,0.33299999999999996,1.62,73,0,63,0,0,44,72.1,48,14,13,3,23,3,89,2,0,5,284,294.0,2.16,0.982,6.0,0.4,2.9,11.1,3.87,"AS,CYA-4,MVP-12","$440,000"
32,nathajo01,Joe Nathan,Right,6-4,230lb,2005,30,MIN,AL,7,4,0.636,2.7,69,0,58,0,0,43,70.0,46,22,21,5,22,1,94,0,0,2,276,166.0,2.21,0.971,5.9,0.6,2.8,12.1,4.27,AS,"$2,100,000"
