,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,quackke01,Kevin Quackenbush,Right,6-4,235lb,2016,27,SDP,NL,7,7,0.5,3.92,60,0,17,0,0,2,59.2,55,27,26,8,22,2,42,0,0,2,253,102,4.59,1.291,8.3,1.2,3.3,6.3,1.91,,"$521,200"
1,quallch01,Chad Qualls,Right,6-4,235lb,2005,26,HOU,NL,6,4,0.6,3.28,77,0,19,0,0,0,79.2,73,33,29,7,23,2,60,6,0,1,329,130,3.75,1.205,8.2,0.8,2.6,6.8,2.61,,"$316,000"
2,quallch01,Chad Qualls,Right,6-4,235lb,2006,27,HOU,NL,7,3,0.7,3.76,81,0,13,0,0,0,88.2,76,38,37,10,28,6,56,6,0,0,356,119,4.5,1.173,7.7,1.0,2.8,5.7,2.0,,"$376,000"
3,quallch01,Chad Qualls,Right,6-4,235lb,2007,28,HOU,NL,6,5,0.545,3.05,79,0,16,0,0,5,82.2,84,29,28,10,25,5,78,3,0,2,345,146,3.94,1.319,9.1,1.1,2.7,8.5,3.12,,"$441,000"
4,quallch01,Chad Qualls,Right,6-4,235lb,2008,29,ARI,NL,4,8,0.33299999999999996,2.81,77,0,21,0,0,9,73.2,61,29,23,4,18,2,71,3,0,6,300,164,2.77,1.072,7.5,0.5,2.2,8.7,3.94,,"$1,312,500"
5,quallch01,Chad Qualls,Right,6-4,235lb,2009,30,ARI,NL,2,2,0.5,3.63,51,0,44,0,0,24,52.0,53,23,21,5,7,2,45,2,0,2,217,123,3.14,1.1540000000000001,9.2,0.9,1.2,7.8,6.43,,"$2,535,000"
6,quallch01,Chad Qualls,Right,6-4,235lb,2010,31,TOT,MLB,3,4,0.429,7.32,70,0,29,0,0,12,59.0,85,56,48,7,21,4,49,2,0,4,281,57,4.13,1.797,13.0,1.1,3.2,7.5,2.33,,"$4,185,000"
7,quallch01,Chad Qualls,Right,6-4,235lb,2010,31,ARI,NL,1,4,0.2,8.29,43,0,28,0,0,12,38.0,61,41,35,5,15,4,34,1,0,3,190,51,4.26,2.0,14.4,1.2,3.6,8.1,2.27,,"$4,185,000"
8,quallch01,Chad Qualls,Right,6-4,235lb,2010,31,TBR,AL,2,0,1.0,5.57,27,0,1,0,0,0,21.0,24,15,13,2,6,0,15,1,0,1,91,71,3.89,1.429,10.3,0.9,2.6,6.4,2.5,,"$4,185,000"
9,quallch01,Chad Qualls,Right,6-4,235lb,2011,32,SDP,NL,6,8,0.429,3.51,77,0,20,0,0,0,74.1,73,30,29,7,20,5,43,0,0,4,306,102,3.9,1.251,8.8,0.8,2.4,5.2,2.15,,"$1,500,000"
10,quallch01,Chad Qualls,Right,6-4,235lb,2012,33,TOT,MLB,2,1,0.667,5.33,60,0,15,0,0,0,52.1,63,34,31,7,14,4,27,0,0,3,231,76,4.6,1.4709999999999999,10.8,1.2,2.4,4.6,1.93,,"$1,150,000"
11,quallch01,Chad Qualls,Right,6-4,235lb,2012,33,TOT,NL,1,1,0.5,5.2,52,0,11,0,0,0,45.0,53,29,26,7,11,3,25,0,0,2,198,77,4.74,1.422,10.6,1.4,2.2,5.0,2.27,,"$1,150,000"
12,quallch01,Chad Qualls,Right,6-4,235lb,2012,33,PHI,NL,1,1,0.5,4.6,35,0,6,0,0,0,31.1,39,18,16,7,9,3,19,0,0,2,140,89,5.65,1.5319999999999998,11.2,2.0,2.6,5.5,2.11,,"$1,150,000"
13,quallch01,Chad Qualls,Right,6-4,235lb,2012,33,NYY,AL,1,0,1.0,6.14,8,0,4,0,0,0,7.1,10,5,5,0,3,1,2,0,0,1,33,72,3.78,1.7730000000000001,12.3,0.0,3.7,2.5,0.67,,"$1,150,000"
14,quallch01,Chad Qualls,Right,6-4,235lb,2012,33,PIT,NL,0,0,,6.59,17,0,5,0,0,0,13.2,14,11,10,0,2,0,6,0,0,0,58,59,2.66,1.171,9.2,0.0,1.3,4.0,3.0,,"$1,150,000"
15,quallch01,Chad Qualls,Right,6-4,235lb,2013,34,MIA,NL,5,2,0.7140000000000001,2.61,66,0,12,0,0,0,62.0,57,18,18,4,19,7,49,2,0,1,252,148,3.32,1.226,8.3,0.6,2.8,7.1,2.58,,"$1,150,000"
16,quallch01,Chad Qualls,Right,6-4,235lb,2014,35,HOU,AL,1,5,0.16699999999999998,3.33,58,0,41,0,0,19,51.1,54,22,19,5,5,2,43,2,0,1,213,117,3.13,1.149,9.5,0.9,0.9,7.5,8.6,,"$2,700,000"
17,quallch01,Chad Qualls,Right,6-4,235lb,2015,36,HOU,AL,3,5,0.375,4.38,60,0,17,0,0,4,49.1,46,24,24,6,9,1,46,2,0,3,202,90,3.52,1.115,8.4,1.1,1.6,8.4,5.11,,"$3,000,000"
18,quallch01,Chad Qualls,Right,6-4,235lb,2016,37,COL,NL,2,0,1.0,5.23,44,0,14,0,0,0,32.2,43,22,19,5,9,1,22,0,0,1,152,93,4.62,1.5919999999999999,11.8,1.4,2.5,6.1,2.44,,"$2,250,000"
19,quallch01,Chad Qualls,Right,6-4,235lb,2017,38,COL,NL,1,1,0.5,5.4,19,0,9,0,0,0,16.2,17,11,10,3,5,0,11,0,0,0,72,94,5.08,1.32,9.2,1.6,2.7,5.9,2.2,,"$3,750,000"
20,quantpa01,Paul Quantrill,Right,6-1,175lb,1992,23,BOS,AL,2,3,0.4,2.19,27,0,10,0,0,1,49.1,55,18,12,1,15,5,24,1,0,1,213,193,3.05,1.419,10.0,0.2,2.7,4.4,1.6,,"$109,000"
21,quantpa01,Paul Quantrill,Right,6-1,175lb,1993,24,BOS,AL,6,12,0.33299999999999996,3.91,49,14,8,1,1,1,138.0,151,73,60,13,44,14,66,2,1,0,594,119,4.26,1.413,9.8,0.8,2.9,4.3,1.5,,"$150,000"
22,quantpa01,Paul Quantrill,Right,6-1,175lb,1994,25,TOT,MLB,3,3,0.5,4.92,35,1,9,0,0,1,53.0,64,31,29,7,15,4,28,5,2,0,236,95,4.92,1.4909999999999999,10.9,1.2,2.5,4.8,1.87,,"$235,000"
23,quantpa01,Paul Quantrill,Right,6-1,175lb,1994,25,BOS,AL,1,1,0.5,3.52,17,0,4,0,0,0,23.0,25,10,9,4,5,1,15,2,0,0,101,144,5.0,1.304,9.8,1.6,2.0,5.9,3.0,,"$235,000"
24,quantpa01,Paul Quantrill,Right,6-1,175lb,1994,25,PHI,NL,2,2,0.5,6.0,18,1,5,0,0,1,30.0,39,21,20,3,10,3,13,3,2,0,135,73,4.86,1.633,11.7,0.9,3.0,3.9,1.3,,"$235,000"
25,quantpa01,Paul Quantrill,Right,6-1,175lb,1995,26,PHI,NL,11,12,0.478,4.67,33,29,1,0,0,0,179.1,212,102,93,20,44,3,103,6,3,0,784,90,4.24,1.4280000000000002,10.6,1.0,2.2,5.2,2.34,,"$242,500"
26,quantpa01,Paul Quantrill,Right,6-1,175lb,1996,27,TOR,AL,5,14,0.263,5.43,38,20,7,0,0,0,134.1,172,90,81,27,51,3,86,2,1,1,609,92,5.69,1.66,11.5,1.8,3.4,5.8,1.69,,"$775,000"
