,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,ueharko01,Koji Uehara,Right,6-2,195lb,2009,34,BAL,AL,2,4,0.33299999999999996,4.05,12,12,0,0,0,0,66.2,71,33,30,7,12,1,48,0,0,0,279,113,3.56,1.245,9.6,0.9,1.6,6.5,4.0,,"$5,000,000"
1,ueharko01,Koji Uehara,Right,6-2,195lb,2010,35,BAL,AL,1,2,0.33299999999999996,2.86,43,0,22,0,0,13,44.0,37,15,14,5,5,0,55,0,0,1,174,146,2.4,0.955,7.6,1.0,1.0,11.3,11.0,,"$5,000,000"
2,ueharko01,Koji Uehara,Right,6-2,195lb,2011,36,TOT,AL,2,3,0.4,2.35,65,0,22,0,0,0,65.0,38,17,17,11,9,1,85,0,0,0,243,183,3.03,0.723,5.3,1.5,1.2,11.8,9.44,,"$3,000,000"
3,ueharko01,Koji Uehara,Right,6-2,195lb,2011,36,BAL,AL,1,1,0.5,1.72,43,0,19,0,0,0,47.0,25,9,9,6,8,1,62,0,0,0,174,246,2.56,0.7020000000000001,4.8,1.1,1.5,11.9,7.75,,"$3,000,000"
4,ueharko01,Koji Uehara,Right,6-2,195lb,2011,36,TEX,AL,1,2,0.33299999999999996,4.0,22,0,3,0,0,0,18.0,13,8,8,5,1,0,23,0,0,0,69,112,4.25,0.778,6.5,2.5,0.5,11.5,23.0,,"$3,000,000"
5,ueharko01,Koji Uehara,Right,6-2,195lb,2012,37,TEX,AL,0,0,,1.75,37,0,13,0,0,1,36.0,20,7,7,4,3,0,43,0,0,1,130,252,2.4,0.639,5.0,1.0,0.8,10.8,14.33,,"$4,000,000"
6,ueharko01,Koji Uehara,Right,6-2,195lb,2013,38,BOS,AL,4,1,0.8,1.09,73,0,40,0,0,21,74.1,33,10,9,5,9,2,101,1,0,1,265,379,1.61,0.565,4.0,0.6,1.1,12.2,11.22,"CYA-7,MVP-19","$4,250,000"
7,ueharko01,Koji Uehara,Right,6-2,195lb,2014,39,BOS,AL,6,5,0.545,2.52,64,0,50,0,0,26,64.1,51,18,18,10,8,0,80,1,0,1,249,159,3.09,0.917,7.1,1.4,1.1,11.2,10.0,AS,"$5,000,000"
8,ueharko01,Koji Uehara,Right,6-2,195lb,2015,40,BOS,AL,2,4,0.33299999999999996,2.23,43,0,38,0,0,25,40.1,28,14,10,3,9,1,47,0,0,4,160,194,2.44,0.917,6.2,0.7,2.0,10.5,5.22,,"$9,000,000"
9,ueharko01,Koji Uehara,Right,6-2,195lb,2016,41,BOS,AL,2,3,0.4,3.45,50,0,12,0,0,7,47.0,34,18,18,8,11,1,63,2,0,1,184,130,3.51,0.9570000000000001,6.5,1.5,2.1,12.1,5.73,,"$9,000,000"
