,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,wachami01,Michael Wacha,Right,6-6,215lb,2014,22,STL,NL,5,6,0.455,3.2,19,19,0,0,0,0,107.0,95,41,38,6,33,0,94,5,0,2,447,114.0,3.17,1.196,8.0,0.5,2.8,7.9,2.85,,"$510,000"
1,wachami01,Michael Wacha,Right,6-6,215lb,2015,23,STL,NL,17,7,0.708,3.38,30,30,0,0,0,0,181.1,162,74,68,19,58,4,153,6,1,4,762,116.0,3.87,1.213,8.0,0.9,2.9,7.6,2.64,AS,"$520,000"
2,wachami01,Michael Wacha,Right,6-6,215lb,2016,24,STL,NL,7,7,0.5,5.09,27,24,1,0,0,0,138.0,159,86,78,15,45,6,114,1,0,6,606,80.0,3.91,1.4780000000000002,10.4,1.0,2.9,7.4,2.53,,"$539,000"
3,wachami01,Michael Wacha,Right,6-6,215lb,2017,25,STL,NL,12,9,0.5710000000000001,4.13,30,30,0,1,1,0,165.2,170,82,76,17,55,3,158,3,0,5,701,103.0,3.63,1.358,9.2,0.9,3.0,8.6,2.87,,"$2,775,000"
4,wadats01,Tsuyoshi Wada,Left,5-11,180lb,2015,34,CHC,NL,1,1,0.5,3.62,8,7,0,0,0,0,32.1,30,14,13,5,11,1,31,1,0,1,136,106.0,4.34,1.268,8.4,1.4,3.1,8.6,2.82,,"$4,000,000"
5,waddeto01,Tom Waddell,Right,6-1,185lb,1985,26,CLE,AL,8,6,0.5710000000000001,4.87,49,9,28,1,0,9,112.2,104,61,61,20,39,8,53,1,0,1,471,85.0,5.12,1.2690000000000001,8.3,1.6,3.1,4.2,1.36,,"$125,000"
6,wadeco01,Cory Wade,Right,6-2,185lb,2009,26,LAD,NL,2,3,0.4,5.53,27,0,2,0,0,0,27.2,28,17,17,3,10,3,18,1,0,4,121,73.0,4.4,1.3730000000000002,9.1,1.0,3.3,5.9,1.8,,"$402,500"
7,wadeco01,Cory Wade,Right,6-2,185lb,2012,29,NYY,AL,1,1,0.5,6.46,39,0,7,0,0,0,39.0,46,29,28,8,8,1,38,1,0,0,171,66.0,4.51,1.385,10.6,1.8,1.8,8.8,4.75,,"$508,925"
8,wadete01,Terrell Wade,Left,6-3,205lb,1996,23,ATL,NL,5,0,1.0,2.97,44,8,13,0,0,1,69.2,57,28,23,9,47,6,79,1,0,2,305,149.0,4.65,1.493,7.4,1.2,6.1,10.2,1.68,,"$109,000"
9,wadete01,Terrell Wade,Left,6-3,205lb,1997,24,ATL,NL,2,3,0.4,5.36,12,9,1,0,0,0,42.0,60,31,25,6,16,1,35,2,0,1,197,78.0,4.59,1.81,12.9,1.3,3.4,7.5,2.19,,"$180,000"
10,wadete01,Terrell Wade,Left,6-3,205lb,1998,25,TBD,AL,1,1,0.5,5.06,2,2,0,0,0,0,10.2,14,6,6,3,2,0,8,0,0,1,46,97.0,5.86,1.5,11.8,2.5,1.7,6.8,4.0,,"$222,500"
11,waechdo01,Doug Waechter,Right,6-4,200lb,2004,23,TBD,AL,5,7,0.41700000000000004,6.01,14,14,0,0,0,0,70.1,68,54,47,20,33,1,36,4,1,1,309,75.0,7.3,1.436,8.7,2.6,4.2,4.6,1.09,,"$300,000"
12,waechdo01,Doug Waechter,Right,6-4,200lb,2006,25,TBD,AL,1,4,0.2,6.62,11,10,0,0,0,0,53.0,67,40,39,6,19,1,25,5,0,0,249,69.0,5.03,1.6230000000000002,11.4,1.0,3.2,4.2,1.32,,"$355,900"
13,waechdo01,Doug Waechter,Right,6-4,200lb,2009,28,KCR,AL,0,0,,8.44,5,0,3,0,0,0,5.1,9,5,5,2,3,0,3,0,0,1,28,56.0,8.53,2.25,15.2,3.4,5.1,5.1,1.0,,"$640,000"
14,wagnebi02,Billy Wagner,Left,5-10,180lb,1995,23,HOU,NL,0,0,,0.0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.1,0.0,0.0,0.0,0.0,0.0,,,"$109,000"
15,wagnebi02,Billy Wagner,Left,5-10,180lb,1996,24,HOU,NL,2,2,0.5,2.44,37,0,20,0,0,9,51.2,28,16,14,6,30,2,67,3,0,1,212,159.0,4.0,1.123,4.9,1.0,5.2,11.7,2.23,,"$109,000"
16,wagnebi02,Billy Wagner,Left,5-10,180lb,1997,25,HOU,NL,7,8,0.467,2.85,62,0,49,0,0,23,66.1,49,23,21,5,30,1,106,3,0,3,277,141.0,2.39,1.1909999999999998,6.6,0.7,4.1,14.4,3.53,,"$185,000"
17,wagnebi02,Billy Wagner,Left,5-10,180lb,1998,26,HOU,NL,4,3,0.5710000000000001,2.7,58,0,50,0,0,30,60.0,46,19,18,6,25,1,97,0,0,2,247,153.0,2.46,1.183,6.9,0.9,3.8,14.6,3.88,,"$280,000"
18,wagnebi02,Billy Wagner,Left,5-10,180lb,1999,27,HOU,NL,4,1,0.8,1.57,66,0,55,0,0,39,74.2,35,14,13,5,23,1,124,1,0,2,286,287.0,1.65,0.777,4.2,0.6,2.8,14.9,5.39,"AS,CYA-4,MVP-16","$2,250,000"
19,wagnebi02,Billy Wagner,Left,5-10,180lb,2000,28,HOU,NL,2,4,0.33299999999999996,6.18,28,0,19,0,0,6,27.2,28,19,19,6,18,0,28,1,0,7,129,81.0,5.99,1.663,9.1,2.0,5.9,9.1,1.56,,"$3,200,000"
20,wagnebi02,Billy Wagner,Left,5-10,180lb,2001,29,HOU,NL,2,5,0.28600000000000003,2.73,64,0,58,0,0,39,62.2,44,19,19,5,20,0,79,5,0,3,251,170.0,2.76,1.021,6.3,0.7,2.9,11.3,3.95,AS,"$5,000,000"
21,wagnebi02,Billy Wagner,Left,5-10,180lb,2002,30,HOU,NL,4,2,0.667,2.52,70,0,61,0,0,35,75.0,51,21,21,7,22,5,88,2,0,6,289,172.0,2.79,0.973,6.1,0.8,2.6,10.6,4.0,,"$8,000,000"
