,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,zahnge01,Geoff Zahn,Left,6-1,180lb,1985,39,CAL,AL,2,2,0.5,4.38,7,7,0,1,1,0,37.0,44,19,18,5,14,0,14,0,0,1,164,96.0,4.82,1.568,10.7,1.2,3.4,3.4,1.0,,"$550,000"
1,zambrca01,Carlos Zambrano,Right,6-4,275lb,2003,22,CHC,NL,13,11,0.542,3.11,32,32,0,3,1,0,214.0,188,88,74,9,94,12,168,10,1,6,907,139.0,3.47,1.318,7.9,0.4,4.0,7.1,1.79,,"$340,000"
2,zambrca01,Carlos Zambrano,Right,6-4,275lb,2004,23,CHC,NL,16,8,0.667,2.75,31,31,0,1,1,0,209.2,174,73,64,14,81,4,188,20,2,6,887,160.0,3.57,1.216,7.5,0.6,3.5,8.1,2.32,"AS,CYA-5,MVP-28","$450,000"
3,zambrca01,Carlos Zambrano,Right,6-4,275lb,2005,24,CHC,NL,14,6,0.7,3.26,33,33,0,2,0,0,223.1,170,88,81,21,86,3,202,8,0,7,909,135.0,3.7,1.146,6.9,0.8,3.5,8.1,2.35,,"$3,760,000"
4,zambrca01,Carlos Zambrano,Right,6-4,275lb,2006,25,CHC,NL,16,7,0.696,3.41,33,33,0,0,0,0,214.0,162,91,81,20,115,4,210,9,1,9,917,136.0,4.14,1.294,6.8,0.8,4.8,8.8,1.83,"AS,CYA-5,SS","$6,500,000"
5,zambrca01,Carlos Zambrano,Right,6-4,275lb,2007,26,CHC,NL,18,13,0.581,3.95,34,34,0,1,0,0,216.1,187,100,95,23,101,4,177,14,0,3,925,117.0,4.58,1.331,7.8,1.0,4.2,7.4,1.75,CYA-5,"$12,400,000"
6,zambrca01,Carlos Zambrano,Right,6-4,275lb,2008,27,CHC,NL,14,6,0.7,3.91,30,30,0,1,1,0,188.2,172,85,82,18,72,1,130,6,0,4,796,117.0,4.23,1.2930000000000001,8.2,0.9,3.4,6.2,1.81,"AS,SS","$16,000,000"
7,zambrca01,Carlos Zambrano,Right,6-4,275lb,2009,28,CHC,NL,9,7,0.563,3.77,28,28,0,1,1,0,169.1,155,78,71,10,78,6,152,9,0,7,733,118.0,3.61,1.376,8.2,0.5,4.1,8.1,1.95,SS,"$18,750,000"
8,zambrca01,Carlos Zambrano,Right,6-4,275lb,2010,29,CHC,NL,11,6,0.647,3.33,36,20,2,0,0,0,129.2,119,55,48,7,69,0,117,6,1,7,571,127.0,3.71,1.45,8.3,0.5,4.8,8.1,1.7,,"$18,875,000"
9,zambrca01,Carlos Zambrano,Right,6-4,275lb,2011,30,CHC,NL,9,7,0.563,4.82,24,24,0,0,0,0,145.2,154,80,78,19,56,4,101,5,0,1,634,81.0,4.59,1.442,9.5,1.2,3.5,6.2,1.8,,"$18,875,000"
10,zambrca01,Carlos Zambrano,Right,6-4,275lb,2012,31,MIA,NL,7,10,0.41200000000000003,4.49,35,20,5,1,1,0,132.1,123,75,66,9,75,1,95,10,0,1,591,91.0,4.47,1.496,8.4,0.6,5.1,6.5,1.27,,"$18,000,000"
11,zambrvi01,Víctor Zambrano,Right,6-0,190lb,2002,26,TBD,AL,8,8,0.5,5.53,42,11,11,0,0,1,114.0,120,77,70,15,68,5,73,4,0,10,519,80.0,5.29,1.649,9.5,1.2,5.4,5.8,1.07,,"$215,000"
12,zambrvi01,Víctor Zambrano,Right,6-0,190lb,2003,27,TBD,AL,12,10,0.545,4.21,34,28,2,1,0,0,188.1,165,97,88,21,106,2,132,20,3,15,836,105.0,5.09,1.439,7.9,1.0,5.1,6.3,1.25,,"$300,000"
13,zambrvi01,Víctor Zambrano,Right,6-0,190lb,2004,28,TOT,MLB,11,7,0.611,4.37,26,25,0,0,0,0,142.0,119,77,69,13,102,2,123,16,0,6,650,103.0,5.0,1.556,7.5,0.8,6.5,7.8,1.21,,"$325,000"
14,zambrvi01,Víctor Zambrano,Right,6-0,190lb,2004,28,TBD,AL,9,7,0.563,4.43,23,22,0,0,0,0,128.0,107,68,63,13,96,2,109,16,0,5,588,102.0,5.29,1.5859999999999999,7.5,0.9,6.8,7.7,1.14,,"$325,000"
15,zambrvi01,Víctor Zambrano,Right,6-0,190lb,2004,28,NYM,NL,2,0,1.0,3.86,3,3,0,0,0,0,14.0,12,9,6,0,6,0,14,0,0,1,62,114.0,2.33,1.286,7.7,0.0,3.9,9.0,2.33,,"$325,000"
16,zambrvi01,Víctor Zambrano,Right,6-0,190lb,2005,29,NYM,NL,7,12,0.368,4.17,31,27,2,0,0,0,166.1,170,85,77,12,77,2,112,15,2,8,748,99.0,4.27,1.485,9.2,0.6,4.2,6.1,1.45,,"$2,100,000"
17,zambrvi01,Víctor Zambrano,Right,6-0,190lb,2006,30,NYM,NL,1,2,0.33299999999999996,6.75,5,5,0,0,0,0,21.1,25,16,16,5,11,0,15,0,0,1,97,66.0,6.33,1.6880000000000002,10.5,2.1,4.6,6.3,1.36,,"$3,000,000"
18,zambrvi01,Víctor Zambrano,Right,6-0,190lb,2007,31,TOT,AL,0,3,0.0,10.17,13,4,2,0,0,0,23.0,32,26,26,6,22,2,16,5,0,2,125,46.0,8.76,2.3480000000000003,12.5,2.3,8.6,6.3,0.73,,"$500,000"
19,zambrvi01,Víctor Zambrano,Right,6-0,190lb,2007,31,TOR,AL,0,2,0.0,10.97,8,2,2,0,0,0,10.2,20,13,13,5,11,2,5,1,0,1,62,42.0,11.77,2.906,16.9,4.2,9.3,4.2,0.45,,"$500,000"
20,zambrvi01,Víctor Zambrano,Right,6-0,190lb,2007,31,BAL,AL,0,1,0.0,9.49,5,2,0,0,0,0,12.1,12,13,13,1,11,0,11,4,0,1,63,50.0,6.16,1.865,8.8,0.7,8.0,8.0,1.0,,"$500,000"
21,zavadcl01,Clay Zavada,Left,6-1,185lb,2009,25,ARI,NL,3,3,0.5,3.35,49,0,9,0,0,0,51.0,45,22,19,5,24,2,52,3,0,1,221,134.0,3.92,1.3530000000000002,7.9,0.9,4.2,9.2,2.17,,"$400,000"
22,zeileto01,Todd Zeile,Right,6-1,190lb,2002,36,COL,NL,0,0,,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,3,,0.96,1.0,9.0,0.0,0.0,9.0,,,"$6,833,333"
23,zeileto01,Todd Zeile,Right,6-1,190lb,2004,38,NYM,NL,0,0,,45.0,1,0,1,0,0,0,1.0,4,5,5,0,2,0,0,0,0,0,9,13.0,9.05,6.0,36.0,0.0,18.0,0.0,0.0,,"$1,000,000"
