,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,maddugr01,Greg Maddux,Right,6-0,170lb,1988,22,CHC,NL,18,8,0.6920000000000001,3.18,34,34,0,9,3,0,249.0,230,97,88,13,81,16,140,9,6,3,1047,114,3.41,1.249,8.3,0.5,2.9,5.1,1.73,AS,"$82,500"
1,maddugr01,Greg Maddux,Right,6-0,170lb,1989,23,CHC,NL,19,12,0.613,2.95,35,35,0,7,1,0,238.1,222,90,78,13,82,13,135,6,3,5,1002,129,3.45,1.276,8.4,0.5,3.1,5.1,1.65,CYA-3,"$275,000"
2,maddugr01,Greg Maddux,Right,6-0,170lb,1990,24,CHC,NL,15,15,0.5,3.46,35,35,0,8,2,0,237.0,242,116,91,11,71,10,144,4,3,3,1011,119,3.15,1.321,9.2,0.4,2.7,5.5,2.03,GG,"$437,500"
3,maddugr01,Greg Maddux,Right,6-0,170lb,1991,25,CHC,NL,15,11,0.5770000000000001,3.35,37,37,0,7,2,0,263.0,232,113,98,18,66,9,198,6,3,6,1070,116,3.06,1.133,7.9,0.6,2.3,6.8,3.0,GG,"$2,400,000"
4,maddugr01,Greg Maddux,Right,6-0,170lb,1992,26,CHC,NL,20,11,0.645,2.18,35,35,0,9,4,0,268.0,201,68,65,7,70,7,199,14,0,5,1061,166,2.58,1.011,6.8,0.2,2.4,6.7,2.84,"AS,CYA-1,MVP-11,GG","$4,200,000"
5,maddugr01,Greg Maddux,Right,6-0,170lb,1993,27,ATL,NL,20,10,0.667,2.36,36,36,0,8,1,0,267.0,228,85,70,14,52,7,197,6,1,5,1064,170,2.85,1.0490000000000002,7.7,0.5,1.8,6.6,3.79,"CYA-1,MVP-13,GG","$5,875,000"
6,maddugr01,Greg Maddux,Right,6-0,170lb,1994,28,ATL,NL,16,6,0.727,1.56,25,25,0,10,3,0,202.0,150,44,35,4,31,3,156,6,1,3,774,271,2.39,0.8959999999999999,6.7,0.2,1.4,7.0,5.03,"AS,CYA-1,MVP-5,GG","$4,975,000"
7,maddugr01,Greg Maddux,Right,6-0,170lb,1995,29,ATL,NL,19,2,0.905,1.63,28,28,0,10,3,0,209.2,147,39,38,8,23,3,181,4,0,1,785,260,2.26,0.8109999999999999,6.3,0.3,1.0,7.8,7.87,"AS,CYA-1,MVP-3,GG","$6,500,000"
8,maddugr01,Greg Maddux,Right,6-0,170lb,1996,30,ATL,NL,15,11,0.5770000000000001,2.72,35,35,0,5,1,0,245.0,225,85,74,11,28,11,172,3,0,4,978,162,2.73,1.033,8.3,0.4,1.0,6.3,6.14,"AS,CYA-5,GG","$6,675,000"
9,maddugr01,Greg Maddux,Right,6-0,170lb,1997,31,ATL,NL,19,4,0.826,2.2,33,33,0,5,2,0,232.2,200,58,57,9,20,6,177,6,0,0,893,189,2.43,0.946,7.7,0.3,0.8,6.8,8.85,"AS,CYA-2,MVP-12,GG","$6,775,000"
10,maddugr01,Greg Maddux,Right,6-0,170lb,1998,32,ATL,NL,18,9,0.667,2.22,34,34,0,9,5,0,251.0,201,75,62,13,45,10,204,7,0,4,987,187,2.81,0.98,7.2,0.5,1.6,7.3,4.53,"AS,CYA-4,GG","$9,600,000"
11,maddugr01,Greg Maddux,Right,6-0,170lb,1999,33,ATL,NL,19,9,0.679,3.57,33,33,0,4,0,0,219.1,258,103,87,16,37,8,136,4,0,1,940,126,3.4,1.345,10.6,0.7,1.5,5.6,3.68,GG,"$10,600,000"
12,maddugr01,Greg Maddux,Right,6-0,170lb,2000,34,ATL,NL,19,9,0.679,3.0,35,35,0,6,3,0,249.1,225,91,83,19,42,12,190,10,2,1,1012,153,3.23,1.071,8.1,0.7,1.5,6.9,4.52,"AS,CYA-3,MVP-12,GG","$11,100,000"
