,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,abadan01,Andy Abad,Left,6-1,184lb,2006,33,CIN,NL,5,5,3,0,0,0,0,0,0,0,0,2,0,0.0,0.4,0.0,0.4,15.0,0,0,0,0,0,0,,,"$327,000"
1,abbotje01,Jeff Abbott,Right,6-2,190lb,1998,25,CHW,AL,89,261,244,33,68,14,1,12,41,3,3,9,28,0.27899999999999997,0.298,0.49200000000000005,0.79,104.0,120,2,0,2,5,1,897/D,,"$175,000"
2,abbotje01,Jeff Abbott,Right,6-2,190lb,1999,26,CHW,AL,17,64,57,5,9,0,0,2,6,1,1,5,12,0.158,0.222,0.263,0.485,23.0,15,4,0,1,1,0,7,,"$255,000"
3,abbotje01,Jeff Abbott,Right,6-2,190lb,2000,27,CHW,AL,80,242,215,31,59,15,1,3,29,2,1,21,38,0.27399999999999997,0.34299999999999997,0.395,0.738,86.0,85,2,2,2,1,1,879/D,,"$255,000"
4,abbotje01,Jeff Abbott,Right,6-2,190lb,2001,28,FLA,NL,28,46,42,5,11,3,0,0,5,0,0,3,7,0.262,0.326,0.33299999999999996,0.659,75.0,14,1,1,0,0,0,/897,,"$300,000"
5,abbotku01,Kurt Abbott,Right,5-11,180lb,1993,24,OAK,AL,20,67,61,11,15,1,0,3,9,2,0,3,20,0.24600000000000002,0.281,0.41,0.691,89.0,25,3,0,3,0,0,7/64,,"$109,000"
6,abbotku01,Kurt Abbott,Right,5-11,180lb,1994,25,FLA,NL,101,371,345,41,86,17,3,9,33,3,0,16,98,0.249,0.29100000000000004,0.39399999999999996,0.685,76.0,136,5,5,3,2,1,*6,,"$109,000"
7,abbotku01,Kurt Abbott,Right,5-11,180lb,1995,26,FLA,NL,120,468,420,60,107,18,7,17,60,4,3,36,110,0.255,0.318,0.452,0.77,101.0,190,6,5,2,5,4,*6,,"$119,000"
8,abbotku01,Kurt Abbott,Right,5-11,180lb,1996,27,FLA,NL,109,349,320,37,81,18,7,8,33,3,3,22,99,0.253,0.307,0.428,0.735,95.0,137,7,3,4,0,1,654,,"$250,000"
9,abbotku01,Kurt Abbott,Right,5-11,180lb,1997,28,FLA,NL,94,273,252,35,69,18,2,6,30,3,1,14,68,0.27399999999999997,0.315,0.433,0.747,98.0,109,5,1,6,0,3,47/65D,,"$650,000"
10,abbotku01,Kurt Abbott,Right,5-11,180lb,1998,29,TOT,MLB,77,212,194,26,51,13,1,5,24,2,1,12,53,0.263,0.308,0.418,0.726,84.0,81,5,2,1,3,0,6/7495D,,"$1,000,000"
11,abbotku01,Kurt Abbott,Right,5-11,180lb,1998,29,OAK,AL,35,136,123,17,33,7,1,2,9,2,1,10,34,0.268,0.326,0.39,0.716,89.0,48,3,1,1,1,0,6/7D59,,"$1,000,000"
12,abbotku01,Kurt Abbott,Right,5-11,180lb,1998,29,COL,NL,42,76,71,9,18,6,0,3,15,0,0,2,19,0.254,0.276,0.465,0.741,76.0,33,2,1,0,2,0,/46975D,,"$1,000,000"
13,abbotku01,Kurt Abbott,Right,5-11,180lb,1999,30,COL,NL,96,305,286,41,78,17,2,8,41,3,2,16,69,0.273,0.31,0.43,0.74,68.0,123,4,0,2,1,0,4/3689,,"$900,000"
14,abbotku01,Kurt Abbott,Right,5-11,180lb,2000,31,NYM,NL,79,173,157,22,34,7,1,6,12,1,1,14,51,0.217,0.28300000000000003,0.389,0.672,71.0,61,2,1,0,1,2,64/58,,"$500,000"
15,abbotku01,Kurt Abbott,Right,5-11,180lb,2001,32,ATL,NL,6,9,9,0,2,0,0,0,0,1,0,0,3,0.222,0.222,0.222,0.444,15.0,2,0,0,0,0,0,/46,,"$600,000"
16,abercre01,Reggie Abercrombie,Right,6-3,215lb,2006,25,FLA,NL,111,281,255,39,54,12,2,5,24,6,5,18,78,0.212,0.271,0.33299999999999996,0.604,58.0,85,2,3,4,1,2,89/7,,"$327,000"
17,abernbr01,Brent Abernathy,Right,6-1,185lb,2002,24,TBD,AL,117,504,463,46,112,18,4,2,40,10,4,25,46,0.242,0.28800000000000003,0.311,0.599,62.0,144,8,6,8,2,0,*4/D,,"$215,000"
18,abernbr01,Brent Abernathy,Right,6-1,185lb,2003,25,TOT,AL,12,37,34,3,2,0,0,0,0,1,0,1,3,0.059000000000000004,0.086,0.059000000000000004,0.145,-61.0,2,2,0,2,0,0,4,,"$300,000"
19,abernbr01,Brent Abernathy,Right,6-1,185lb,2003,25,TBD,AL,2,7,7,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/4,,"$300,000"
20,abernbr01,Brent Abernathy,Right,6-1,185lb,2003,25,KCR,AL,10,30,27,2,2,0,0,0,0,0,0,1,3,0.07400000000000001,0.107,0.07400000000000001,0.18100000000000002,-52.0,2,2,0,2,0,0,/4,,"$300,000"
21,abnersh01,Shawn Abner,Right,6-1,190lb,1988,22,SDP,NL,37,89,83,6,15,3,0,2,5,0,1,4,19,0.18100000000000002,0.225,0.289,0.514,48.0,24,1,1,0,1,1,987,,"$63,500"
22,abnersh01,Shawn Abner,Right,6-1,190lb,1989,23,SDP,NL,57,108,102,13,18,4,0,2,14,1,0,5,20,0.17600000000000002,0.213,0.275,0.48700000000000004,38.0,28,1,0,0,1,2,87/9,,"$77,500"
23,abnersh01,Shawn Abner,Right,6-1,190lb,1990,24,SDP,NL,91,198,184,17,45,9,0,1,15,2,3,9,28,0.245,0.28600000000000003,0.31,0.595,64.0,57,3,2,2,1,1,87/9,,"$105,000"
24,abnersh01,Shawn Abner,Right,6-1,190lb,1991,25,TOT,MLB,94,230,216,27,42,10,2,3,14,1,2,11,43,0.19399999999999998,0.23600000000000002,0.301,0.537,49.0,65,6,1,1,1,4,89/D,,"$180,000"
25,abnersh01,Shawn Abner,Right,6-1,190lb,1991,25,SDP,NL,53,125,115,15,19,4,1,1,5,0,0,7,25,0.165,0.218,0.243,0.461,28.0,28,3,1,1,1,4,8/9,,"$180,000"
26,abnersh01,Shawn Abner,Right,6-1,190lb,1991,25,CAL,AL,41,105,101,12,23,6,1,2,9,1,2,4,18,0.228,0.257,0.366,0.623,72.0,37,3,0,0,0,0,8/9D,,"$180,000"
27,abnersh01,Shawn Abner,Right,6-1,190lb,1992,26,CHW,AL,97,228,208,21,58,10,1,1,16,1,2,12,35,0.27899999999999997,0.32299999999999995,0.35100000000000003,0.674,90.0,73,3,3,2,3,2,987/D,,"$297,500"
28,abreubo01,Bobby Abreu,Left,6-0,220lb,1997,23,HOU,NL,59,210,188,22,47,10,2,3,26,7,2,21,48,0.25,0.32899999999999996,0.37200000000000005,0.701,87.0,70,0,1,0,0,0,97/8,,"$150,000"
29,abreubo01,Bobby Abreu,Left,6-0,220lb,1998,24,PHI,NL,151,589,497,68,155,29,6,17,74,19,10,84,133,0.312,0.409,0.49700000000000005,0.9059999999999999,135.0,247,6,0,4,4,14,*9,,"$180,000"
30,abreubo01,Bobby Abreu,Left,6-0,220lb,1999,25,PHI,NL,152,662,546,118,183,35,11,20,93,27,9,109,113,0.335,0.446,0.5489999999999999,0.995,147.0,300,13,3,0,4,8,*9/D,MVP-23,"$400,000"
31,abreubo01,Bobby Abreu,Left,6-0,220lb,2000,26,PHI,NL,154,680,576,103,182,42,10,25,79,28,8,100,116,0.316,0.41600000000000004,0.5539999999999999,0.97,143.0,319,12,1,0,3,9,*9,,"$2,933,333"
32,abreubo01,Bobby Abreu,Left,6-0,220lb,2001,27,PHI,NL,162,704,588,118,170,48,4,31,110,36,14,106,137,0.289,0.39299999999999996,0.5429999999999999,0.9359999999999999,142.0,319,13,1,0,9,11,*9,MVP-16,"$4,983,000"
33,abreubo01,Bobby Abreu,Left,6-0,220lb,2002,28,PHI,NL,157,685,572,102,176,50,6,20,85,31,12,104,117,0.308,0.413,0.521,0.934,151.0,298,11,3,0,6,9,*98,,"$6,333,333"
34,abreubo01,Bobby Abreu,Left,6-0,220lb,2003,29,PHI,NL,158,695,577,99,173,35,1,20,101,22,9,109,126,0.3,0.409,0.46799999999999997,0.877,136.0,270,13,2,0,7,13,*9,MVP-27,"$9,100,000"
35,abreubo01,Bobby Abreu,Left,6-0,220lb,2004,30,PHI,NL,159,713,574,118,173,47,1,30,105,40,5,127,116,0.301,0.428,0.544,0.971,145.0,312,5,5,0,7,10,*9,"AS,MVP-23,SS","$10,600,000"
36,abreubo01,Bobby Abreu,Left,6-0,220lb,2005,31,PHI,NL,162,719,588,104,168,37,1,24,102,31,9,117,134,0.28600000000000003,0.405,0.474,0.879,126.0,279,7,6,0,8,15,*9/D,"AS,MVP-14,GG","$13,100,000"
37,abreubo01,Bobby Abreu,Left,6-0,220lb,2006,32,TOT,MLB,156,686,548,98,163,41,2,15,107,30,6,124,138,0.297,0.424,0.462,0.8859999999999999,126.0,253,13,3,2,9,6,*9/8D,,"$13,600,000"
38,abreubo01,Bobby Abreu,Left,6-0,220lb,2006,32,PHI,NL,98,438,339,61,94,25,2,8,65,20,4,91,86,0.27699999999999997,0.42700000000000005,0.434,0.861,118.0,147,8,2,0,6,5,9/8D,,"$13,600,000"
39,abreubo01,Bobby Abreu,Left,6-0,220lb,2006,32,NYY,AL,58,248,209,37,69,16,0,7,42,10,2,33,52,0.33,0.419,0.507,0.9259999999999999,138.0,106,5,1,2,3,1,9/8D,,"$13,600,000"
40,abreubo01,Bobby Abreu,Left,6-0,220lb,2007,33,NYY,AL,158,699,605,123,171,40,5,16,101,25,8,84,115,0.28300000000000003,0.369,0.445,0.8140000000000001,113.0,269,11,3,0,7,0,*9/D,MVP-17,"$15,000,000"
41,abreubo01,Bobby Abreu,Left,6-0,220lb,2008,34,NYY,AL,156,684,609,100,180,39,4,20,100,22,11,73,109,0.29600000000000004,0.371,0.47100000000000003,0.843,120.0,287,14,1,0,1,2,*9/D,,"$16,000,000"
42,abreubo01,Bobby Abreu,Left,6-0,220lb,2009,35,LAA,AL,152,667,563,96,165,29,3,15,103,30,8,94,113,0.293,0.39,0.435,0.825,118.0,245,15,1,0,9,7,*9D7,MVP-12,"$5,000,000"
43,abreubo01,Bobby Abreu,Left,6-0,220lb,2010,36,LAA,AL,154,667,573,88,146,41,1,20,78,24,10,87,132,0.255,0.35200000000000004,0.435,0.787,118.0,249,13,2,0,5,3,*97D,,"$9,000,000"
