,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,cabelen01,Enos Cabell,Right,6-4,170lb,1985,35,TOT,NL,117,367,335,40,91,19,1,2,36,9,3,30,36,0.272,0.332,0.35200000000000004,0.684,95.0,118,5,0,2,0,1,35/97,,"$291,667"
1,cabelen01,Enos Cabell,Right,6-4,170lb,1985,35,HOU,NL,60,159,143,20,35,8,1,2,14,3,1,16,15,0.245,0.321,0.35700000000000004,0.677,92.0,51,5,0,0,0,0,3,,"$291,667"
2,cabelen01,Enos Cabell,Right,6-4,170lb,1985,35,LAD,NL,57,208,192,20,56,11,0,0,22,6,2,14,21,0.292,0.34,0.349,0.6890000000000001,97.0,67,0,0,2,0,1,53/97,,"$291,667"
3,cabelen01,Enos Cabell,Right,6-4,170lb,1986,36,LAD,NL,107,298,277,27,71,11,0,2,29,10,4,14,26,0.256,0.294,0.318,0.612,75.0,88,5,2,2,3,2,39/578,,"$450,000"
4,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2008,22,CLE,AL,114,418,352,48,91,20,0,6,47,4,4,46,77,0.259,0.34600000000000003,0.366,0.713,92.0,129,8,4,11,5,2,46/D,,"$393,300"
5,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2009,23,CLE,AL,131,581,523,81,161,42,4,6,68,17,4,44,89,0.308,0.361,0.43799999999999994,0.799,114.0,229,13,1,10,3,1,64,,"$416,700"
6,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2010,24,CLE,AL,97,425,381,39,105,16,1,3,29,6,4,25,60,0.276,0.326,0.34600000000000003,0.6729999999999999,89.0,132,10,5,11,3,0,6/D,,"$444,600"
7,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2011,25,CLE,AL,151,667,604,87,165,32,3,25,92,17,5,44,119,0.273,0.332,0.46,0.792,121.0,278,10,11,4,4,5,*6,"AS,MVP-20,SS","$2,025,000"
8,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2012,26,CLE,AL,143,616,555,70,150,35,1,16,68,9,4,52,99,0.27,0.33799999999999997,0.423,0.762,114.0,235,18,6,1,2,3,*6/D,AS,"$4,550,000"
9,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2013,27,CLE,AL,136,562,508,66,123,35,2,14,64,9,3,35,114,0.242,0.299,0.402,0.7,96.0,204,10,8,6,5,1,*6/D,,"$6,500,000"
10,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2014,28,TOT,MLB,146,616,553,74,133,31,4,14,61,10,2,49,108,0.24100000000000002,0.307,0.387,0.6940000000000001,93.0,214,15,7,1,6,2,64/D,,"$10,000,000"
11,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2014,28,CLE,AL,97,416,378,54,93,22,2,9,40,7,2,27,79,0.24600000000000002,0.305,0.386,0.6920000000000001,93.0,146,11,7,0,4,1,6/D,,"$10,000,000"
12,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2014,28,WSN,NL,49,200,175,20,40,9,2,5,21,3,0,22,29,0.22899999999999998,0.312,0.389,0.7,92.0,68,4,0,1,2,1,4/6,,"$10,000,000"
13,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2015,29,TBR,AL,143,551,505,66,134,28,5,15,58,6,3,36,107,0.265,0.315,0.43,0.7440000000000001,106.0,217,14,3,1,6,4,*6/D,,"$7,500,000"
14,cabreas01,Asdrúbal Cabrera,Both,6-0,205lb,2016,30,NYM,NL,141,568,521,65,146,30,1,23,62,5,1,38,103,0.28,0.336,0.474,0.81,117.0,247,14,7,0,2,3,*6,,"$8,250,000"
