,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,easleda01,Damion Easley,Right,5-11,155lb,1993,23,CAL,AL,73,264,230,33,72,13,2,2,22,6,6,28,35,0.313,0.392,0.413,0.805,116,95,5,3,1,2,2,45/D,,"$112,500"
1,easleda01,Damion Easley,Right,5-11,155lb,1994,24,CAL,AL,88,355,316,41,68,16,1,6,30,4,5,29,48,0.215,0.28800000000000003,0.32899999999999996,0.617,59,104,8,4,4,2,0,54,,"$170,000"
2,easleda01,Damion Easley,Right,5-11,155lb,1995,25,CAL,AL,114,405,357,35,77,14,2,4,35,5,2,32,47,0.21600000000000003,0.28800000000000003,0.3,0.588,55,107,11,6,6,4,1,46,,"$230,000"
3,easleda01,Damion Easley,Right,5-11,155lb,1996,26,TOT,AL,49,129,112,14,30,2,0,4,17,3,1,10,25,0.268,0.331,0.39299999999999996,0.7240000000000001,83,44,0,1,5,1,0,64/5D8,,"$305,000"
4,easleda01,Damion Easley,Right,5-11,155lb,1996,26,CAL,AL,28,54,45,4,7,1,0,2,7,0,0,6,12,0.156,0.255,0.311,0.5660000000000001,44,14,0,0,3,0,0,6/458D,,"$305,000"
5,easleda01,Damion Easley,Right,5-11,155lb,1996,26,DET,AL,21,75,67,10,23,1,0,2,10,3,1,4,13,0.34299999999999997,0.384,0.44799999999999995,0.831,110,30,0,1,2,1,0,/465D,,"$305,000"
6,easleda01,Damion Easley,Right,5-11,155lb,1997,27,DET,AL,151,620,527,97,139,37,3,22,72,28,13,68,102,0.264,0.36200000000000004,0.47100000000000003,0.833,117,248,18,16,4,5,3,*46/D,,"$675,000"
7,easleda01,Damion Easley,Right,5-11,155lb,1998,28,DET,AL,153,651,594,84,161,38,2,27,100,15,5,39,112,0.271,0.332,0.478,0.81,108,284,8,16,0,2,2,*46/D,"AS,SS","$2,050,000"
8,easleda01,Damion Easley,Right,5-11,155lb,1999,29,DET,AL,151,627,549,83,146,30,1,20,65,11,3,51,124,0.266,0.34600000000000003,0.434,0.779,99,238,15,19,2,6,2,*46,,"$3,350,000"
9,easleda01,Damion Easley,Right,5-11,155lb,2000,30,DET,AL,126,535,464,76,120,27,2,14,58,13,4,55,79,0.259,0.35,0.41600000000000004,0.7659999999999999,99,193,11,11,4,1,1,*4,,"$3,950,000"
10,easleda01,Damion Easley,Right,5-11,155lb,2001,31,DET,AL,154,658,585,77,146,27,7,11,65,10,5,52,90,0.25,0.32299999999999995,0.376,0.6990000000000001,90,220,10,13,4,4,3,*4,,"$5,075,000"
11,easleda01,Damion Easley,Right,5-11,155lb,2002,32,DET,AL,85,346,304,29,68,14,1,8,30,1,3,27,43,0.22399999999999998,0.307,0.355,0.6629999999999999,82,108,4,11,1,3,3,4/D,,"$6,250,000"
12,easleda01,Damion Easley,Right,5-11,155lb,2004,34,FLA,NL,98,257,223,26,53,20,1,9,43,4,1,24,36,0.23800000000000002,0.331,0.457,0.7879999999999999,106,102,6,8,0,2,1,436/59D,,"$300,000"
13,easleda01,Damion Easley,Right,5-11,155lb,2005,35,FLA,NL,102,304,267,37,64,19,1,9,30,4,1,26,47,0.24,0.312,0.419,0.732,95,112,6,4,3,4,3,465,,"$750,000"
14,easleda01,Damion Easley,Right,5-11,155lb,2006,36,ARI,NL,90,220,189,24,44,6,1,9,28,1,1,21,30,0.233,0.32299999999999995,0.418,0.741,85,79,4,5,3,2,0,65/43D9,,"$700,000"
15,easleda01,Damion Easley,Right,5-11,155lb,2007,37,NYM,NL,76,218,193,24,54,6,0,10,26,0,1,19,35,0.28,0.358,0.466,0.8240000000000001,113,90,2,5,0,1,1,4/9735,,"$850,000"
16,easleda01,Damion Easley,Right,5-11,155lb,2008,38,NYM,NL,113,347,316,33,85,10,2,6,44,0,0,19,38,0.26899999999999996,0.322,0.37,0.6920000000000001,83,117,15,7,2,3,0,4/6735D,,"$950,000"
17,easlemi01,Mike Easler,Left,6-0,190lb,1985,34,BOS,AL,155,631,568,71,149,29,4,16,74,0,1,53,129,0.262,0.325,0.41200000000000003,0.737,98,234,15,3,0,7,1,*D7/9,,"$650,000"
18,easlemi01,Mike Easler,Left,6-0,190lb,1986,35,NYY,AL,146,546,490,64,148,26,2,14,78,3,2,49,87,0.302,0.36200000000000004,0.449,0.8109999999999999,121,220,17,0,2,5,13,*D/79,,"$658,333"
19,easlemi01,Mike Easler,Left,6-0,190lb,1987,36,TOT,MLB,98,301,277,20,78,10,0,5,31,1,1,20,52,0.282,0.32899999999999996,0.37200000000000005,0.701,86,103,5,1,0,3,0,7D/9,,"$700,000"
20,easlemi01,Mike Easler,Left,6-0,190lb,1987,36,PHI,NL,33,117,110,7,31,4,0,1,10,0,1,6,20,0.282,0.316,0.345,0.662,74,38,1,0,0,1,0,7,,"$700,000"
21,easlemi01,Mike Easler,Left,6-0,190lb,1987,36,NYY,AL,65,184,167,13,47,6,0,4,21,1,0,14,32,0.281,0.337,0.389,0.726,93,65,4,1,0,2,0,D7/9,,"$700,000"
22,eatonad02,Adam Eaton,Left,5-8,185lb,2013,24,ARI,NL,66,277,250,40,63,10,4,3,22,5,2,17,44,0.252,0.314,0.36,0.674,86,90,4,6,3,1,0,78/9D,,"$491,000"
