,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,gaettga01,Gary Gaetti,Right,6-0,180lb,1985,26,MIN,AL,160,608,560,71,138,31,0,20,63,13,5,37,89,0.24600000000000002,0.301,0.409,0.71,89.0,229,15,7,3,1,3,*5/73D,,"$415,000"
1,gaettga01,Gary Gaetti,Right,6-0,180lb,1986,27,MIN,AL,157,661,596,91,171,34,1,34,108,14,15,52,108,0.287,0.34700000000000003,0.518,0.865,131.0,309,18,6,1,6,4,*5/647,"MVP-16,GG","$515,000"
2,gaettga01,Gary Gaetti,Right,6-0,180lb,1987,28,MIN,AL,154,628,584,95,150,36,2,31,109,10,7,37,92,0.257,0.303,0.485,0.7879999999999999,102.0,283,25,3,1,3,7,*5/D,"MVP-10,GG","$950,000"
3,gaettga01,Gary Gaetti,Right,6-0,180lb,1988,29,MIN,AL,133,516,468,66,141,29,2,28,88,7,4,36,85,0.301,0.353,0.551,0.905,148.0,258,10,5,1,6,5,*5/D6,"AS,MVP-22,GG","$1,666,666"
4,gaettga01,Gary Gaetti,Right,6-0,180lb,1989,30,MIN,AL,130,536,498,63,125,11,4,19,75,6,2,25,87,0.251,0.28600000000000003,0.40399999999999997,0.69,88.0,201,12,3,1,9,5,*5/D3,"AS,GG","$2,400,000"
5,gaettga01,Gary Gaetti,Right,6-0,180lb,1990,31,MIN,AL,154,625,577,61,132,27,5,16,85,6,1,36,101,0.22899999999999998,0.27399999999999997,0.376,0.65,76.0,217,22,3,1,8,1,*5/36,,"$500,000"
6,gaettga01,Gary Gaetti,Right,6-0,180lb,1991,32,CAL,AL,152,634,586,58,144,22,1,18,66,5,5,33,104,0.24600000000000002,0.293,0.379,0.672,86.0,222,13,8,2,5,3,*5,,"$2,700,000"
7,gaettga01,Gary Gaetti,Right,6-0,180lb,1992,33,CAL,AL,130,486,456,41,103,13,2,12,48,3,1,21,79,0.226,0.267,0.342,0.61,70.0,156,9,6,0,3,4,53D,,"$2,700,000"
8,gaettga01,Gary Gaetti,Right,6-0,180lb,1993,34,TOT,AL,102,369,331,40,81,20,1,14,50,1,3,21,87,0.245,0.3,0.43799999999999994,0.738,92.0,145,5,8,2,7,0,53/D,,"$109,000"
9,gaettga01,Gary Gaetti,Right,6-0,180lb,1993,34,CAL,AL,20,56,50,3,9,2,0,0,4,1,0,5,12,0.18,0.25,0.22,0.47,27.0,11,3,0,0,1,0,/53D,,"$109,000"
10,gaettga01,Gary Gaetti,Right,6-0,180lb,1993,34,KCR,AL,82,313,281,37,72,18,1,14,46,0,3,16,75,0.256,0.309,0.47700000000000004,0.7859999999999999,103.0,134,2,8,2,6,0,53/D,,"$109,000"
11,gaettga01,Gary Gaetti,Right,6-0,180lb,1994,35,KCR,AL,90,352,327,53,94,15,3,12,57,0,2,19,63,0.287,0.32799999999999996,0.462,0.789,99.0,151,9,2,1,3,3,*5/3,,"$109,000"
12,gaettga01,Gary Gaetti,Right,6-0,180lb,1995,36,KCR,AL,137,578,514,76,134,27,0,35,96,3,3,47,91,0.261,0.32899999999999996,0.518,0.846,116.0,266,7,8,3,6,6,*53/D,"MVP-10,SS","$1,065,000"
13,gaettga01,Gary Gaetti,Right,6-0,180lb,1996,37,STL,NL,141,574,522,71,143,27,4,23,80,2,2,35,97,0.27399999999999997,0.326,0.473,0.799,109.0,247,10,8,4,5,6,*53,,"$2,000,000"
14,gaettga01,Gary Gaetti,Right,6-0,180lb,1997,38,STL,NL,148,554,502,63,126,24,1,17,69,7,3,36,88,0.251,0.305,0.40399999999999997,0.71,85.0,203,20,6,4,6,3,*53/1,,"$2,100,000"
15,gaettga01,Gary Gaetti,Right,6-0,180lb,1998,39,TOT,NL,128,492,434,60,122,34,1,19,70,1,1,43,62,0.281,0.35600000000000004,0.495,0.852,121.0,215,12,10,1,4,2,*5/3419,,"$170,000"
16,gaettga01,Gary Gaetti,Right,6-0,180lb,1998,39,STL,NL,91,345,306,39,81,23,1,11,43,1,1,31,39,0.265,0.33899999999999997,0.45399999999999996,0.7929999999999999,107.0,139,10,5,0,3,1,5/3419,,"$170,000"
17,gaettga01,Gary Gaetti,Right,6-0,180lb,1998,39,CHC,NL,37,147,128,21,41,11,0,8,27,0,0,12,23,0.32,0.397,0.594,0.991,154.0,76,2,5,1,1,1,5,,"$170,000"
18,gaettga01,Gary Gaetti,Right,6-0,180lb,1999,40,CHC,NL,113,308,280,22,57,9,1,9,46,0,1,21,51,0.204,0.26,0.33899999999999997,0.599,52.0,95,5,2,0,5,0,5/316,,"$2,000,000"
19,gaettga01,Gary Gaetti,Right,6-0,180lb,2000,41,BOS,AL,5,11,10,0,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,1,0,/D,,"$350,000"
20,gagnegr01,Greg Gagne,Right,5-11,185lb,1986,24,MIN,AL,156,524,472,63,118,22,6,12,54,12,10,30,108,0.25,0.301,0.39799999999999996,0.7,88.0,188,4,6,13,3,0,*6/4,,"$100,000"
21,gagnegr01,Greg Gagne,Right,5-11,185lb,1987,25,MIN,AL,137,479,437,68,116,28,7,10,40,6,6,25,84,0.265,0.31,0.43,0.74,92.0,188,3,4,10,2,0,*6/84D9,,"$155,000"
22,gagnegr01,Greg Gagne,Right,5-11,185lb,1988,26,MIN,AL,149,508,461,70,109,20,6,14,48,15,7,27,110,0.23600000000000002,0.28800000000000003,0.397,0.685,89.0,183,13,7,11,1,2,*6/845,,"$440,000"
23,gagnegr01,Greg Gagne,Right,5-11,185lb,1989,27,MIN,AL,149,491,460,69,125,29,7,9,48,11,4,17,80,0.272,0.298,0.424,0.721,96.0,195,10,2,7,5,0,*6/8,,"$570,000"
