,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,hafnetr01,Travis Hafner,Left,6-3,240lb,2003,26,CLE,AL,91,324,291,35,74,19,3,14,40,2,1,22,81,0.254,0.327,0.485,0.812,115.0,141,7,10,0,1,2,D3,,"$302,200"
1,hafnetr01,Travis Hafner,Left,6-3,240lb,2004,27,CLE,AL,140,576,482,96,150,41,3,28,109,3,2,68,111,0.311,0.41,0.583,0.993,162.0,281,11,17,0,6,7,*D3,MVP-24,"$316,300"
2,hafnetr01,Travis Hafner,Left,6-3,240lb,2005,28,CLE,AL,137,578,486,94,148,42,0,33,108,0,0,79,123,0.305,0.408,0.595,1.003,168.0,289,9,9,0,4,7,*D/3,MVP-5,"$377,400"
3,hafnetr01,Travis Hafner,Left,6-3,240lb,2006,29,CLE,AL,129,564,454,100,140,31,1,42,117,0,0,100,111,0.308,0.439,0.659,1.097,181.0,299,10,7,0,2,16,*D/3,MVP-8,"$2,700,000"
4,hafnetr01,Travis Hafner,Left,6-3,240lb,2007,30,CLE,AL,152,661,545,80,145,25,2,24,100,1,1,102,115,0.266,0.385,0.451,0.8370000000000001,120.0,246,15,7,0,5,17,*D3,,"$4,050,000"
5,hafnetr01,Travis Hafner,Left,6-3,240lb,2008,31,CLE,AL,57,234,198,21,39,10,0,5,24,1,1,27,55,0.19699999999999998,0.305,0.32299999999999995,0.628,69.0,64,4,5,0,3,6,D,,"$8,050,000"
6,hafnetr01,Travis Hafner,Left,6-3,240lb,2009,32,CLE,AL,94,383,338,46,92,19,0,16,49,0,0,41,67,0.272,0.355,0.47,0.826,120.0,159,7,3,0,1,6,D,,"$11,500,000"
7,hafnetr01,Travis Hafner,Left,6-3,240lb,2010,33,CLE,AL,118,462,396,46,110,29,0,13,50,2,1,51,94,0.278,0.374,0.449,0.8240000000000001,130.0,178,2,12,0,3,10,*D,,"$11,500,000"
8,hafnetr01,Travis Hafner,Left,6-3,240lb,2011,34,CLE,AL,94,368,325,41,91,16,0,13,57,0,0,36,78,0.28,0.361,0.449,0.8109999999999999,128.0,146,7,6,0,1,5,D,,"$13,000,000"
9,hafnetr01,Travis Hafner,Left,6-3,240lb,2012,35,CLE,AL,66,263,219,23,50,6,2,12,34,0,0,32,47,0.228,0.34600000000000003,0.43799999999999994,0.784,120.0,96,9,9,0,3,2,D,,"$13,000,000"
10,hafnetr01,Travis Hafner,Left,6-3,240lb,2013,36,NYY,AL,82,299,262,31,53,8,1,12,37,2,0,32,79,0.20199999999999999,0.301,0.37799999999999995,0.679,87.0,99,5,5,0,0,2,D,,"$2,000,000"
11,haguema01,Matt Hague,Right,6-3,225lb,2012,26,PIT,NL,30,74,70,5,16,2,0,0,7,1,0,3,14,0.22899999999999998,0.27,0.257,0.527,48.0,18,1,1,0,0,0,3/D,,"$480,000"
12,hairsje01,Jerry Hairston,Both,5-10,170lb,1985,33,CHW,AL,95,175,140,9,34,8,0,2,20,0,0,29,18,0.243,0.371,0.34299999999999997,0.7140000000000001,95.0,48,3,2,0,4,3,D/7,,"$150,000"
13,hairsje01,Jerry Hairston,Both,5-10,170lb,1986,34,CHW,AL,101,253,225,32,61,15,0,5,26,0,0,26,26,0.271,0.348,0.40399999999999997,0.752,101.0,91,9,1,0,1,3,D3/79,,"$156,667"
14,hairsje01,Jerry Hairston,Both,5-10,170lb,1987,35,CHW,AL,66,155,126,14,29,8,0,5,20,0,0,25,25,0.23,0.35700000000000004,0.413,0.77,102.0,52,4,1,1,2,2,D7/3,,"$150,000"
15,hairsje01,Jerry Hairston,Both,5-10,170lb,1988,36,CHW,AL,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,,,"$122,500"
16,hairsje02,Jerry Hairston,Right,5-10,195lb,1998,22,BAL,AL,6,7,7,2,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/4,,"$170,000"
17,hairsje02,Jerry Hairston,Right,5-10,195lb,1999,23,BAL,AL,50,193,175,26,47,12,1,4,17,9,4,11,24,0.26899999999999996,0.32299999999999995,0.41700000000000004,0.74,92.0,73,2,3,4,0,0,4,,"$200,000"
18,hairsje02,Jerry Hairston,Right,5-10,195lb,2000,24,BAL,AL,49,212,180,27,46,5,0,5,19,8,5,21,22,0.256,0.353,0.36700000000000005,0.7190000000000001,87.0,66,8,6,5,0,0,4,,"$205,000"
19,hairsje02,Jerry Hairston,Right,5-10,195lb,2001,25,BAL,AL,159,602,532,63,124,25,5,8,47,29,11,44,73,0.233,0.305,0.344,0.649,75.0,183,12,13,9,4,0,*4,,"$235,000"
20,hairsje02,Jerry Hairston,Right,5-10,195lb,2002,26,BAL,AL,122,479,426,55,114,25,3,5,32,21,6,34,55,0.268,0.32899999999999996,0.376,0.705,92.0,160,5,7,8,4,0,*4,,"$300,000"
21,hairsje02,Jerry Hairston,Right,5-10,195lb,2003,27,BAL,AL,58,259,218,25,59,12,2,2,21,14,5,23,25,0.271,0.353,0.37200000000000005,0.725,93.0,81,8,6,10,2,0,4/D,,"$1,550,000"
22,hairsje02,Jerry Hairston,Right,5-10,195lb,2004,28,BAL,AL,86,334,287,43,87,19,1,2,24,13,8,29,29,0.303,0.37799999999999995,0.397,0.775,105.0,114,3,8,6,4,1,9D847/5,,"$1,650,000"
23,hairsje02,Jerry Hairston,Right,5-10,195lb,2005,29,CHC,NL,114,430,380,51,99,25,2,4,30,8,9,31,46,0.261,0.336,0.368,0.7040000000000001,82.0,140,5,12,7,0,0,847/96,,"$1,800,000"
24,hairsje02,Jerry Hairston,Right,5-10,195lb,2006,30,TOT,MLB,101,192,170,25,35,6,1,0,10,5,2,13,34,0.20600000000000002,0.27,0.253,0.523,36.0,43,5,2,7,0,2,7489/D635,,"$2,300,000"
25,hairsje02,Jerry Hairston,Right,5-10,195lb,2006,30,CHC,NL,38,92,82,8,17,3,0,0,4,3,0,4,14,0.207,0.253,0.244,0.49700000000000005,27.0,20,1,1,5,0,2,4/973,,"$2,300,000"
26,hairsje02,Jerry Hairston,Right,5-10,195lb,2006,30,TEX,AL,63,100,88,17,18,3,1,0,6,2,2,9,20,0.205,0.28600000000000003,0.261,0.547,43.0,23,4,1,2,0,0,78/9D645,,"$2,300,000"
27,hairsje02,Jerry Hairston,Right,5-10,195lb,2007,31,TEX,AL,73,184,159,22,30,7,0,3,16,5,1,11,24,0.18899999999999997,0.249,0.289,0.5379999999999999,41.0,46,5,3,7,4,0,8745/96,,"$750,000"
28,hairsje02,Jerry Hairston,Right,5-10,195lb,2009,33,TOT,MLB,131,433,383,62,96,23,1,10,39,7,4,32,54,0.251,0.315,0.39399999999999996,0.71,85.0,151,3,6,8,4,0,56794/8D,,"$2,000,000"
29,hairsje02,Jerry Hairston,Right,5-10,195lb,2009,33,CIN,NL,86,340,307,47,78,18,1,8,27,7,3,21,46,0.254,0.305,0.397,0.703,84.0,122,2,3,6,3,0,56/4798,,"$2,000,000"
30,hairsje02,Jerry Hairston,Right,5-10,195lb,2009,33,NYY,AL,45,93,76,15,18,5,0,2,12,0,1,11,8,0.237,0.35200000000000004,0.382,0.733,90.0,29,1,3,2,1,0,567/94D8,,"$2,000,000"
31,hairsje02,Jerry Hairston,Right,5-10,195lb,2010,34,SDP,NL,119,476,430,53,105,13,2,10,50,9,6,31,54,0.244,0.299,0.353,0.652,83.0,152,5,5,4,6,2,64/975,,"$2,125,000"
32,hairsje02,Jerry Hairston,Right,5-10,195lb,2011,35,TOT,NL,120,376,337,43,91,21,1,5,31,3,2,33,46,0.27,0.344,0.38299999999999995,0.727,99.0,129,7,5,1,0,1,5478/6,,"$2,000,000"
33,hairsje02,Jerry Hairston,Right,5-10,195lb,2011,35,WSN,NL,75,238,213,25,57,11,1,4,24,2,2,22,30,0.268,0.342,0.385,0.727,100.0,82,3,2,1,0,1,57/846,,"$2,000,000"
34,hairsje02,Jerry Hairston,Right,5-10,195lb,2011,35,MIL,NL,45,138,124,18,34,10,0,1,7,1,0,11,16,0.27399999999999997,0.348,0.379,0.727,98.0,47,4,3,0,0,0,48/576,,"$2,000,000"
35,hairsje02,Jerry Hairston,Right,5-10,195lb,2012,36,LAD,NL,78,267,238,19,65,13,1,4,26,1,2,23,27,0.273,0.342,0.387,0.7290000000000001,102.0,92,7,3,1,2,2,547/63D,,"$2,250,000"
36,hairsje02,Jerry Hairston,Right,5-10,195lb,2013,37,LAD,NL,96,226,204,17,43,7,0,2,22,0,0,14,22,0.21100000000000002,0.265,0.275,0.539,53.0,56,7,2,3,3,0,573/94,,"$3,750,000"
37,hairssc01,Scott Hairston,Right,6-0,200lb,2007,27,TOT,NL,107,294,263,37,64,18,2,11,36,2,0,26,55,0.243,0.313,0.452,0.765,94.0,119,4,1,3,1,0,7/8D,,"$389,000"
38,hairssc01,Scott Hairston,Right,6-0,200lb,2007,27,ARI,NL,76,199,176,21,39,13,1,3,16,2,0,19,37,0.222,0.301,0.358,0.659,65.0,63,4,1,3,0,0,7/8D,,"$389,000"
39,hairssc01,Scott Hairston,Right,6-0,200lb,2007,27,SDP,NL,31,95,87,16,25,5,1,8,20,0,0,7,18,0.287,0.337,0.644,0.981,157.0,56,0,0,0,1,0,7/8,,"$389,000"
40,hairssc01,Scott Hairston,Right,6-0,200lb,2008,28,SDP,NL,112,362,326,42,81,18,3,17,31,3,1,28,84,0.248,0.312,0.479,0.7909999999999999,117.0,156,2,3,3,2,2,87/4,,"$406,000"
41,hairssc01,Scott Hairston,Right,6-0,200lb,2009,29,TOT,MLB,116,464,430,50,114,27,2,17,64,11,3,25,83,0.265,0.307,0.456,0.763,103.0,196,9,3,1,5,0,78/D,,"$1,250,000"
42,hairssc01,Scott Hairston,Right,6-0,200lb,2009,29,SDP,NL,56,216,197,26,59,14,1,10,29,8,1,17,45,0.299,0.358,0.5329999999999999,0.8909999999999999,143.0,105,4,1,1,0,0,87,,"$1,250,000"
43,hairssc01,Scott Hairston,Right,6-0,200lb,2009,29,OAK,AL,60,248,233,24,55,13,1,7,35,3,2,8,38,0.23600000000000002,0.262,0.391,0.653,70.0,91,5,2,0,5,0,78/D,,"$1,250,000"
44,hairssc01,Scott Hairston,Right,6-0,200lb,2010,30,SDP,NL,104,336,295,34,62,10,0,10,36,6,1,31,69,0.21,0.295,0.34600000000000003,0.64,80.0,102,3,6,0,4,1,78/9D,,"$2,450,000"
45,hairssc01,Scott Hairston,Right,6-0,200lb,2011,31,NYM,NL,79,145,132,20,31,8,1,7,24,1,1,11,34,0.235,0.303,0.47,0.773,113.0,62,2,2,0,0,2,987/D4,,"$1,100,000"
46,hairssc01,Scott Hairston,Right,6-0,200lb,2012,32,NYM,NL,134,398,377,52,99,25,3,20,57,8,2,19,83,0.263,0.299,0.504,0.8029999999999999,118.0,190,10,1,0,1,0,798,,"$1,100,000"
47,hairssc01,Scott Hairston,Right,6-0,200lb,2013,33,TOT,NL,85,174,157,18,30,5,0,10,26,2,0,9,44,0.191,0.237,0.414,0.6509999999999999,75.0,65,3,2,1,5,0,97/D,,"$2,500,000"
48,hairssc01,Scott Hairston,Right,6-0,200lb,2013,33,CHC,NL,52,112,99,13,17,2,0,8,19,2,0,7,25,0.172,0.23199999999999998,0.434,0.6659999999999999,79.0,43,3,2,0,4,0,9/D7,,"$2,500,000"
49,hairssc01,Scott Hairston,Right,6-0,200lb,2013,33,WSN,NL,33,62,58,5,13,3,0,2,7,0,0,2,19,0.22399999999999998,0.24600000000000002,0.379,0.625,69.0,22,0,0,1,1,0,7/9,,"$2,500,000"
50,hairssc01,Scott Hairston,Right,6-0,200lb,2014,34,WSN,NL,61,87,77,6,16,4,0,1,8,0,0,4,26,0.20800000000000002,0.253,0.299,0.552,52.0,23,2,2,0,4,0,7/D9,,"$2,500,000"
51,halech01,Chip Hale,Left,5-11,190lb,1989,24,MIN,AL,28,71,67,6,14,3,0,0,4,0,0,1,6,0.209,0.214,0.254,0.46799999999999997,28.0,17,0,0,1,2,0,4/5D,,"$68,000"
52,halech01,Chip Hale,Left,5-11,190lb,1990,25,MIN,AL,1,4,2,0,0,0,0,0,2,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,2,0,/4,,"$100,000"
53,halech01,Chip Hale,Left,5-11,190lb,1993,28,MIN,AL,69,213,186,25,62,6,1,3,27,2,1,18,17,0.33299999999999996,0.408,0.425,0.8320000000000001,125.0,79,3,6,2,1,0,45D/36,,"$128,000"
54,halech01,Chip Hale,Left,5-11,190lb,1994,29,MIN,AL,67,138,118,13,31,9,0,1,11,0,2,16,14,0.263,0.35,0.364,0.715,86.0,43,2,1,1,2,1,5D/349,,"$150,000"
55,halech01,Chip Hale,Left,5-11,190lb,1995,30,MIN,AL,69,114,103,10,27,4,0,2,18,0,0,11,20,0.262,0.33299999999999996,0.359,0.693,80.0,37,6,0,0,0,1,D/453,,"$167,500"
56,halech01,Chip Hale,Left,5-11,190lb,1996,31,MIN,AL,85,98,87,8,24,5,0,1,16,0,0,10,6,0.276,0.34700000000000003,0.368,0.715,81.0,32,3,0,0,1,2,4D/359,,"$175,000"
