,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,iannech01,Chris Iannetta,Right,6-0,230lb,2007,24,COL,NL,67,234,197,22,43,8,3,4,27,0,0,29,58,0.218,0.33,0.35,0.6809999999999999,72,69,3,5,1,2,3,2,,"$381,000"
1,iannech01,Chris Iannetta,Right,6-0,230lb,2008,25,COL,NL,104,407,333,50,88,22,2,18,65,0,0,56,92,0.264,0.39,0.505,0.895,125,168,6,14,2,2,0,2/5,,"$396,000"
2,iannech01,Chris Iannetta,Right,6-0,230lb,2009,26,COL,NL,93,350,289,41,66,15,2,16,52,0,1,43,75,0.228,0.344,0.46,0.804,101,133,4,11,1,6,3,2,,"$415,000"
3,iannech01,Chris Iannetta,Right,6-0,230lb,2010,27,COL,NL,61,223,188,20,37,6,1,9,27,1,0,30,48,0.19699999999999998,0.318,0.38299999999999995,0.701,78,72,4,4,0,1,2,2/35D,,"$1,750,000"
4,iannech01,Chris Iannetta,Right,6-0,230lb,2011,28,COL,NL,112,426,345,51,82,17,1,14,55,6,3,70,89,0.23800000000000002,0.37,0.414,0.785,101,143,10,5,2,4,5,2/35,,"$2,550,000"
5,iannech01,Chris Iannetta,Right,6-0,230lb,2012,29,LAA,AL,79,253,221,27,53,6,1,9,26,1,3,29,60,0.24,0.332,0.39799999999999996,0.73,106,88,4,2,0,1,0,2,,"$3,550,000"
6,iannech01,Chris Iannetta,Right,6-0,230lb,2013,30,LAA,AL,115,399,325,40,73,15,0,11,39,0,1,68,100,0.225,0.358,0.37200000000000005,0.731,109,121,8,2,0,4,2,*2,,"$5,050,000"
7,iannech01,Chris Iannetta,Right,6-0,230lb,2014,31,LAA,AL,108,373,306,41,77,22,0,7,43,3,0,54,91,0.252,0.373,0.392,0.765,123,120,3,8,0,5,3,2/D,,"$4,975,000"
8,iannech01,Chris Iannetta,Right,6-0,230lb,2015,32,LAA,AL,92,317,272,28,51,10,0,10,34,0,1,41,83,0.188,0.293,0.335,0.628,78,91,11,1,0,3,1,2/3D,,"$5,525,000"
9,iannech01,Chris Iannetta,Right,6-0,230lb,2016,33,SEA,AL,94,338,295,23,62,14,0,7,24,0,0,38,83,0.21,0.303,0.32899999999999996,0.631,75,97,4,2,1,2,0,2/D,,"$4,250,000"
10,iannech01,Chris Iannetta,Right,6-0,230lb,2017,34,ARI,NL,89,316,272,38,69,19,0,17,43,0,0,37,87,0.254,0.354,0.511,0.865,114,139,3,6,0,1,0,2/5,,"$1,500,000"
11,ibanera01,Raúl Ibañez,Left,6-2,225lb,1997,25,SEA,AL,11,26,26,3,4,0,1,1,4,0,0,0,6,0.154,0.154,0.34600000000000003,0.5,27,9,0,0,0,0,0,/97D,,"$150,000"
12,ibanera01,Raúl Ibañez,Left,6-2,225lb,1998,26,SEA,AL,37,103,98,12,25,7,1,2,12,0,0,5,22,0.255,0.29100000000000004,0.408,0.6990000000000001,81,40,4,0,0,0,0,39/7D,,"$170,000"
13,ibanera01,Raúl Ibañez,Left,6-2,225lb,1999,27,SEA,AL,87,227,209,23,54,7,0,9,27,5,1,17,32,0.258,0.313,0.42100000000000004,0.7340000000000001,84,88,4,0,0,1,1,973/2D,,"$220,000"
14,ibanera01,Raúl Ibañez,Left,6-2,225lb,2000,28,SEA,AL,92,156,140,21,32,8,0,2,15,2,0,14,25,0.22899999999999998,0.301,0.32899999999999996,0.63,64,46,1,1,0,1,1,97/D3,,"$275,000"
15,ibanera01,Raúl Ibañez,Left,6-2,225lb,2002,30,KCR,AL,137,544,497,70,146,37,6,24,103,5,3,40,76,0.294,0.34600000000000003,0.537,0.883,122,267,11,2,1,4,5,37D9,,"$800,000"
16,ibanera01,Raúl Ibañez,Left,6-2,225lb,2003,31,KCR,AL,157,671,608,95,179,33,5,18,90,8,4,49,81,0.294,0.345,0.45399999999999996,0.799,103,276,10,3,1,10,5,*73D/9,,"$3,000,000"
17,ibanera01,Raúl Ibañez,Left,6-2,225lb,2004,32,SEA,AL,123,524,481,67,146,31,1,16,62,1,2,36,72,0.304,0.353,0.47200000000000003,0.825,116,227,10,3,0,4,5,*73/9D,,"$3,916,667"
18,ibanera01,Raúl Ibañez,Left,6-2,225lb,2005,33,SEA,AL,162,690,614,92,172,32,2,20,89,9,4,71,99,0.28,0.355,0.436,0.792,115,268,12,2,0,3,6,D7/39,,"$4,416,667"
19,ibanera01,Raúl Ibañez,Left,6-2,225lb,2006,34,SEA,AL,159,699,626,103,181,33,5,33,123,2,4,65,115,0.289,0.353,0.516,0.8690000000000001,125,323,13,1,0,7,15,*7/D,MVP-21,"$4,250,000"
