,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,kaaihki01,Kila Ka'aihue,Left,6-4,240lb,2011,27,KCR,AL,23,96,82,6,16,4,0,2,6,0,0,12,26,0.195,0.295,0.317,0.612,69,26,3,0,1,1,0,3/D,,"$419,000"
1,kaaihki01,Kila Ka'aihue,Left,6-4,240lb,2012,28,OAK,AL,39,139,128,13,30,9,0,4,14,1,0,10,28,0.23399999999999999,0.295,0.39799999999999996,0.693,93,51,6,1,0,0,0,3D,,"$482,500"
2,kalisry01,Ryan Kalish,Left,6-0,215lb,2012,24,BOS,AL,36,103,96,12,22,3,0,0,5,3,2,6,26,0.22899999999999998,0.272,0.26,0.532,46,25,4,0,0,1,0,8/97D,,"$483,000"
3,kalisry01,Ryan Kalish,Left,6-0,215lb,2014,26,CHC,NL,57,130,121,13,30,4,4,0,5,3,2,8,28,0.248,0.295,0.34700000000000003,0.642,78,42,3,0,1,0,1,789,,"$550,000"
4,kangju01,Jung Ho Kang,Right,6-0,210lb,2015,28,PIT,NL,126,467,421,60,121,24,2,15,58,5,4,28,99,0.287,0.355,0.461,0.816,123,194,10,17,0,1,0,56,RoY-3,"$2,500,000"
5,kangju01,Jung Ho Kang,Right,6-0,210lb,2016,29,PIT,NL,103,370,318,45,81,19,0,21,62,3,1,36,79,0.255,0.354,0.513,0.867,129,163,11,14,0,2,1,5/D,,"$2,500,000"
6,kaplega01,Gabe Kapler,Right,6-2,190lb,1999,23,DET,AL,130,468,416,60,102,22,4,18,49,11,5,42,74,0.245,0.315,0.447,0.762,93,186,7,2,4,4,0,*89/D,,"$200,000"
7,kaplega01,Gabe Kapler,Right,6-2,190lb,2000,24,TEX,AL,116,491,444,59,134,32,1,14,66,8,4,42,57,0.302,0.36,0.473,0.833,109,210,12,0,2,3,2,*89,,"$280,000"
8,kaplega01,Gabe Kapler,Right,6-2,190lb,2001,25,TEX,AL,134,556,483,77,129,29,1,17,72,23,6,61,70,0.267,0.348,0.43700000000000006,0.785,103,211,10,3,2,7,2,*8/D,,"$450,000"
9,kaplega01,Gabe Kapler,Right,6-2,190lb,2002,26,TOT,MLB,112,342,315,37,88,16,4,2,34,11,4,16,53,0.27899999999999997,0.313,0.375,0.688,75,118,5,1,7,3,0,798/3D,,"$1,850,000"
10,kaplega01,Gabe Kapler,Right,6-2,190lb,2002,26,TEX,AL,72,214,196,25,51,12,1,0,17,5,2,8,30,0.26,0.285,0.332,0.617,60,65,3,0,7,3,0,789/3D,,"$1,850,000"
11,kaplega01,Gabe Kapler,Right,6-2,190lb,2002,26,COL,NL,40,128,119,12,37,4,3,2,17,6,2,8,23,0.311,0.359,0.445,0.805,99,53,2,1,0,0,0,97/8,,"$1,850,000"
12,kaplega01,Gabe Kapler,Right,6-2,190lb,2003,27,TOT,MLB,107,248,225,39,61,13,1,4,27,6,2,22,41,0.271,0.336,0.391,0.727,85,88,8,0,0,0,1,978/3D,,"$3,425,000"
13,kaplega01,Gabe Kapler,Right,6-2,190lb,2003,27,COL,NL,39,76,67,10,15,2,0,0,4,2,0,8,18,0.22399999999999998,0.307,0.254,0.56,41,17,3,0,0,0,1,79/8,,"$3,425,000"
14,kaplega01,Gabe Kapler,Right,6-2,190lb,2003,27,BOS,AL,68,172,158,29,46,11,1,4,23,4,2,14,23,0.29100000000000004,0.349,0.449,0.7979999999999999,105,71,5,0,0,0,0,97/83D,,"$3,425,000"
15,kaplega01,Gabe Kapler,Right,6-2,190lb,2004,28,BOS,AL,136,310,290,51,79,14,1,6,33,5,4,15,49,0.272,0.311,0.39,0.7,77,113,5,2,1,2,0,*978/D,,"$750,000"
16,kaplega01,Gabe Kapler,Right,6-2,190lb,2008,32,MIL,NL,96,245,229,36,69,17,2,8,38,3,1,13,39,0.301,0.34,0.498,0.838,119,114,3,1,1,1,0,879,,"$800,000"
17,kaplega01,Gabe Kapler,Right,6-2,190lb,2009,33,TBR,AL,99,238,205,26,49,15,1,8,32,5,2,29,39,0.239,0.32899999999999996,0.439,0.768,102,90,9,0,1,3,1,978/D,,"$1,000,018"
18,kaplega01,Gabe Kapler,Right,6-2,190lb,2010,34,TBR,AL,59,140,124,19,26,4,0,2,14,1,1,11,24,0.21,0.28800000000000003,0.29,0.578,62,36,3,3,1,1,0,97/D8,,"$1,054,000"
19,karkoro01,Ron Karkovice,Right,6-1,210lb,1986,22,CHW,AL,37,109,97,13,24,7,0,4,13,1,0,9,37,0.247,0.315,0.44299999999999995,0.758,101,43,3,1,1,1,0,2,,"$60,000"
20,karkoro01,Ron Karkovice,Right,6-1,210lb,1987,23,CHW,AL,39,95,85,7,6,0,0,2,7,3,0,7,40,0.071,0.16,0.141,0.301,-20,12,2,2,1,0,0,2/D,,"$625,000"
21,karkoro01,Ron Karkovice,Right,6-1,210lb,1989,25,CHW,AL,71,203,182,21,48,9,2,3,24,0,0,10,56,0.264,0.306,0.385,0.691,97,70,0,2,7,2,0,2/D,,"$106,000"
22,karkoro01,Ron Karkovice,Right,6-1,210lb,1990,26,CHW,AL,68,208,183,30,45,10,0,6,20,2,0,16,52,0.24600000000000002,0.308,0.39899999999999997,0.7070000000000001,99,73,1,1,7,1,1,2/D,,"$108,000"
23,karkoro01,Ron Karkovice,Right,6-1,210lb,1991,27,CHW,AL,75,193,167,25,41,13,0,5,22,0,0,15,42,0.24600000000000002,0.31,0.413,0.723,101,69,2,1,9,1,1,2/7,,"$310,000"
24,karkoro01,Ron Karkovice,Right,6-1,210lb,1992,28,CHW,AL,123,381,342,39,81,12,1,13,50,10,4,30,89,0.237,0.302,0.392,0.6940000000000001,95,134,3,3,4,2,1,*2/9,,"$650,000"
25,karkoro01,Ron Karkovice,Right,6-1,210lb,1993,29,CHW,AL,128,453,403,60,92,17,1,20,54,2,2,29,126,0.228,0.287,0.424,0.7120000000000001,91,171,12,6,11,4,1,*2,,"$1,566,667"
26,karkoro01,Ron Karkovice,Right,6-1,210lb,1994,30,CHW,AL,77,248,207,33,44,9,1,11,29,0,3,36,68,0.213,0.325,0.425,0.75,94,88,0,0,2,3,2,*2,,"$1,429,167"
27,karkoro01,Ron Karkovice,Right,6-1,210lb,1995,31,CHW,AL,113,382,323,44,70,14,1,13,51,2,3,39,84,0.217,0.306,0.387,0.693,83,125,5,5,9,6,0,*2,,"$1,773,615"
28,karkoro01,Ron Karkovice,Right,6-1,210lb,1996,32,CHW,AL,111,389,355,44,78,22,0,10,38,0,0,24,93,0.22,0.27,0.366,0.636,63,130,7,1,7,2,2,*2,,"$2,225,000"
29,karkoro01,Ron Karkovice,Right,6-1,210lb,1997,33,CHW,AL,51,161,138,10,25,3,0,6,18,0,0,11,32,0.18100000000000002,0.248,0.33299999999999996,0.5820000000000001,53,46,3,3,4,5,0,2,,"$1,500,000"
30,karroer01,Eric Karros,Right,6-4,205lb,1992,24,LAD,NL,149,589,545,63,140,30,1,20,88,2,4,37,103,0.257,0.304,0.426,0.73,106,232,15,2,0,5,3,*3,RoY-1,"$124,000"
31,karroer01,Eric Karros,Right,6-4,205lb,1993,25,LAD,NL,158,658,619,74,153,27,2,23,80,0,1,34,82,0.247,0.287,0.409,0.696,89,253,17,2,0,3,1,*3,,"$435,000"
32,karroer01,Eric Karros,Right,6-4,205lb,1994,26,LAD,NL,111,448,406,51,108,21,1,14,46,2,0,29,53,0.266,0.31,0.426,0.736,95,173,13,2,0,11,1,*3,,"$650,000"
33,karroer01,Eric Karros,Right,6-4,205lb,1995,27,LAD,NL,143,620,551,83,164,29,3,32,105,4,4,61,115,0.298,0.369,0.535,0.905,145,295,14,4,0,4,4,*3,"MVP-5,SS","$2,350,000"
34,karroer01,Eric Karros,Right,6-4,205lb,1996,28,LAD,NL,154,670,608,84,158,29,1,34,111,8,0,53,121,0.26,0.316,0.479,0.795,113,291,27,1,0,8,2,*3,MVP-16,"$3,150,000"
35,karroer01,Eric Karros,Right,6-4,205lb,1997,29,LAD,NL,162,700,628,86,167,28,0,31,104,15,7,61,116,0.266,0.32899999999999996,0.45899999999999996,0.787,110,288,10,2,0,9,2,*3,,"$4,500,000"
36,karroer01,Eric Karros,Right,6-4,205lb,1998,30,LAD,NL,139,564,507,59,150,20,1,23,87,7,2,47,93,0.29600000000000004,0.355,0.475,0.83,121,241,7,3,0,7,1,*3/D,,"$4,500,000"
37,karroer01,Eric Karros,Right,6-4,205lb,1999,31,LAD,NL,153,639,578,74,176,40,0,34,112,8,5,53,119,0.304,0.36200000000000004,0.55,0.912,133,318,18,2,0,6,0,*3,,"$5,500,000"
38,karroer01,Eric Karros,Right,6-4,205lb,2000,32,LAD,NL,155,663,584,84,146,29,0,31,106,4,3,63,122,0.25,0.321,0.45899999999999996,0.78,99,268,18,4,0,12,2,*3/D,,"$5,375,000"
39,karroer01,Eric Karros,Right,6-4,205lb,2001,33,LAD,NL,121,485,438,42,103,22,0,15,63,3,1,41,101,0.235,0.303,0.38799999999999996,0.691,84,170,15,3,0,3,2,*3,,"$7,500,000"
40,karroer01,Eric Karros,Right,6-4,205lb,2002,34,LAD,NL,142,573,524,52,142,26,1,13,73,4,2,37,74,0.271,0.32299999999999995,0.39899999999999997,0.722,96,209,11,6,0,6,1,*3,,"$6,875,000"
41,karroer01,Eric Karros,Right,6-4,205lb,2003,35,CHC,NL,114,365,336,37,96,16,1,12,40,1,1,28,46,0.28600000000000003,0.34,0.446,0.7859999999999999,103,150,14,0,0,1,1,3,,"$8,375,000"
42,karroer01,Eric Karros,Right,6-4,205lb,2004,36,OAK,AL,40,111,103,8,20,6,0,2,11,1,0,7,16,0.19399999999999998,0.243,0.311,0.5539999999999999,44,32,2,0,0,1,1,3D,,"$550,000"
43,katama01,Matt Kata,Both,6-1,185lb,2004,26,ARI,NL,42,178,162,17,40,9,2,2,13,4,1,13,29,0.247,0.301,0.364,0.665,68,59,1,0,1,1,2,4/56,,"$315,000"
44,katama01,Matt Kata,Both,6-1,185lb,2005,27,TOT,NL,40,44,37,7,7,2,1,0,0,0,1,5,6,0.18899999999999997,0.28600000000000003,0.297,0.583,52,11,0,0,2,0,0,4/D96,,"$330,000"
45,katama01,Matt Kata,Both,6-1,185lb,2005,27,ARI,NL,30,38,31,6,6,2,1,0,0,0,1,5,4,0.19399999999999998,0.306,0.32299999999999995,0.628,64,10,0,0,2,0,0,/4D,,"$330,000"
46,katama01,Matt Kata,Both,6-1,185lb,2005,27,PHI,NL,10,6,6,1,1,0,0,0,0,0,0,0,2,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33299999999999996,-14,1,0,0,0,0,0,/496,,"$330,000"
47,katama01,Matt Kata,Both,6-1,185lb,2007,29,TOT,MLB,78,167,158,21,35,9,1,3,16,1,0,5,33,0.222,0.255,0.348,0.603,56,55,3,2,2,0,0,547/63D9,,"$415,000"
48,katama01,Matt Kata,Both,6-1,185lb,2007,29,TEX,AL,31,77,70,12,13,2,0,2,6,1,0,5,18,0.18600000000000003,0.25,0.3,0.55,44,21,0,1,1,0,0,7/563D4,,"$415,000"
49,katama01,Matt Kata,Both,6-1,185lb,2007,29,PIT,NL,47,90,88,9,22,7,1,1,10,0,0,0,15,0.25,0.258,0.386,0.645,66,34,3,1,1,0,0,45/679,,"$415,000"
50,kawasmu01,Munenori Kawasaki,Left,5-11,175lb,2012,31,SEA,AL,61,115,104,13,20,1,0,0,7,2,2,8,18,0.192,0.257,0.20199999999999999,0.45899999999999996,34,21,2,1,2,0,0,64/D5,,"$625,000"
51,kearnau01,Austin Kearns,Right,6-3,240lb,2003,23,CIN,NL,82,338,292,39,77,11,0,15,58,5,2,41,68,0.264,0.364,0.455,0.8190000000000001,117,133,7,5,0,0,1,98,,"$350,000"
52,kearnau01,Austin Kearns,Right,6-3,240lb,2004,24,CIN,NL,64,246,217,28,50,10,2,9,32,2,1,28,71,0.23,0.321,0.419,0.74,92,91,8,1,0,0,0,9/8,,"$400,000"
53,kearnau01,Austin Kearns,Right,6-3,240lb,2005,25,CIN,NL,112,448,387,62,93,26,1,18,67,0,0,48,107,0.24,0.33299999999999996,0.452,0.785,104,175,8,8,0,5,2,9/8,,"$930,000"
54,kearnau01,Austin Kearns,Right,6-3,240lb,2006,26,TOT,NL,150,629,537,86,142,33,2,24,86,9,4,76,135,0.264,0.363,0.467,0.83,112,251,18,10,1,5,4,*9/8,,"$1,850,000"
55,kearnau01,Austin Kearns,Right,6-3,240lb,2006,26,CIN,NL,87,368,325,53,89,21,1,16,50,7,1,35,85,0.27399999999999997,0.35100000000000003,0.49200000000000005,0.843,110,160,14,5,0,3,2,9,,"$1,850,000"
56,kearnau01,Austin Kearns,Right,6-3,240lb,2006,26,WSN,NL,63,261,212,33,53,12,1,8,36,2,3,41,50,0.25,0.381,0.429,0.81,114,91,4,5,1,2,2,9/8,,"$1,850,000"
57,kearnau01,Austin Kearns,Right,6-3,240lb,2007,27,WSN,NL,161,674,587,84,156,35,1,16,74,2,2,71,106,0.266,0.355,0.41100000000000003,0.765,103,241,13,12,0,4,5,*9/8,,"$3,500,000"
58,kearnau01,Austin Kearns,Right,6-3,240lb,2008,28,WSN,NL,86,357,313,40,68,10,0,7,32,2,2,35,63,0.217,0.311,0.316,0.627,67,99,11,8,0,1,0,9,,"$5,000,000"
59,kearnau01,Austin Kearns,Right,6-3,240lb,2009,29,WSN,NL,80,211,174,20,34,6,2,3,17,1,1,32,51,0.195,0.336,0.305,0.6409999999999999,72,53,12,5,0,0,1,9/8,,"$8,000,000"
60,kearnau01,Austin Kearns,Right,6-3,240lb,2010,30,TOT,AL,120,461,403,55,106,21,1,10,49,4,1,46,116,0.263,0.35100000000000003,0.395,0.746,107,159,16,10,0,2,2,*79/8D,,"$750,000"
61,kearnau01,Austin Kearns,Right,6-3,240lb,2010,30,CLE,AL,84,342,301,42,82,18,1,8,42,4,1,34,78,0.272,0.354,0.419,0.772,116,126,12,5,0,2,2,79/8,,"$750,000"
