,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,nadyxa01,Xavier Nady,Right,6-2,215lb,2003,24,SDP,NL,110,404,371,50,99,17,1,9,39,6,2,24,74,0.267,0.321,0.391,0.7120000000000001,92,145,14,6,2,1,0,9,,"$750,000"
1,nadyxa01,Xavier Nady,Right,6-2,215lb,2005,26,SDP,NL,124,356,326,40,85,15,2,13,43,2,1,22,67,0.261,0.321,0.439,0.76,105,143,5,7,1,0,1,3879/5D,,"$488,000"
2,nadyxa01,Xavier Nady,Right,6-2,215lb,2006,27,TOT,NL,130,512,468,57,131,28,1,17,63,3,3,30,85,0.28,0.337,0.45299999999999996,0.79,102,212,12,11,2,1,7,93,,"$427,000"
3,nadyxa01,Xavier Nady,Right,6-2,215lb,2006,27,NYM,NL,75,292,265,37,70,15,1,14,40,2,1,19,51,0.264,0.326,0.48700000000000004,0.813,107,129,7,6,1,1,4,9/3,,"$427,000"
4,nadyxa01,Xavier Nady,Right,6-2,215lb,2006,27,PIT,NL,55,220,203,20,61,13,0,3,23,1,2,11,34,0.3,0.35200000000000004,0.409,0.76,97,83,5,5,1,0,3,39,,"$427,000"
5,nadyxa01,Xavier Nady,Right,6-2,215lb,2007,28,PIT,NL,125,470,431,55,120,23,1,20,72,3,1,23,101,0.278,0.33,0.47600000000000003,0.805,108,205,16,12,0,4,2,*987/D,,"$2,150,000"
6,nadyxa01,Xavier Nady,Right,6-2,215lb,2008,29,TOT,MLB,148,607,555,76,169,37,1,25,97,2,1,39,103,0.305,0.35700000000000004,0.51,0.867,127,283,14,9,0,4,2,*97/D3,,"$3,350,000"
7,nadyxa01,Xavier Nady,Right,6-2,215lb,2008,29,PIT,NL,89,360,327,50,108,26,1,13,57,1,0,25,55,0.33,0.38299999999999995,0.535,0.919,143,175,9,5,0,3,1,9/D,,"$3,350,000"
8,nadyxa01,Xavier Nady,Right,6-2,215lb,2008,29,NYY,AL,59,247,228,26,61,11,0,12,40,1,1,14,48,0.268,0.32,0.474,0.794,105,108,5,4,0,1,1,7/D93,,"$3,350,000"
9,nadyxa01,Xavier Nady,Right,6-2,215lb,2009,30,NYY,AL,7,29,28,4,8,4,0,0,2,0,0,1,6,0.28600000000000003,0.31,0.429,0.7390000000000001,88,12,2,0,0,0,0,/9D,,"$6,550,000"
10,nadyxa01,Xavier Nady,Right,6-2,215lb,2010,31,CHC,NL,119,347,317,33,81,13,0,6,33,0,0,17,85,0.256,0.306,0.353,0.66,75,112,12,8,1,4,0,39/7D,,"$3,300,000"
11,nadyxa01,Xavier Nady,Right,6-2,215lb,2011,32,ARI,NL,82,223,206,26,51,11,0,4,35,2,0,10,46,0.248,0.287,0.359,0.6459999999999999,75,74,4,3,0,4,1,37,,"$1,750,000"
12,nadyxa01,Xavier Nady,Right,6-2,215lb,2012,33,TOT,NL,59,166,152,12,28,6,1,4,13,1,0,13,37,0.184,0.253,0.316,0.569,56,48,8,1,0,0,2,79,,"$700,000"
13,nadyxa01,Xavier Nady,Right,6-2,215lb,2012,33,WSN,NL,40,109,102,6,16,3,0,3,6,1,0,7,24,0.157,0.21100000000000002,0.275,0.486,30,28,3,0,0,0,2,79,,"$700,000"
14,nadyxa01,Xavier Nady,Right,6-2,215lb,2012,33,SFG,NL,19,57,50,6,12,3,1,1,7,0,0,6,13,0.24,0.33299999999999996,0.4,0.733,109,20,5,1,0,0,0,7,,"$700,000"
15,nadyxa01,Xavier Nady,Right,6-2,215lb,2014,35,SDP,NL,22,42,37,4,5,1,0,3,4,0,0,5,9,0.135,0.23800000000000002,0.405,0.644,83,15,4,0,0,0,0,/973,,"$775,000"
16,naehrti01,Tim Naehring,Right,6-2,190lb,1990,23,BOS,AL,24,93,85,10,23,6,0,2,12,0,0,8,15,0.271,0.33299999999999996,0.41200000000000003,0.745,105,35,2,0,0,0,1,6/54,,"$100,000"
17,naehrti01,Tim Naehring,Right,6-2,190lb,1991,24,BOS,AL,20,65,55,1,6,1,0,0,3,0,0,6,15,0.109,0.19699999999999998,0.127,0.324,-10,7,0,0,4,0,0,6/54,,"$125,000"
18,naehrti01,Tim Naehring,Right,6-2,190lb,1992,25,BOS,AL,72,214,186,12,43,8,0,3,14,0,0,18,31,0.231,0.308,0.32299999999999995,0.63,73,60,1,3,6,1,0,645/D7,,"$145,000"
19,naehrti01,Tim Naehring,Right,6-2,190lb,1993,26,BOS,AL,39,141,127,14,42,10,0,1,17,1,0,10,26,0.331,0.377,0.433,0.81,113,55,3,0,3,1,0,4D/56,,"$200,000"
20,naehrti01,Tim Naehring,Right,6-2,190lb,1994,27,BOS,AL,80,339,297,41,82,18,1,7,42,1,3,30,56,0.276,0.349,0.414,0.764,94,123,11,4,7,1,1,45/36D,,"$300,000"
21,naehrti01,Tim Naehring,Right,6-2,190lb,1995,28,BOS,AL,126,520,433,61,133,27,2,10,57,0,2,77,66,0.307,0.415,0.44799999999999995,0.863,123,194,16,4,4,2,5,*5/D,,"$642,500"
22,naehrti01,Tim Naehring,Right,6-2,190lb,1996,29,BOS,AL,116,489,430,77,124,16,0,17,65,2,1,49,63,0.28800000000000003,0.363,0.444,0.8079999999999999,103,191,14,4,2,4,4,*5/4,,"$1,200,000"
23,naehrti01,Tim Naehring,Right,6-2,190lb,1997,30,BOS,AL,70,301,259,38,74,18,1,9,40,1,1,38,40,0.28600000000000003,0.375,0.467,0.843,117,121,10,1,0,3,0,5/D,,"$2,700,000"
24,napolmi01,Mike Napoli,Right,6-1,225lb,2007,25,LAA,AL,75,263,219,40,54,11,1,10,34,5,2,33,63,0.247,0.35100000000000003,0.44299999999999995,0.794,107,97,5,5,1,5,2,2,,"$395,000"
25,napolmi01,Mike Napoli,Right,6-1,225lb,2008,26,LAA,AL,78,274,227,39,62,9,1,20,49,7,3,35,70,0.273,0.374,0.586,0.96,148,133,3,5,1,6,5,2,,"$425,000"
26,napolmi01,Mike Napoli,Right,6-1,225lb,2009,27,LAA,AL,114,432,382,60,104,22,1,20,56,3,3,40,103,0.272,0.35,0.49200000000000005,0.8420000000000001,120,188,6,7,0,3,1,2D,,"$2,000,000"
27,napolmi01,Mike Napoli,Right,6-1,225lb,2010,28,LAA,AL,140,510,453,60,108,24,1,26,68,4,2,42,137,0.23800000000000002,0.316,0.46799999999999997,0.784,115,212,15,11,0,4,2,32/D,,"$3,600,000"
28,napolmi01,Mike Napoli,Right,6-1,225lb,2011,29,TEX,AL,113,432,369,72,118,25,0,30,75,4,2,58,85,0.32,0.414,0.631,1.046,173,233,10,3,0,2,2,23D,,"$5,800,000"
29,napolmi01,Mike Napoli,Right,6-1,225lb,2012,30,TEX,AL,108,417,352,53,80,9,2,24,56,1,0,56,125,0.22699999999999998,0.34299999999999997,0.469,0.812,113,165,9,7,0,2,5,23/D,AS,"$9,400,000"
30,napolmi01,Mike Napoli,Right,6-1,225lb,2013,31,BOS,AL,139,578,498,79,129,38,2,23,92,1,1,73,187,0.259,0.36,0.48200000000000004,0.8420000000000001,128,240,15,6,0,1,3,*3/D,,"$13,000,000"
31,napolmi01,Mike Napoli,Right,6-1,225lb,2014,32,BOS,AL,119,500,415,49,103,20,0,17,55,3,2,78,133,0.248,0.37,0.419,0.789,120,174,12,4,0,3,3,*3/D,,"$16,000,000"
32,napolmi01,Mike Napoli,Right,6-1,225lb,2015,33,TOT,AL,133,469,407,46,91,20,1,18,50,3,3,57,118,0.22399999999999998,0.324,0.41,0.7340000000000001,96,167,11,4,0,1,3,*37/D,,"$16,000,000"
33,napolmi01,Mike Napoli,Right,6-1,225lb,2015,33,BOS,AL,98,378,329,37,68,18,1,13,40,3,1,45,99,0.207,0.307,0.386,0.693,84,127,10,3,0,1,2,3/D,,"$16,000,000"
34,napolmi01,Mike Napoli,Right,6-1,225lb,2015,33,TEX,AL,35,91,78,9,23,2,0,5,10,0,2,12,19,0.295,0.396,0.513,0.9079999999999999,143,40,1,1,0,0,1,37/D,,"$16,000,000"
35,napolmi01,Mike Napoli,Right,6-1,225lb,2016,34,CLE,AL,150,645,557,92,133,22,1,34,101,5,1,78,194,0.239,0.335,0.465,0.8,106,259,15,5,0,5,2,3D,,"$7,000,000"
36,napolmi01,Mike Napoli,Right,6-1,225lb,2017,35,TEX,AL,124,485,425,60,82,11,1,29,66,1,2,49,163,0.193,0.285,0.428,0.713,82,182,11,7,0,3,3,3D,,"$6,000,000"
37,naquity01,Tyler Naquin,Left,6-2,195lb,2016,25,CLE,AL,116,365,321,52,95,18,5,14,43,6,3,36,112,0.29600000000000004,0.37200000000000005,0.514,0.8859999999999999,128,165,4,4,2,2,4,*8/9D,RoY-3,"$507,500"
38,naquity01,Tyler Naquin,Left,6-2,195lb,2017,26,CLE,AL,19,40,37,4,8,2,0,0,1,0,1,2,9,0.21600000000000003,0.25,0.27,0.52,37,10,1,0,0,1,0,8/9,,"$564,800"
39,narroje01,Jerry Narron,Left,6-3,205lb,1986,30,CAL,AL,57,107,95,5,21,3,1,1,8,0,0,9,14,0.221,0.292,0.305,0.598,64,29,5,1,1,1,0,2/D,,"$142,000"
40,narroje01,Jerry Narron,Left,6-3,205lb,1987,31,SEA,AL,4,8,8,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,/2,,"$62,500"
41,narvaom01,Omar Narvaez,Left,5-11,215lb,2017,25,CHW,AL,90,295,253,23,70,10,0,2,14,0,0,38,45,0.27699999999999997,0.373,0.34,0.713,96,86,8,1,3,0,1,2/3D,,"$540,000"
42,natalro01,Rob Natal,Right,5-11,190lb,1993,27,FLA,NL,41,131,117,3,25,4,1,1,6,1,0,6,22,0.214,0.273,0.29100000000000004,0.564,49,34,6,4,3,1,0,2,,"$118,000"
43,natalro01,Rob Natal,Right,5-11,190lb,1994,28,FLA,NL,10,34,29,2,8,2,0,0,2,1,0,5,5,0.276,0.382,0.345,0.727,91,10,1,0,0,0,0,/2,,"$147,500"
