,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,quentca01,Carlos Quentin,Right,6-1,235lb,2007,24,ARI,NL,81,263,229,29,49,16,0,5,31,2,2,18,54,0.214,0.298,0.349,0.647,63,80,5,11,1,4,1,9/7,,"$381,000"
1,quentca01,Carlos Quentin,Right,6-1,235lb,2008,25,CHW,AL,130,569,480,96,138,26,1,36,100,7,3,66,80,0.28800000000000003,0.39399999999999996,0.5710000000000001,0.965,149,274,16,20,0,3,0,*7,"AS,MVP-5,SS","$400,000"
2,quentca01,Carlos Quentin,Right,6-1,235lb,2009,26,CHW,AL,99,399,351,47,83,14,0,21,56,3,0,31,52,0.23600000000000002,0.32299999999999995,0.456,0.779,98,160,11,15,0,2,2,7/D,,"$550,000"
3,quentca01,Carlos Quentin,Right,6-1,235lb,2010,27,CHW,AL,131,527,453,73,110,25,2,26,87,2,2,50,83,0.243,0.342,0.479,0.821,119,217,16,20,0,4,3,9D,,"$3,200,000"
4,quentca01,Carlos Quentin,Right,6-1,235lb,2011,28,CHW,AL,118,483,421,53,107,31,0,24,77,1,1,34,84,0.254,0.34,0.499,0.838,122,210,7,23,0,5,0,9D,AS,"$5,050,000"
5,quentca01,Carlos Quentin,Right,6-1,235lb,2012,29,SDP,NL,86,340,284,44,74,21,0,16,46,0,1,36,41,0.261,0.374,0.504,0.877,146,143,6,17,0,3,2,7/D9,,"$7,025,000"
6,quentca01,Carlos Quentin,Right,6-1,235lb,2013,30,SDP,NL,82,320,276,42,76,21,0,13,44,0,0,31,55,0.275,0.363,0.493,0.855,145,136,7,9,0,4,0,7/D,,"$9,500,000"
7,quentca01,Carlos Quentin,Right,6-1,235lb,2014,31,SDP,NL,50,155,130,9,23,6,0,4,18,0,0,17,33,0.177,0.284,0.315,0.599,74,41,5,4,0,4,0,7/D,,"$9,500,000"
8,quinlro01,Robb Quinlan,Right,6-1,200lb,2005,28,LAA,AL,54,143,134,17,31,8,0,5,14,0,1,7,26,0.231,0.273,0.40299999999999997,0.6759999999999999,79,54,4,1,0,1,0,5/37,,"$360,000"
9,quinlro01,Robb Quinlan,Right,6-1,200lb,2006,29,LAA,AL,86,244,234,28,75,11,1,9,32,2,1,7,28,0.321,0.344,0.491,0.836,113,115,6,2,0,1,1,357/9D,,"$365,000"
10,quinlro01,Robb Quinlan,Right,6-1,200lb,2007,30,LAA,AL,79,194,178,21,44,9,0,3,21,3,2,14,27,0.247,0.304,0.348,0.652,71,62,6,1,0,1,1,375/D9,,"$800,000"
11,quinlro01,Robb Quinlan,Right,6-1,200lb,2008,31,LAA,AL,68,181,164,15,43,1,2,1,11,4,2,14,28,0.262,0.326,0.311,0.637,69,51,5,2,0,1,0,53/D79,,"$1,050,000"
12,quinlro01,Robb Quinlan,Right,6-1,200lb,2009,32,LAA,AL,54,120,115,13,28,5,0,2,14,1,1,5,30,0.243,0.275,0.33899999999999997,0.614,61,39,3,0,0,0,0,37/59D,,"$1,100,000"
13,quinlto01,Tom Quinlan,Right,6-3,200lb,1990,22,TOR,AL,1,3,2,0,1,0,0,0,0,0,0,0,1,0.5,0.667,0.5,1.167,225,1,0,1,0,0,0,/5,,"$100,000"
14,quinlto01,Tom Quinlan,Right,6-3,200lb,1996,28,MIN,AL,4,6,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,/5,,"$125,000"
15,quinnma01,Mark Quinn,Right,6-1,175lb,1999,25,KCR,AL,17,65,60,11,20,4,1,6,18,1,0,4,11,0.33299999999999996,0.385,0.733,1.1179999999999999,176,44,1,1,0,0,0,7/D9,,"$200,000"
16,quinnma01,Mark Quinn,Right,6-1,175lb,2000,26,KCR,AL,135,544,500,76,147,33,2,20,78,5,2,35,91,0.294,0.342,0.488,0.83,105,244,11,3,3,3,1,7D/98,RoY-3,"$205,000"
17,quinnma01,Mark Quinn,Right,6-1,175lb,2001,27,KCR,AL,118,473,453,57,122,31,2,17,60,9,5,12,69,0.26899999999999996,0.298,0.45899999999999996,0.757,91,208,16,7,0,1,1,97D,,"$280,000"
18,quinnma01,Mark Quinn,Right,6-1,175lb,2002,28,KCR,AL,23,84,76,9,18,4,0,2,11,2,1,5,15,0.237,0.301,0.368,0.67,71,28,3,2,1,0,0,9/D,,"$375,000"
19,quinolu01,Luis Quinones,Both,5-11,165lb,1986,24,SFG,NL,71,115,106,13,19,1,3,0,11,3,1,3,17,0.179,0.207,0.245,0.452,27,26,1,1,4,1,1,65/4,,"$65,000"
20,quinolu01,Luis Quinones,Both,5-11,165lb,1987,25,CHC,NL,49,111,101,12,22,6,0,0,8,0,0,10,16,0.218,0.28800000000000003,0.27699999999999997,0.5660000000000001,49,28,0,0,0,0,0,6/45,,"$68,000"
21,quinolu01,Luis Quinones,Both,5-11,165lb,1988,26,CIN,NL,23,57,52,4,12,3,0,1,11,1,1,2,11,0.231,0.255,0.34600000000000003,0.601,69,18,0,0,2,1,1,6/45,,"$74,000"
22,quinolu01,Luis Quinones,Both,5-11,165lb,1989,27,CIN,NL,97,378,340,43,83,13,4,12,34,2,4,25,46,0.244,0.3,0.41200000000000003,0.7120000000000001,99,140,3,3,8,2,0,45/6,,"$85,000"
23,quinolu01,Luis Quinones,Both,5-11,165lb,1990,28,CIN,NL,83,164,145,10,35,7,0,2,17,1,0,13,29,0.24100000000000002,0.301,0.331,0.632,71,48,3,1,1,4,3,54/63,,"$150,000"
24,quinolu01,Luis Quinones,Both,5-11,165lb,1991,29,CIN,NL,97,237,212,15,47,4,3,4,20,1,2,21,31,0.222,0.297,0.325,0.622,73,69,2,2,1,1,3,45/6,,"$300,000"
25,quinore01,Rey Quinones,Right,5-11,160lb,1986,22,TOT,AL,98,346,312,32,68,16,1,2,22,4,3,24,57,0.218,0.27899999999999997,0.295,0.573,57,92,7,3,5,2,0,6,,"$60,000"
26,quinore01,Rey Quinones,Right,5-11,160lb,1986,22,BOS,AL,62,215,190,26,45,12,1,2,15,3,2,19,26,0.237,0.315,0.342,0.657,79,65,7,3,2,1,0,6,,"$60,000"
27,quinore01,Rey Quinones,Right,5-11,160lb,1986,22,SEA,AL,36,131,122,6,23,4,0,0,7,1,1,5,31,0.18899999999999997,0.21899999999999997,0.221,0.44,21,27,0,0,3,1,0,6,,"$60,000"
28,quinore01,Rey Quinones,Right,5-11,160lb,1987,23,SEA,AL,135,517,478,55,132,18,2,12,56,1,3,26,71,0.276,0.317,0.397,0.715,85,190,14,4,6,3,0,*6,,"$85,000"
29,quinore01,Rey Quinones,Right,5-11,160lb,1988,24,SEA,AL,140,530,499,63,124,30,3,12,52,0,3,23,71,0.248,0.284,0.39299999999999996,0.677,85,196,12,3,2,3,1,*6/D,,"$120,000"
30,quinore01,Rey Quinones,Right,5-11,160lb,1989,25,TOT,MLB,78,275,244,23,49,11,0,3,29,0,2,16,41,0.201,0.245,0.28300000000000003,0.528,53,69,5,1,6,8,2,6,,"$215,000"
31,quinore01,Rey Quinones,Right,5-11,160lb,1989,25,SEA,AL,7,22,19,2,2,0,0,0,0,0,0,1,1,0.105,0.15,0.105,0.255,-27,2,0,0,2,0,0,/6,,"$215,000"
32,quinore01,Rey Quinones,Right,5-11,160lb,1989,25,PIT,NL,71,253,225,21,47,11,0,3,29,0,2,15,40,0.209,0.253,0.298,0.551,60,67,5,1,4,8,2,6,,"$215,000"
33,quintca01,Carlos Quintana,Right,6-0,175lb,1989,23,BOS,AL,34,84,77,6,16,5,0,0,6,0,0,7,12,0.20800000000000002,0.27399999999999997,0.273,0.547,51,21,5,0,0,0,0,9/D738,,"$71,000"
34,quintca01,Carlos Quintana,Right,6-0,175lb,1990,24,BOS,AL,149,572,512,56,147,28,0,7,67,1,2,52,74,0.287,0.354,0.38299999999999995,0.737,103,196,19,2,4,2,0,*3/9,,"$130,000"
35,quintca01,Carlos Quintana,Right,6-0,175lb,1991,25,BOS,AL,149,550,478,69,141,21,1,11,71,1,0,61,66,0.295,0.375,0.41200000000000003,0.787,114,197,17,2,6,3,2,*39/D7,,"$305,000"
36,quintca01,Carlos Quintana,Right,6-0,175lb,1993,27,BOS,AL,101,343,303,31,74,5,0,1,19,1,0,31,52,0.244,0.317,0.271,0.5870000000000001,56,82,13,2,5,2,2,39/7,,"$340,000"
37,quinthu01,Humberto Quintero,Right,5-10,215lb,2007,27,HOU,NL,29,57,53,2,12,2,0,0,1,0,0,2,13,0.226,0.281,0.264,0.545,43,14,2,2,0,0,1,2,,"$385,000"
38,quinthu01,Humberto Quintero,Right,5-10,215lb,2008,28,HOU,NL,59,183,168,16,38,6,0,2,12,0,0,6,34,0.226,0.27,0.298,0.5670000000000001,51,50,5,4,5,0,0,2,,"$405,000"
39,quinthu01,Humberto Quintero,Right,5-10,215lb,2009,29,HOU,NL,60,168,157,11,37,8,1,4,14,0,0,7,41,0.23600000000000002,0.28600000000000003,0.376,0.662,75,59,8,4,0,0,1,2,,"$610,000"
