,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,raabebr01,Brian Raabe,Right,5-9,170lb,1997,29,TOT,MLB,4,8,6,0,1,0,0,0,0,0,0,1,3,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.452,19,1,0,0,1,0,0,/45,,"$160,000"
1,raabebr01,Brian Raabe,Right,5-9,170lb,1997,29,SEA,AL,2,4,3,0,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,-26,0,0,0,0,0,0,/54,,"$160,000"
2,raabebr01,Brian Raabe,Right,5-9,170lb,1997,29,COL,NL,2,4,3,0,1,0,0,0,0,0,0,0,1,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667,62,1,0,0,1,0,0,/4,,"$160,000"
3,rabbjo01,John Rabb,Right,6-1,180lb,1988,28,SEA,AL,9,14,14,2,5,2,0,0,4,0,0,0,1,0.35700000000000004,0.35700000000000004,0.5,0.857,134,7,0,0,0,0,0,/D93,,"$80,000"
4,rabelmi01,Mike Rabelo,Both,6-1,200lb,2007,27,DET,AL,51,185,168,14,43,10,2,1,18,0,0,6,41,0.256,0.3,0.35700000000000004,0.657,71,60,4,5,5,1,0,2/D,,"$380,000"
5,rabelmi01,Mike Rabelo,Both,6-1,200lb,2008,28,FLA,NL,34,122,109,9,22,1,0,3,10,0,1,8,25,0.20199999999999999,0.256,0.294,0.55,44,32,1,1,1,3,0,2,,"$390,000"
6,raburry01,Ryan Raburn,Right,6-0,185lb,2008,27,DET,AL,92,199,182,26,43,10,1,4,20,3,1,16,49,0.23600000000000002,0.298,0.368,0.6659999999999999,75,67,2,0,1,0,1,7954/8D,,"$396,000"
7,raburry01,Ryan Raburn,Right,6-0,185lb,2009,28,DET,AL,113,291,261,44,76,11,2,16,45,5,4,26,60,0.29100000000000004,0.359,0.5329999999999999,0.8909999999999999,130,139,6,2,1,1,2,793/85D,,"$410,000"
8,raburry01,Ryan Raburn,Right,6-0,185lb,2010,29,DET,AL,113,410,371,54,104,25,1,15,62,2,2,27,92,0.28,0.34,0.474,0.8140000000000001,118,176,8,8,1,3,0,794/8D53,,"$438,000"
9,raburry01,Ryan Raburn,Right,6-0,185lb,2011,30,DET,AL,121,418,387,53,99,22,2,14,49,1,1,21,114,0.256,0.297,0.43200000000000005,0.7290000000000001,96,167,4,3,4,3,2,479/5D38,,"$1,300,000"
