,ID,NAME,BATS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,POS,AWARDS,SALARY
0,valaich01,Chris Valaika,Right,5-11,205lb,2013,27.0,MIA,NL,22,70.0,64.0,4.0,14.0,5.0,0.0,1.0,9.0,0.0,0.0,3.0,16.0,0.21899999999999997,0.261,0.344,0.605,65.0,22.0,2.0,1.0,1.0,1.0,0.0,/4653,,"$495,000"
1,valbulu01,Luis Valbuena,Left,5-10,215lb,2009,23.0,CLE,AL,103,398.0,368.0,52.0,92.0,25.0,3.0,10.0,31.0,2.0,3.0,26.0,83.0,0.25,0.298,0.41600000000000004,0.7140000000000001,90.0,153.0,8.0,0.0,2.0,2.0,0.0,46/5,,"$400,300"
2,valbulu01,Luis Valbuena,Left,5-10,215lb,2010,24.0,CLE,AL,91,310.0,275.0,22.0,53.0,12.0,0.0,2.0,24.0,1.0,2.0,28.0,61.0,0.193,0.273,0.258,0.531,50.0,71.0,5.0,3.0,2.0,2.0,1.0,4/56D7,,"$414,700"
3,valbulu01,Luis Valbuena,Left,5-10,215lb,2012,26.0,CHC,NL,90,303.0,265.0,26.0,58.0,20.0,0.0,4.0,28.0,0.0,2.0,36.0,55.0,0.21899999999999997,0.31,0.34,0.65,76.0,90.0,6.0,0.0,0.0,2.0,1.0,5/4,,"$495,200"
4,valbulu01,Luis Valbuena,Left,5-10,215lb,2013,27.0,CHC,NL,108,391.0,331.0,34.0,72.0,15.0,1.0,12.0,37.0,1.0,4.0,53.0,63.0,0.218,0.331,0.37799999999999995,0.708,95.0,125.0,4.0,4.0,1.0,2.0,4.0,5/4D7,,"$930,000"
5,valbulu01,Luis Valbuena,Left,5-10,215lb,2014,28.0,CHC,NL,149,547.0,478.0,68.0,119.0,33.0,4.0,16.0,51.0,1.0,2.0,65.0,113.0,0.249,0.341,0.435,0.7759999999999999,115.0,208.0,8.0,2.0,1.0,1.0,4.0,*54/D,,"$1,710,000"
6,valbulu01,Luis Valbuena,Left,5-10,215lb,2015,29.0,HOU,AL,132,493.0,434.0,62.0,97.0,18.0,0.0,25.0,56.0,1.0,0.0,50.0,106.0,0.22399999999999998,0.31,0.43799999999999994,0.748,106.0,190.0,13.0,6.0,0.0,3.0,1.0,53/D4,,"$4,200,000"
7,valbulu01,Luis Valbuena,Left,5-10,215lb,2016,30.0,HOU,AL,90,342.0,292.0,38.0,76.0,17.0,1.0,13.0,40.0,1.0,1.0,44.0,81.0,0.26,0.35700000000000004,0.45899999999999996,0.816,125.0,134.0,5.0,1.0,3.0,2.0,2.0,5/34,,"$6,125,000"
8,valbulu01,Luis Valbuena,Left,5-10,215lb,2017,31.0,LAA,AL,117,401.0,347.0,42.0,69.0,15.0,0.0,22.0,65.0,0.0,2.0,48.0,106.0,0.19899999999999998,0.294,0.43200000000000005,0.727,95.0,150.0,6.0,1.0,0.0,5.0,1.0,53/D,,"$6,500,000"
9,valdejo02,Jordany Valdespin,Left,6-0,190lb,2013,25.0,NYM,NL,66,144.0,133.0,16.0,25.0,3.0,1.0,4.0,16.0,4.0,3.0,8.0,28.0,0.188,0.25,0.316,0.5660000000000001,60.0,42.0,1.0,3.0,0.0,0.0,0.0,84/976,,"$496,645"
