,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,gabbaka01,Kason Gabbard,Left,6-3,200lb,2008,26,TEX,AL,2,3,0.4,4.82,12,12,0,0,0,0,56.0,64,36,30,5,39,4,33,1,0,4,263,93.0,5.26,1.839,10.3,0.8,6.3,5.3,0.85,,"$396,390"
1,gaettga01,Gary Gaetti,Right,6-0,180lb,1997,38,STL,NL,0,0,,0.0,1,0,1,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,3,,12.11,3.0,27.0,0.0,0.0,0.0,,,"$2,100,000"
2,gaettga01,Gary Gaetti,Right,6-0,180lb,1998,39,STL,NL,0,0,,0.0,1,0,1,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,5,,3.14,2.0,18.0,0.0,0.0,0.0,,,"$1,000,000"
3,gaettga01,Gary Gaetti,Right,6-0,180lb,1999,40,CHC,NL,0,0,,18.0,1,0,1,0,0,0,1.0,2,2,2,1,1,0,1,0,0,0,6,33.0,17.13,3.0,18.0,9.0,9.0,9.0,1.0,,"$2,000,000"
4,gagneer01,Eric Gagne,Right,6-2,195lb,2001,25,LAD,NL,6,7,0.462,4.75,33,24,3,0,0,0,151.2,144,90,80,24,46,1,130,16,1,3,649,84.0,4.62,1.253,8.5,1.4,2.7,7.7,2.83,,"$220,000"
5,gagneer01,Eric Gagne,Right,6-2,195lb,2002,26,LAD,NL,4,1,0.8,1.97,77,0,68,0,0,52,82.1,55,18,18,6,16,4,114,2,0,1,314,193.0,1.8,0.862,6.0,0.7,1.7,12.5,7.13,"AS,CYA-4,MVP-12","$300,000"
6,gagneer01,Eric Gagne,Right,6-2,195lb,2003,27,LAD,NL,2,3,0.4,1.2,77,0,67,0,0,55,82.1,37,12,11,2,20,2,137,3,0,2,306,337.0,0.86,0.6920000000000001,4.0,0.2,2.2,15.0,6.85,"AS,CYA-1,MVP-6","$550,000"
7,gagneer01,Eric Gagne,Right,6-2,195lb,2004,28,LAD,NL,7,3,0.7,2.19,70,0,59,0,0,45,82.1,53,24,20,5,22,3,114,5,0,2,326,188.0,2.05,0.9109999999999999,5.8,0.5,2.4,12.5,5.18,"AS,CYA-7,MVP-11","$5,000,000"
8,gagneer01,Eric Gagne,Right,6-2,195lb,2005,29,LAD,NL,1,0,1.0,2.7,14,0,13,0,0,8,13.1,10,4,4,2,3,0,22,0,0,3,53,156.0,2.35,0.975,6.8,1.4,2.0,14.9,7.33,,"$8,000,000"
9,gagneer01,Eric Gagne,Right,6-2,195lb,2006,30,LAD,NL,0,0,,0.0,2,0,2,0,0,1,2.0,0,0,0,0,1,0,3,1,0,0,8,,3.15,0.5,0.0,0.0,4.5,13.5,3.0,,"$10,000,000"
10,gagneer01,Eric Gagne,Right,6-2,195lb,2007,31,TOT,AL,4,2,0.667,3.81,54,0,41,0,0,16,52.0,49,22,22,3,21,0,51,1,0,1,222,123.0,3.3,1.3459999999999999,8.5,0.5,3.6,8.8,2.43,,"$6,000,000"
11,gagneer01,Eric Gagne,Right,6-2,195lb,2007,31,TEX,AL,2,0,1.0,2.16,34,0,30,0,0,16,33.1,23,8,8,2,12,0,29,1,0,1,133,213.0,3.45,1.05,6.2,0.5,3.2,7.8,2.42,,"$6,000,000"
