,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,kahnlto01,Tommy Kahnle,Right,6-1,235lb,2017,27,TOT,AL,2,4,0.33299999999999996,2.59,69,0,17,0,0,0,62.2,53,20,18,4,17,1,96,2,0,5,256,171.0,1.83,1.117,7.6,0.6,2.4,13.8,5.65,,"$535,000"
1,kahnlto01,Tommy Kahnle,Right,6-1,235lb,2017,27,CHW,AL,1,3,0.25,2.5,37,0,10,0,0,0,36.0,28,12,10,3,7,1,60,0,0,2,141,173.0,1.49,0.972,7.0,0.8,1.8,15.0,8.57,,"$535,000"
2,kahnlto01,Tommy Kahnle,Right,6-1,235lb,2017,27,NYY,AL,1,1,0.5,2.7,32,0,7,0,0,0,26.2,25,8,8,1,10,0,36,2,0,3,115,169.0,2.3,1.3130000000000002,8.4,0.3,3.4,12.2,3.6,,"$535,000"
3,kaiseje01,Jeff Kaiser,Left,6-3,195lb,1990,29,CLE,AL,0,0,,3.55,5,0,0,0,0,0,12.2,16,5,5,2,7,1,9,0,0,0,60,114.0,5.1,1.8159999999999998,11.4,1.4,5.0,6.4,1.29,,"$110,000"
4,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,1992,28,NYY,AL,6,14,0.3,4.36,28,28,0,4,0,0,188.0,193,100,91,13,74,9,88,5,1,9,804,90.0,4.01,1.42,9.2,0.6,3.5,4.2,1.19,,"$120,000"
5,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,1993,29,NYY,AL,10,7,0.588,4.08,30,20,4,2,0,1,154.1,163,73,70,17,59,7,72,3,0,2,659,102.0,4.69,1.4380000000000002,9.5,1.0,3.4,4.2,1.22,,"$150,000"
6,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,1994,30,NYY,AL,8,6,0.5710000000000001,3.76,22,16,2,1,0,0,117.1,115,53,49,13,59,5,71,3,0,4,509,122.0,4.95,1.483,8.8,1.0,4.5,5.4,1.2,,"$235,000"
7,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,1995,31,NYY,AL,7,6,0.5379999999999999,4.01,17,16,1,1,0,0,89.2,83,43,40,8,49,1,43,3,0,4,391,116.0,5.04,1.472,8.3,0.8,4.9,4.3,0.88,,"$1,100,000"
8,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,1996,32,NYY,AL,1,2,0.33299999999999996,11.12,7,5,0,0,0,0,22.2,36,30,28,6,19,1,15,2,0,1,120,46.0,8.07,2.426,14.3,2.4,7.5,6.0,0.79,,"$1,100,000"
9,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,1997,33,BAL,AL,10,6,0.625,4.01,30,30,0,0,0,0,179.1,179,83,80,20,67,2,109,4,0,5,764,110.0,4.53,1.3719999999999999,9.0,1.0,3.4,5.5,1.63,,"$1,535,000"
10,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,1998,34,BAL,AL,2,6,0.25,6.75,12,11,1,0,0,0,54.2,67,41,41,7,26,0,25,4,0,2,249,67.0,5.54,1.7009999999999998,11.0,1.2,4.3,4.1,0.96,,"$2,850,000"
11,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,1999,35,BAL,AL,2,4,0.33299999999999996,4.95,43,3,18,0,0,2,56.1,52,32,31,4,29,2,39,4,0,4,248,94.0,4.43,1.4380000000000002,8.3,0.6,4.6,6.2,1.34,,"$3,350,000"
12,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,2000,36,TOT,MLB,3,4,0.429,5.59,52,0,11,0,0,2,58.0,64,40,36,9,42,6,46,1,0,3,271,87.0,5.79,1.828,9.9,1.4,6.5,7.1,1.1,,"$1,850,000"
13,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,2000,36,CLE,AL,1,3,0.25,5.67,26,0,7,0,0,0,33.1,42,22,21,6,20,5,29,1,0,3,157,88.0,5.62,1.86,11.3,1.6,5.4,7.8,1.45,,"$1,850,000"
14,kamiesc01,Scott Kamieniecki,Right,6-0,195lb,2000,36,ATL,NL,2,1,0.667,5.47,26,0,4,0,0,2,24.2,22,18,15,3,22,1,17,0,0,0,114,85.0,6.01,1.784,8.0,1.1,8.0,6.2,0.77,,"$1,850,000"
15,karchma01,Matt Karchner,Right,6-4,245lb,1996,29,CHW,AL,7,4,0.636,5.76,50,0,13,0,0,1,59.1,61,42,38,10,41,8,46,2,0,4,278,83.0,5.99,1.719,9.3,1.5,6.2,7.0,1.12,,"$135,000"
16,karchma01,Matt Karchner,Right,6-4,245lb,1997,30,CHW,AL,3,1,0.75,2.91,52,0,25,0,0,15,52.2,50,18,17,4,26,4,30,0,0,6,224,152.0,4.44,1.443,8.5,0.7,4.4,5.1,1.15,,"$200,000"
17,karchma01,Matt Karchner,Right,6-4,245lb,1998,31,TOT,MLB,5,5,0.5,5.15,61,0,26,0,0,11,64.2,63,39,37,8,33,8,52,7,0,1,299,88.0,4.99,1.485,8.8,1.1,4.6,7.2,1.58,,"$300,000"
18,karchma01,Matt Karchner,Right,6-4,245lb,1998,31,CHW,AL,2,4,0.33299999999999996,5.15,32,0,23,0,0,11,36.2,33,21,21,2,19,6,30,5,0,0,167,89.0,4.18,1.4180000000000001,8.1,0.5,4.7,7.4,1.58,,"$300,000"
19,karchma01,Matt Karchner,Right,6-4,245lb,1998,31,CHC,NL,3,1,0.75,5.14,29,0,3,0,0,0,28.0,30,18,16,6,14,2,22,2,0,1,132,86.0,6.07,1.571,9.6,1.9,4.5,7.1,1.57,,"$300,000"
20,karchma01,Matt Karchner,Right,6-4,245lb,1999,32,CHC,NL,1,0,1.0,2.5,16,0,2,0,0,0,18.0,16,5,5,3,9,0,9,2,0,1,80,182.0,6.13,1.389,8.0,1.5,4.5,4.5,1.0,,"$776,000"
21,karchma01,Matt Karchner,Right,6-4,245lb,2000,33,CHC,NL,1,1,0.5,6.14,13,0,5,0,0,0,14.2,19,11,10,3,11,0,5,0,0,2,75,76.0,7.36,2.045,11.7,1.8,6.8,3.1,0.45,,"$776,000"
22,karlsc01,Scott Karl,Left,6-2,195lb,1995,23,MIL,AL,6,7,0.462,4.14,25,18,3,1,0,0,124.0,141,65,57,10,50,6,59,3,0,0,548,120.0,4.48,1.54,10.2,0.7,3.6,4.3,1.18,,"$109,000"
23,karlsc01,Scott Karl,Left,6-2,195lb,1996,24,MIL,AL,13,9,0.591,4.86,32,32,0,3,1,0,207.1,220,124,112,29,72,0,121,11,1,5,905,107.0,5.02,1.4080000000000001,9.5,1.3,3.1,5.3,1.68,,"$155,000"
24,karlsc01,Scott Karl,Left,6-2,195lb,1997,25,MIL,AL,10,13,0.435,4.47,32,32,0,1,0,0,193.1,212,103,96,23,67,1,119,4,0,6,839,105.0,4.53,1.443,9.9,1.1,3.1,5.5,1.78,,"$250,000"
25,karlsc01,Scott Karl,Left,6-2,195lb,1998,26,MIL,NL,10,11,0.47600000000000003,4.4,33,33,0,0,0,0,192.1,219,104,94,21,66,4,102,4,0,6,843,97.0,4.59,1.482,10.2,1.0,3.1,4.8,1.55,,"$800,000"
26,karlsc01,Scott Karl,Left,6-2,195lb,1999,27,MIL,NL,11,11,0.5,4.78,33,33,0,0,0,0,197.2,246,121,105,21,69,4,74,8,2,4,885,95.0,4.94,1.594,11.2,1.0,3.1,3.4,1.07,,"$2,900,000"
27,karlsc01,Scott Karl,Left,6-2,195lb,2000,28,TOT,MLB,4,5,0.444,7.42,23,13,1,0,0,0,87.1,126,77,72,16,45,3,38,3,0,5,424,76.0,6.29,1.9580000000000002,13.0,1.6,4.6,3.9,0.84,,"$3,700,000"
28,karlsc01,Scott Karl,Left,6-2,195lb,2000,28,COL,NL,2,3,0.4,7.68,17,9,1,0,0,0,65.2,95,56,56,14,33,3,29,3,0,3,319,76.0,6.67,1.949,13.0,1.9,4.5,4.0,0.88,,"$3,700,000"
29,karlsc01,Scott Karl,Left,6-2,195lb,2000,28,ANA,AL,2,2,0.5,6.65,6,4,0,0,0,0,21.2,31,21,16,2,12,0,9,0,0,2,105,77.0,5.16,1.985,12.9,0.8,5.0,3.7,0.75,,"$3,700,000"
30,karnsna01,Nate Karns,Right,6-3,225lb,2015,27,TBR,AL,7,5,0.583,3.67,27,26,0,0,0,0,147.0,132,62,60,19,56,1,145,5,0,15,621,106.0,4.09,1.2790000000000001,8.1,1.2,3.4,8.9,2.59,,"$508,800"
31,karnsna01,Nate Karns,Right,6-3,225lb,2016,28,SEA,AL,6,2,0.75,5.15,22,15,2,0,0,1,94.1,95,55,54,11,45,1,101,3,1,5,417,79.0,4.05,1.484,9.1,1.0,4.3,9.6,2.24,,"$523,700"
32,karnsna01,Nate Karns,Right,6-3,225lb,2017,29,KCR,AL,2,2,0.5,4.17,9,8,0,0,0,0,45.1,41,21,21,9,13,1,51,2,0,2,188,108.0,4.48,1.1909999999999998,8.1,1.8,2.6,10.1,3.92,,"$571,000"
33,karpry01,Ryan Karp,Left,6-4,217lb,1997,27,PHI,NL,1,1,0.5,5.4,15,1,1,0,0,0,15.0,12,12,9,2,9,0,18,2,0,1,67,81.0,4.64,1.4,7.2,1.2,5.4,10.8,2.0,,"$150,000"
34,karsast01,Steve Karsay,Right,6-3,210lb,1993,21,OAK,AL,3,3,0.5,4.04,8,8,0,0,0,0,49.0,49,23,22,4,16,1,33,2,0,1,210,102.0,3.8,1.327,9.0,0.7,2.9,6.1,2.06,,"$109,000"
35,karsast01,Steve Karsay,Right,6-3,210lb,1994,22,OAK,AL,1,1,0.5,2.57,4,4,0,1,0,0,28.0,26,8,8,1,8,0,15,1,0,0,115,174.0,3.49,1.214,8.4,0.3,2.6,4.8,1.88,,"$119,000"
36,karsast01,Steve Karsay,Right,6-3,210lb,1997,25,OAK,AL,3,12,0.2,5.77,24,24,0,0,0,0,132.2,166,92,85,20,47,3,92,9,0,7,609,77.0,4.95,1.6059999999999999,11.3,1.4,3.2,6.2,1.96,,"$160,000"
37,karsast01,Steve Karsay,Right,6-3,210lb,1998,26,CLE,AL,0,2,0.0,5.92,11,1,4,0,0,0,24.1,31,16,16,3,6,1,13,2,0,2,111,81.0,4.66,1.521,11.5,1.1,2.2,4.8,2.17,,"$400,000"
38,karsast01,Steve Karsay,Right,6-3,210lb,1999,27,CLE,AL,10,2,0.833,2.97,50,3,13,0,0,1,78.2,71,29,26,6,30,3,68,2,0,5,324,168.0,3.62,1.284,8.1,0.7,3.4,7.8,2.27,,"$500,000"
39,karsast01,Steve Karsay,Right,6-3,210lb,2000,28,CLE,AL,5,9,0.35700000000000004,3.76,72,0,46,0,0,20,76.2,79,33,32,5,25,4,66,3,0,0,329,132.0,3.36,1.357,9.3,0.6,2.9,7.7,2.64,,"$1,200,000"
40,karsast01,Steve Karsay,Right,6-3,210lb,2001,29,TOT,MLB,3,5,0.375,2.35,74,0,29,0,0,8,88.0,73,27,23,5,25,10,83,1,0,3,356,191.0,2.79,1.114,7.5,0.5,2.6,8.5,3.32,,"$2,700,000"
41,karsast01,Steve Karsay,Right,6-3,210lb,2001,29,CLE,AL,0,1,0.0,1.25,31,0,8,0,0,1,43.1,29,6,6,1,8,2,44,0,0,2,166,362.0,1.87,0.8540000000000001,6.0,0.2,1.7,9.1,5.5,,"$2,700,000"
42,karsast01,Steve Karsay,Right,6-3,210lb,2001,29,ATL,NL,3,4,0.429,3.43,43,0,21,0,0,7,44.2,44,21,17,4,17,8,39,1,0,1,190,131.0,3.68,1.3659999999999999,8.9,0.8,3.4,7.9,2.29,,"$2,700,000"
43,karsast01,Steve Karsay,Right,6-3,210lb,2002,30,NYY,AL,6,4,0.6,3.26,78,0,38,0,0,12,88.1,87,33,32,7,30,14,65,2,0,4,379,136.0,3.61,1.325,8.9,0.7,3.1,6.6,2.17,,"$4,000,000"
44,karsast01,Steve Karsay,Right,6-3,210lb,2004,32,NYY,AL,0,0,,2.7,7,0,6,0,0,0,6.2,5,3,2,2,2,0,4,0,0,1,27,175.0,6.65,1.05,6.8,2.7,2.7,5.4,2.0,,"$6,000,000"
45,karsast01,Steve Karsay,Right,6-3,210lb,2005,33,TOT,AL,0,1,0.0,7.06,20,0,10,0,0,0,21.2,36,19,17,2,7,1,14,0,0,1,106,65.0,3.9,1.985,15.0,0.8,2.9,5.8,2.0,,"$6,000,000"
