,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,lackejo01,John Lackey,Right,6-6,235lb,2003,24.0,ANA,AL,10,16.0,0.385,4.63,33.0,33.0,0.0,2.0,2.0,0.0,204.0,223.0,117.0,105.0,31.0,66.0,4.0,151.0,10.0,1.0,11.0,885.0,95.0,4.64,1.4169999999999998,9.8,1.4,2.9,6.7,2.29,,"$315,000"
1,lackejo01,John Lackey,Right,6-6,235lb,2004,25.0,ANA,AL,14,13.0,0.519,4.67,33.0,32.0,0.0,1.0,1.0,0.0,198.1,215.0,108.0,103.0,22.0,60.0,4.0,144.0,8.0,1.0,11.0,855.0,95.0,4.07,1.3869999999999998,9.8,1.0,2.7,6.5,2.4,,"$375,000"
2,lackejo01,John Lackey,Right,6-6,235lb,2005,26.0,LAA,AL,14,5.0,0.737,3.44,33.0,33.0,0.0,1.0,0.0,0.0,209.0,208.0,85.0,80.0,13.0,71.0,3.0,199.0,11.0,0.0,18.0,892.0,123.0,3.1,1.335,9.0,0.6,3.1,8.6,2.8,,"$440,000"
3,lackejo01,John Lackey,Right,6-6,235lb,2006,27.0,LAA,AL,13,11.0,0.542,3.56,33.0,33.0,0.0,3.0,2.0,0.0,217.2,203.0,98.0,86.0,14.0,72.0,4.0,190.0,9.0,0.0,16.0,922.0,127.0,3.35,1.263,8.4,0.6,3.0,7.9,2.64,,"$3,340,000"
4,lackejo01,John Lackey,Right,6-6,235lb,2007,28.0,LAA,AL,19,9.0,0.679,3.01,33.0,33.0,0.0,2.0,2.0,0.0,224.0,219.0,87.0,75.0,18.0,52.0,2.0,179.0,12.0,1.0,9.0,929.0,150.0,3.54,1.21,8.8,0.7,2.1,7.2,3.44,"AS,CYA-3,MVP-17","$5,833,333"
5,lackejo01,John Lackey,Right,6-6,235lb,2008,29.0,LAA,AL,12,5.0,0.706,3.75,24.0,24.0,0.0,3.0,0.0,0.0,163.1,161.0,71.0,68.0,26.0,40.0,1.0,130.0,10.0,0.0,5.0,675.0,119.0,4.53,1.2309999999999999,8.9,1.4,2.2,7.2,3.25,,"$7,333,333"
6,lackejo01,John Lackey,Right,6-6,235lb,2009,30.0,LAA,AL,11,8.0,0.579,3.83,27.0,27.0,0.0,1.0,1.0,0.0,176.1,177.0,84.0,75.0,17.0,47.0,1.0,139.0,9.0,0.0,6.0,748.0,115.0,3.73,1.27,9.0,0.9,2.4,7.1,2.96,,"$10,000,000"
7,lackejo01,John Lackey,Right,6-6,235lb,2010,31.0,BOS,AL,14,11.0,0.56,4.4,33.0,33.0,0.0,0.0,0.0,0.0,215.0,233.0,114.0,105.0,18.0,72.0,2.0,156.0,9.0,0.0,3.0,930.0,99.0,3.85,1.419,9.8,0.8,3.0,6.5,2.17,,"$18,700,000"
8,lackejo01,John Lackey,Right,6-6,235lb,2011,32.0,BOS,AL,12,12.0,0.5,6.41,28.0,28.0,0.0,0.0,0.0,0.0,160.0,203.0,119.0,114.0,20.0,56.0,1.0,108.0,19.0,0.0,11.0,743.0,67.0,4.71,1.619,11.4,1.1,3.2,6.1,1.93,,"$15,950,000"
9,lackejo01,John Lackey,Right,6-6,235lb,2013,34.0,BOS,AL,10,13.0,0.435,3.52,29.0,29.0,0.0,2.0,0.0,0.0,189.1,179.0,80.0,74.0,26.0,40.0,0.0,161.0,6.0,0.0,4.0,778.0,117.0,3.86,1.157,8.5,1.2,1.9,7.7,4.03,,"$15,250,000"
10,lackejo01,John Lackey,Right,6-6,235lb,2014,35.0,TOT,MLB,14,10.0,0.583,3.82,31.0,31.0,0.0,1.0,0.0,0.0,198.0,206.0,94.0,84.0,24.0,47.0,1.0,164.0,1.0,2.0,4.0,833.0,102.0,3.78,1.278,9.4,1.1,2.1,7.5,3.49,,"$15,250,000"
11,lackejo01,John Lackey,Right,6-6,235lb,2014,35.0,BOS,AL,11,7.0,0.611,3.6,21.0,21.0,0.0,1.0,0.0,0.0,137.1,137.0,60.0,55.0,15.0,32.0,0.0,116.0,0.0,1.0,3.0,572.0,111.0,3.56,1.2309999999999999,9.0,1.0,2.1,7.6,3.63,,"$15,250,000"
12,lackejo01,John Lackey,Right,6-6,235lb,2014,35.0,STL,NL,3,3.0,0.5,4.3,10.0,10.0,0.0,0.0,0.0,0.0,60.2,69.0,34.0,29.0,9.0,15.0,1.0,48.0,1.0,1.0,1.0,261.0,85.0,4.27,1.385,10.2,1.3,2.2,7.1,3.2,,"$15,250,000"
13,lackejo01,John Lackey,Right,6-6,235lb,2015,36.0,STL,NL,13,10.0,0.565,2.77,33.0,33.0,0.0,1.0,0.0,0.0,218.0,211.0,71.0,67.0,21.0,53.0,5.0,175.0,4.0,3.0,5.0,896.0,142.0,3.57,1.2109999999999999,8.7,0.9,2.2,7.2,3.3,CYA-9,"$507,500"
14,lackejo01,John Lackey,Right,6-6,235lb,2016,37.0,CHC,NL,11,8.0,0.579,3.35,29.0,29.0,0.0,0.0,0.0,0.0,188.1,146.0,74.0,70.0,23.0,53.0,1.0,180.0,9.0,0.0,4.0,748.0,125.0,3.81,1.057,7.0,1.1,2.5,8.6,3.4,,"$16,000,000"
15,lackejo01,John Lackey,Right,6-6,235lb,2017,38.0,CHC,NL,12,12.0,0.5,4.59,31.0,30.0,0.0,0.0,0.0,0.0,170.2,165.0,93.0,87.0,36.0,53.0,3.0,149.0,12.0,2.0,11.0,731.0,95.0,5.3,1.2770000000000001,8.7,1.9,2.8,7.9,2.81,,"$16,000,000"
16,lacosmi01,Mike LaCoss,Right,6-5,185lb,1986,30.0,SFG,NL,10,13.0,0.435,3.57,37.0,31.0,1.0,4.0,1.0,0.0,204.1,179.0,99.0,81.0,14.0,70.0,8.0,86.0,6.0,5.0,5.0,842.0,99.0,3.94,1.219,7.9,0.6,3.1,3.8,1.23,,"$225,000"
17,lacosmi01,Mike LaCoss,Right,6-5,185lb,1987,31.0,SFG,NL,13,10.0,0.565,3.68,39.0,26.0,4.0,2.0,1.0,0.0,171.0,184.0,78.0,70.0,16.0,63.0,12.0,79.0,2.0,1.0,6.0,728.0,106.0,4.3,1.444,9.7,0.8,3.3,4.2,1.25,,"$300,000"
18,lacosmi01,Mike LaCoss,Right,6-5,185lb,1988,32.0,SFG,NL,7,7.0,0.5,3.62,19.0,19.0,0.0,1.0,1.0,0.0,114.1,99.0,55.0,46.0,5.0,47.0,3.0,70.0,1.0,2.0,6.0,477.0,91.0,3.37,1.2770000000000001,7.8,0.4,3.7,5.5,1.49,,"$500,000"
19,lacosmi01,Mike LaCoss,Right,6-5,185lb,1989,33.0,SFG,NL,10,10.0,0.5,3.17,45.0,18.0,16.0,1.0,0.0,6.0,150.1,143.0,62.0,53.0,3.0,65.0,4.0,78.0,7.0,5.0,1.0,647.0,106.0,3.42,1.3840000000000001,8.6,0.2,3.9,4.7,1.2,,"$1,100,000"
20,lacosmi01,Mike LaCoss,Right,6-5,185lb,1990,34.0,SFG,NL,6,4.0,0.6,3.94,13.0,12.0,0.0,1.0,0.0,0.0,77.2,75.0,37.0,34.0,5.0,39.0,2.0,39.0,0.0,1.0,1.0,337.0,93.0,4.15,1.4680000000000002,8.7,0.6,4.5,4.5,1.0,,"$1,150,000"
