,ID,NAME,THROWS,HEIGHT,WEIGHT,YEAR,AGE,TM,LG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,AWARDS,SALARY
0,padilvi01,Vicente Padilla,Right,6-0,230lb,2001,23,PHI,NL,3,1,0.75,4.24,23,0,5,0,0,0,34.0,36,18,16,1,12,0,29,0,0,1,144,101.0,2.78,1.412,9.5,0.3,3.2,7.7,2.42,,"$230,000"
1,padilvi01,Vicente Padilla,Right,6-0,230lb,2002,24,PHI,NL,14,11,0.56,3.28,32,32,0,1,1,0,206.0,198,83,75,16,53,5,128,15,2,6,862,118.0,3.72,1.218,8.7,0.7,2.3,5.6,2.42,AS,"$245,000"
2,padilvi01,Vicente Padilla,Right,6-0,230lb,2003,25,PHI,NL,14,12,0.5379999999999999,3.62,32,32,0,1,1,0,208.2,196,94,84,22,62,4,133,16,2,3,876,110.0,4.25,1.236,8.5,0.9,2.7,5.7,2.15,,"$425,000"
3,padilvi01,Vicente Padilla,Right,6-0,230lb,2004,26,PHI,NL,7,7,0.5,4.53,20,20,0,0,0,0,115.1,119,63,58,16,36,6,82,10,0,2,503,99.0,4.63,1.344,9.3,1.2,2.8,6.4,2.28,,"$2,600,000"
4,padilvi01,Vicente Padilla,Right,6-0,230lb,2005,27,PHI,NL,9,12,0.429,4.71,27,27,0,0,0,0,147.0,146,79,77,22,74,9,103,8,0,1,654,94.0,5.24,1.4969999999999999,8.9,1.3,4.5,6.3,1.39,,"$3,200,000"
5,padilvi01,Vicente Padilla,Right,6-0,230lb,2006,28,TEX,AL,15,10,0.6,4.5,33,33,0,0,0,0,200.0,206,108,100,21,70,2,156,17,2,4,872,103.0,4.26,1.38,9.3,0.9,3.2,7.0,2.23,,"$4,410,000"
6,padilvi01,Vicente Padilla,Right,6-0,230lb,2007,29,TEX,AL,6,10,0.375,5.76,23,23,0,0,0,0,120.1,146,88,77,16,50,1,71,9,0,2,553,79.0,5.26,1.629,10.9,1.2,3.7,5.3,1.42,,"$9,000,000"
7,padilvi01,Vicente Padilla,Right,6-0,230lb,2008,30,TEX,AL,14,8,0.636,4.74,29,29,0,1,1,0,171.0,185,100,90,26,65,4,127,15,3,12,757,94.0,5.03,1.462,9.7,1.4,3.4,6.7,1.95,,"$11,000,000"
8,padilvi01,Vicente Padilla,Right,6-0,230lb,2009,31,TOT,MLB,12,6,0.667,4.46,26,25,0,0,0,0,147.1,156,76,73,16,54,0,97,8,2,5,634,101.0,4.45,1.425,9.5,1.0,3.3,5.9,1.8,,"$12,000,000"
9,padilvi01,Vicente Padilla,Right,6-0,230lb,2009,31,TEX,AL,8,6,0.5710000000000001,4.92,18,18,0,0,0,0,108.0,120,61,59,12,42,0,59,8,2,4,475,95.0,4.84,1.5,10.0,1.0,3.5,4.9,1.4,,"$12,000,000"
10,padilvi01,Vicente Padilla,Right,6-0,230lb,2009,31,LAD,NL,4,0,1.0,3.2,8,7,0,0,0,0,39.1,36,15,14,4,12,0,38,0,0,1,159,126.0,3.4,1.22,8.2,0.9,2.7,8.7,3.17,,"$12,000,000"
11,padilvi01,Vicente Padilla,Right,6-0,230lb,2010,32,LAD,NL,6,5,0.545,4.07,16,16,0,1,1,0,95.0,79,46,43,14,24,4,84,7,1,0,389,95.0,4.21,1.084,7.5,1.3,2.3,8.0,3.5,,"$5,025,000"
12,padilvi01,Vicente Padilla,Right,6-0,230lb,2011,33,LAD,NL,0,0,,4.15,9,0,4,0,0,3,8.2,7,4,4,0,5,0,9,0,0,0,36,93.0,2.68,1.385,7.3,0.0,5.2,9.3,1.8,,"$2,000,000"
